system,layer,region_id,title,polygon_area_km2,water_area_km2,npp_central_tC_yr,npp_observed_tC_yr,npp_no_nn_tC_yr,npp_all_fills_tC_yr,npp_mean_year_tC_yr,fill_uplift_pct,mean_rate_mgC_m2_d,area_obs_pct,npp_obs_pct,area_dark_pct,npp_dark_pct,area_clim_pct,npp_clim_pct,area_nn_near_pct,npp_nn_near_pct,area_nn_far_pct,npp_nn_far_pct,anomaly_factor_min,anomaly_factor_max
EEZ,eez,16,American Samoa,405594.14285714575,405548.98767301475,38512005.48158052,38512005.48158052,38512005.48158052,38512005.48158052,36574863.264456555,0.0,260.1716364540019,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92691047125361,1.2504486496284333
EEZ,eez,28,Antigua & Barbuda,111400.43869912229,111350.91030578806,15128720.56225398,15128720.56225398,15128720.56225398,15128720.562253976,14762314.284000874,0.0,372.2335935270107,100.00000000000001,100.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9275523482597418,1.1857376336507586
EEZ,eez,37,Macquarie Isl. (Australia),473885.58188230393,473839.1821519147,28245739.376131296,27598201.734828513,27685281.284168962,30024922.753438774,29612113.528578598,2.346303746615508,163.31614236801644,77.11135059981285,91.91764442314067,0.0,0.0,0.8870380779984849,0.2900242243936368,4.3386707625786505,1.866642910507223,17.66294055961001,5.9256884419584726,0.7975761877334439,1.16935204439226
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.4668252923,72435176.27189896,72435176.27189896,72435176.27189896,72435176.27189894,72761526.75040096,0.0,366.3666109176313,99.99999999999997,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9218808914921954,1.1433736423478775
EEZ,eez,44,Bahamas,621261.4978295771,619028.9914125121,96908587.89131807,96900876.11668043,96900876.11668043,96908587.8913181,95660491.76992293,0.00795841580250034,428.90233608983215,99.9950670479451,99.99204221751087,0.0,0.0,0.0,0.0,0.004932952054874533,0.007957782489098352,0.0,0.0,0.980067431310302,1.057044426752478
EEZ,eez,52,Barbados,184924.7974455609,184824.25078884442,51797282.39270214,51797282.39270214,51797282.39270214,51797282.392702155,48301161.94581933,0.0,767.8124602915868,100.00000000000003,99.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6474970971906664,1.4140216477993304
EEZ,eez,60,Bermuda (UK),450594.11491945974,450594.11491945974,44717479.516071916,44717479.516071916,44717479.516071916,44717479.516071916,45161791.51403265,0.0,271.89356996303525,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8676927004782377,1.0493187009481049
EEZ,eez,74,Bouvet Isl. (Norway),439210.0878568181,439183.90689272474,26462788.214708682,24930928.4674032,25817604.160208914,27571649.19748349,28108307.744419478,6.144415156091632,165.08070649102345,72.80555277711302,90.42233305970933,0.0,0.0,4.476006447288581,3.2158964683427125,5.998964778270974,2.3400270686697104,16.71947599732743,4.0217434032782435,0.6713109550504575,1.226668873896927
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.5925954977,40795755.52731887,40795755.52731887,40795755.52731887,40795755.52731887,43168390.74035301,0.0,237.8763387145243,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746572482828102,1.3517303280877146
EEZ,eez,90,Solomon Isl.,1605013.9190834365,1601943.2144568851,236369728.51235694,236369728.51235694,236369728.51235694,236369728.51235697,217642758.69806978,0.0,404.25171844414206,100.0,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8612212373511158,1.40948674463025
