system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,403936.39439910196,99.60236782166179,common mask,5,38512005.48158052,38349506.61333391,38517415.787034795,38512005.48158052,19328500.15871725,19414392.29537318,19410401.066396825,32684660.598093726,32831701.963665985,32823155.739889577,29136280.886582207,29271968.3864038,29259740.432404336,60648854.87998197,60661544.87321945,60905843.06962984,32823155.739889577,19410401.066396825,60905843.06962984,36182229.15798022,126.42124459959867,42.75355770474496,CAFE,VGPM,260.1716364540019,131.1288712837427,221.74005315085378,197.667050970869,411.4554062528638
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,109778.07124178276,98.58749330410858,common mask,5,15128720.56225398,14764416.090056375,15141024.409930814,15128720.56225398,8705483.23170026,8842693.245549671,8920286.61129924,13524418.28810958,13757404.148720007,13858126.444001209,14188768.219654145,14482954.697372781,14538868.8728643,13602860.996266253,13628082.807696125,13938504.686161967,13938504.686161967,8920286.61129924,15128720.56225398,13276901.435316138,44.54160679888728,18.745688758923432,Antoine-Morel,VGPM,372.2335935270107,219.47859549334527,340.9713454998023,357.72062707449356,342.9490065847411
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473353.95611128554,99.89759689386058,common mask,5,28245739.376131296,27386676.5357,27604539.662287876,28245739.376131296,29456889.39067569,29491942.655637633,30380890.48431834,18244244.22331685,18265848.171162117,18816528.057887804,31610868.420043383,31646329.50384082,32602435.336825833,44805707.57410843,44805707.57410843,46211169.03512114,30380890.48431834,18816528.057887804,46211169.03512114,31251352.45805688,90.17063206680395,31.59763233416692,CAFE,Eppley-VGPM,163.31614236801644,175.66153144487564,108.79668378483362,188.50644694089692,267.1917969869055
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541100.955655457,99.89356929074155,common mask,5,72435176.27189896,72353122.65521862,72435168.06519142,72435176.27189896,86606422.01392187,86712301.04810771,86704639.89164707,67972528.53673214,68054770.57545118,68049614.24632789,82838069.8322825,82936446.85698885,82932014.1290746,95016028.39868288,95016028.39868288,95123783.37160735,82932014.1290746,68049614.24632789,95123783.37160735,81049045.58211118,32.64622161851933,13.470892808618327,CAFE,Eppley-VGPM,366.3666109176313,438.5394873438006,344.1850745568113,419.45809366145477,481.1222934103461
EEZ,eez,44,Bahamas,619028.9914125121,516575.1252707942,83.4492620599341,common mask,5,96908587.89131807,66374758.21277966,97242307.5326547,96908587.89131807,47084069.40853839,82135359.74163836,68743763.4639811,73429123.34613723,140299485.2298122,107208114.12615423,67307422.35507628,93186813.73633318,98270297.78586999,55002235.465801135,55224916.94199325,80304457.79959613,96908587.89131807,68743763.4639811,107208114.12615423,90287044.2133839,39.691374623382686,17.13765211636774,Eppley-VGPM,VGPM,428.90233608983215,304.2492041507688,474.4864371366239,434.92905227214777,355.4150390396908
EEZ,eez,52,Barbados,184824.25078884442,184240.18131191007,99.68398655780207,common mask,5,51797282.39270214,51650796.49559225,51806400.65319214,51797282.39270214,33556997.04824246,33640902.49201239,33652167.445418134,54179862.705146044,54314584.53946718,54333521.241550826,53696388.63332325,53806966.77904437,53848675.997588485,33026610.742974166,33026610.742974166,33120276.92106682,51797282.39270214,33120276.92106682,54333521.241550826,45350384.79966529,40.9543577202668,24.177880527008817,Eppley-VGPM,CAFE,767.8124602915868,498.8399446232608,805.4081738206808,798.2211129860016,490.95551221208285
EEZ,eez,60,Bermuda (UK),450594.11491945974,450182.70617710217,99.90869637912802,common mask,5,44717479.516071916,44652683.53078253,44717494.91291195,44717479.516071916,46007587.20699404,46111646.1391247,46074349.30745794,42641369.24539941,42757452.24422363,42703246.59107874,50941430.87716314,51010359.24892036,51015352.530795924,47045152.625132576,47045152.625132576,47113420.347840294,46074349.30745794,42703246.59107874,51015352.530795924,46324769.65864897,18.040636633302864,6.687100362667152,CbPM2,Eppley-VGPM,271.89356996303525,280.1436810056836,259.64652503473945,310.18622857613394,286.46149537429585
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,439210.00148621254,100.00594160967154,common mask,5,26462788.214708682,24685679.856982373,24982696.858492214,26462788.214708682,15916990.404364664,15921059.870545808,17062845.687319133,14490480.625872456,14494443.232620439,15533642.263587099,20059579.407866232,20066500.294282183,21503657.36823525,40209022.4396949,40225964.679909565,43103647.592721626,21503657.36823525,15533642.263587099,43103647.592721626,24733316.225314356,128.21077297232404,44.947934486027144,CAFE,Eppley-VGPM,165.08070649102345,106.4417928283285,96.9022847647805,134.14455505168905,268.8900556968358
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,5,40795755.52731887,40795763.62495049,40795763.62495049,40795755.52731887,25199341.928898033,25199341.928898033,25199336.927030932,28097013.779708695,28097013.779708695,28097008.20267699,31040637.989006013,31040637.989006013,31040631.82768853,55965902.66746706,55965902.66746706,55965891.55868462,31040631.82768853,25199336.927030932,55965891.55868462,36219724.80867998,99.11703731561815,34.51438792419675,CAFE,VGPM,237.8763387145243,146.93504088242048,163.83109844868736,180.995099983171,326.33202167218053
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1555678.7328071578,97.11197742640256,common mask,5,236369728.51235694,226244097.45654696,236875805.55323094,236369728.51235694,140697723.0816851,145558682.9273285,146994697.2362983,256518063.4941458,266276316.09274468,267998616.13305575,227686873.43846148,234496034.01587394,237877076.42102352,302783995.98886395,303864891.67077506,316335196.075204,237877076.42102352,146994697.2362983,316335196.075204,241115062.8755877,71.18823780194208,25.62712420468328,CAFE,VGPM,404.25171844414206,251.39792364250846,458.3450757180018,406.82966269363084,541.0127913696892
