system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,404186.9200633489,99.66414227354352,common mask,5,39350862.81962929,39197752.34893523,39356404.33767816,39350862.81962929,17686507.419619437,17757540.8428424,17755592.745018855,31431032.090257056,31564308.93473592,31553804.949141912,25915717.65674955,26022886.762704596,26016947.12759973,58472745.8246584,58472745.8246584,58701146.411413744,31553804.949141912,17755592.745018855,58701146.411413744,34675670.8105607,129.76423519252432,44.91082478514512,CAFE,VGPM,265.83861961061734,119.94965110014252,213.16482918281216,175.76004222793006,396.5613613886696
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,110434.57230351755,99.17707183555655,common mask,5,15372829.90513282,15143903.462216856,15384698.156507488,15372829.90513282,8275823.390560326,8314358.801911909,8400926.85650149,12960026.683154132,13025613.310034467,13155940.029806973,13133005.500557933,13287467.737523565,13331533.722924083,12800396.283262568,12860633.369984461,12993896.538751721,13155940.029806973,8400926.85650149,15372829.90513282,12651025.410623418,52.99433588808799,20.271279577832384,Antoine-Morel,VGPM,378.23976553206563,206.7000431322149,323.6944468218334,328.0148301034665,319.7074585808283
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473602.08752792684,99.94996306069264,common mask,5,28929996.450804893,27922724.33559496,28308368.466512203,28929996.450804893,33499080.34519345,33545587.822864573,34707511.48218951,20662279.581024352,20691081.437364854,21407641.5954359,37503925.296595916,37524318.690976985,38856825.4544799,51599117.10535727,51599117.10535727,53460481.032637924,34707511.48218951,21407641.5954359,53460481.032637924,35472491.20310962,92.35130399265371,33.83581134094475,CAFE,Eppley-VGPM,167.27249926615266,200.6779433522193,123.77843596185379,224.6691705742908,309.10713347326725
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,5,78542789.18105629,78542834.23917082,78542834.23917082,78542789.18105629,93325906.98754634,93325906.98754634,93325853.44874236,74215414.73216009,74215414.73216009,74215372.15658092,97910386.96756238,97910386.96756238,97910330.7987537,96345871.21713491,96345871.21713491,96345815.94585088,93325853.44874236,74215372.15658092,97910330.7987537,88068032.30619684,25.389490442953008,12.382310908420623,CbPM2,Eppley-VGPM,397.25803077040285,472.0286247481083,375.3705833880271,495.2162459564505,487.3031568485185
EEZ,eez,44,Bahamas,619028.9914125121,601199.2486263937,97.11972411091213,common mask,5,97337046.88749072,92798862.04259335,97726260.01534763,97337046.88749073,75470678.28928436,77037895.62322982,79161455.10386807,127199382.61395712,129947268.7670465,133419871.72075254,97611432.9279744,101026488.16202702,102384969.10990655,60460934.86570647,61061969.8296893,63417683.38908748,97337046.88749073,63417683.38908748,133419871.72075254,95144205.24222109,71.9173126472377,27.729654268155247,Eppley-VGPM,CAFE,430.79862896104044,350.3562868999472,590.4955990692249,453.1399475242829,280.6768021993001
EEZ,eez,52,Barbados,184824.25078884442,184240.18131191007,99.68398655780207,common mask,5,51050282.47612665,50898664.854204364,51059869.27843723,51050282.47612665,31877733.30127261,31957649.480162814,31972691.118520983,55318935.114154845,55456893.35227736,55483719.896099634,49309417.73323901,49424947.20639497,49456301.28463473,28506092.598321415,28506092.598321415,28591006.92726175,49456301.28463473,28591006.92726175,55483719.896099634,43310800.34052875,54.37671696082337,28.066865007946063,Eppley-VGPM,CAFE,756.7393727223392,473.9443749912513,822.4580424233939,733.111132711231,423.8162767807216
EEZ,eez,60,Bermuda (UK),450594.11491945974,450400.25713630137,99.95697729359094,common mask,5,45187029.42893569,45151327.666632816,45187080.759872586,45187029.42893569,45839503.87804747,45891569.074968286,45875749.79054021,41944334.23283726,42004675.81745168,41977500.182281524,50544437.48769409,50579081.382770576,50584403.65449747,43870420.28868772,43870420.28868772,43905109.220292084,45187029.42893569,41977500.182281524,50584403.65449747,45505958.4553094,19.047287642025168,7.039064655926014,CbPM2,Eppley-VGPM,274.74855202968956,278.9361457816044,255.23380356404905,307.5659505614432,266.9541533804857
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,439037.1104553724,99.96657517840512,common mask,5,26749355.097195335,25148367.339015525,25480708.49123149,26749355.097195335,18208357.376046937,18282977.016381674,19367532.318206634,16136598.175302718,16207935.632359527,17163881.40960025,36213919.650983125,36418877.09348091,38519359.254888676,46532653.14202396,46688746.01980666,49495000.83767059,26749355.097195335,17163881.40960025,49495000.83767059,30259025.783512294,120.86691178382931,44.970807461017415,CAFE,Eppley-VGPM,166.86837387641,120.81893609004483,107.07207593680786,240.29225445881713,308.76072618511887
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,5,45884382.465721995,45884437.61352285,45884437.61352285,45884382.465721995,27470145.211564306,27470145.211564306,27470112.195618674,34470036.71115062,34470036.71115062,34469995.2821429,37057402.32465051,37057402.32465051,37057357.7859278,59946476.58154197,59946476.58154197,59946404.53279245,37057357.7859278,27470112.195618674,59946404.53279245,40965650.45244076,87.6379058776456,30.490433416067678,CAFE,VGPM,267.54765940818925,160.17572486910194,200.99140626853253,216.07808161924262,349.542030660796
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1574346.0124327012,98.27726714810298,common mask,5,219419834.80429947,213361150.85973233,219939730.41453466,219419834.80429947,117367610.40129308,119369077.98135173,120700425.46104129,222057087.0982949,226226675.18331912,228362704.13756678,189913672.67956093,192992200.54507503,195306533.16461653,266934311.63013497,268652633.4361415,274514279.3122122,219419834.80429947,120700425.46104129,274514279.3122122,207660755.37594724,70.10025050304021,27.188617197602387,CAFE,VGPM,375.26313474498374,206.42810192597992,390.5576917872395,334.0233208036897,469.4884994277748
EEZ,eez,92,British Virgin Isl. (UK),81189.34331245301,80536.40956387455,99.19578885363602,common mask,5,9293665.462078808,9166143.93123086,9298601.324691286,9293665.462078808,4723950.024475093,4767915.358906304,4789670.718290269,7338368.8026179345,7413506.1960323695,7440461.899852444,6941749.749621589,6998576.763759461,7038324.990145467,8176137.153888533,8199888.030830813,8289885.479695877,7440461.899852444,4789670.718290269,9293665.462078808,7370401.710012573,60.53380562136686,22.82428897583332,Antoine-Morel,VGPM,313.6137837498047,161.626945042055,251.0776204265312,237.50755182945807,279.74133163584526
EEZ,eez,132,Cape Verde,798501.8901513879,794281.3005600055,99.4714364933335,common mask,5,197700326.54010525,196500147.30397338,197829087.23577774,197700326.54010525,176786309.05292982,177269327.06184646,177866080.5455664,189066140.61331224,189603239.48857874,190220914.58846182,251717091.24321166,252648938.85579422,253254523.30336314,120064768.30076608,120259916.27562942,120798097.22638084,190220914.58846182,120798097.22638084,253254523.30336314,187967988.44077548,69.63294565350422,25.20152208815724,CbPM2,CAFE,678.3261717065858,610.2732332536341,652.6636906952276,868.937215563464,414.4682625215013
EEZ,eez,153,Easter Isl. (Chile),721474.5192657171,721254.2226778122,99.96946578402671,common mask,5,45157029.20679032,45141675.39034544,45159256.721428476,45157029.20679032,32707212.06034792,32722512.627315454,32718336.603822567,23827178.304369517,23839168.525650963,23835282.52555584,30421274.788911972,30436617.523655057,30431621.827764414,61560216.08894967,61560216.08894967,61581154.26304188,32718336.603822567,23835282.52555584,61581154.26304188,38744684.885395005,115.36610859696363,38.50658460767162,CAFE,Eppley-VGPM,171.47922058799242,124.24455191829618,90.51205851607051,115.56098538627698,233.84816320794295
EEZ,eez,154,Desventuradas Isl. (Chile),450581.6879599838,450581.63655325514,99.99998859103022,common mask,5,53330303.01472378,53330448.8113669,53330448.8113669,53330303.01472378,71239101.53896472,71239101.53896472,71238906.78302145,44322520.402364984,44322520.402364984,44322399.23191108,75725421.15473923,75725421.15473923,75725214.13393874,78980512.9802186,78980512.9802186,78980297.06053442,71238906.78302145,44322399.23191108,78980297.06053442,64719424.04482589,48.650238182604234,23.34061510534037,CAFE,Eppley-VGPM,324.27065529435674,433.16249260024216,269.49881457043017,460.4411267406144,480.23339893815347
EEZ,eez,155,Juan Fernandez Islands (Chile),503273.5167090559,503015.07041595544,99.94864695150451,common mask,5,68928052.46500355,68886484.44136672,68930976.22302751,68928052.46500355,100007430.5866119,100072982.96306315,100067777.85606824,60973855.23630497,61014491.3727228,61010648.55906263,104150921.97816685,104216291.10306801,104213769.54575133,95340394.84771553,95340394.84771553,95397925.8978005,95397925.8978005,61010648.55906263,104213769.54575133,85923634.86473726,45.287274938212036,22.790270243192847,CbPM2,Eppley-VGPM,375.2313068071599,544.7500939227231,332.13045442699587,567.3200900867853,519.3283013399941
EEZ,eez,162,Christmas Isl. (Australia),327600.4232308,327087.7648682584,99.84351108051516,common mask,5,64013136.7486492,63910616.4733643,64016675.00956429,64013136.7486492,42216568.54937017,42289688.22143213,42284288.97624274,64439822.38938518,64551530.1491865,64543191.57427519,70545319.76134376,70662580.13444321,70658482.89449878,66772978.288234614,66772978.288234614,66880090.13433229,64543191.57427519,42284288.97624274,70658482.89449878,61675838.06559964,43.96156004402649,18.082009301004028,CbPM2,VGPM,535.3425832483042,353.6239847180626,539.7754377220357,590.9176878751423,559.3189466871172
EEZ,eez,166,Cocos (Keeling) Isl. (Australia),466309.22260007064,466309.1438245345,99.99998310658843,common mask,5,74077260.20460929,74077835.92063217,74077835.92063217,74077260.20460929,46819052.416039646,46819052.416039646,46818688.549056806,69497698.74512969,69497698.74512969,69497158.62488693,75484507.87717773,75484507.87717773,75483921.22882165,83669525.14528902,83669525.14528902,83668874.88484804,74077260.20460929,46818688.549056806,83668874.88484804,69909180.69844455,49.74561185714361,19.86080677184105,CAFE,VGPM,435.2292169758528,275.0757938503565,408.3195551078725,443.49383116956596,491.5832308160495
EEZ,eez,184,Cook Islands,1967170.5672296223,1965979.5823894618,99.93945696118065,common mask,5,200486843.00389412,200291410.03402174,200492170.10405213,200486843.0038941,96407971.63382778,96481708.97265306,96502041.05104628,159616323.92489406,159753566.5390442,159772068.45841876,137856224.08477578,138008888.67658332,137990736.3500981,292233011.9231904,292320459.6809789,292518156.2806304,159772068.45841876,96502041.05104628,292518156.2806304,177453969.0288175,122.684845430663,41.975618304922975,CAFE,VGPM,279.22287527005335,134.40072659121327,222.51842402414894,192.18303598883983,407.39711115998773
EEZ,eez,219,Galapagos Isl. (Ecuador),839017.1978198324,832141.1842991303,99.18046810737977,common mask,5,178808441.5690547,176246841.63736406,178913872.2980338,178808441.5690547,157877290.83745036,159297821.2453231,160171904.76452896,179021993.12435678,180568065.67337108,181623927.5539225,186401835.89176986,188074199.16617846,189111030.14257985,202319904.76819772,203312653.04374224,205260454.79121724,181623927.5539225,160171904.76452896,205260454.79121724,182995151.76426065,24.825225747473112,8.95205547349364,CAFE,VGPM,583.880929447024,523.0251983886121,593.0746149311336,617.5229932066201,670.2573103962229
EEZ,eez,226,Equatorial Guinea,304147.4455232251,301116.27370435174,99.00338738217616,common mask,5,106476792.88653581,104309390.63426405,106565792.91324061,106476792.88653581,87728405.23394515,89063517.22295965,89551277.95840533,148737471.52140355,151741086.81279063,151828026.73232433,108730070.45599191,109929683.38818094,110989328.2099009,37786279.53969419,37786279.53969419,38571425.21911302,106476792.88653581,38571425.21911302,151828026.73232433,99483370.20125589,106.36740499303001,41.23182130579181,Eppley-VGPM,CAFE,959.1309908363302,806.667853439508,1367.6498114634082,999.779402180718,347.44706602686733
