Fleet number,Fleet name,Fixed cost (%),Effort related cost (%),Sailing related cost (%),Profit (%),Total value (%),Discard_fate detritus
1,Comm_Dredge_Dig,0,40,40,20,100,1
2,Comm_Handline,0,40,40,20,100,1
3,Comm_Longline_Fish,0,40,40,20,100,1
4,Comm_Longline_Pelagic,0,40,40,20,100,1
5,Comm_Longline_Shark,0,40,40,20,100,1
6,Comm_Nets,0,40,40,20,100,1
7,Comm_Other,0,40,40,20,100,1
8,Comm_Pots_Traps,0,40,40,20,100,1
9,Comm_Purse_Menhaden,0,40,40,20,100,1
10,Comm_Purse_Other,0,40,40,20,100,1
11,Comm_Trawl_Bottom_Other,0,40,40,20,100,1
12,Comm_Trawl_Bottom_Shrimp,0,40,40,20,100,1
13,Rec Headboat,0,40,40,20,100,1
14,Rec Shore,0,40,40,20,100,1
15,Rec Charterboat,0,40,40,20,100,1
16,Rec Private,0,40,40,20,100,1
