Group number,Group name,Max rel. P/B,Max rel. feeding time,"Feeding time adjust rate [0,1]",Fraction of other mortality sens. to changes in feeding time,"Predator effect on feeding time [0,1]",Density-dep. catchability: Qmax/Qo [>=1],QBmax/QBo (for handling time) [>1],"Switching power parameter [0,2]"
1,Coastal dolphins,,2,0,1,0,1,1000,0
2,Offshore dolphins,,2,0,1,0,1,1000,0
3,Baleen whales,,2,0,1,0,1,1000,0
4,Seabird,,2,0,1,0,1,1000,0
5,Sea turtle,,2,0,1,0,1,1000,0
6,Blacktip shark,,2,0,1,0,1,1000,0
7,Dusky shark,,2,0,1,0,1,1000,0
8,Sandbar shark,,2,0,1,0,1,1000,0
9,Large coastal sharks,,2,0,1,0,1,1000,0
10,Large oceanic sharks,,2,0,1,0,1,1000,0
11,Atlantic sharpnose shark,,2,0,1,0,1,1000,0
12,Small coastal sharks,,2,0,1,0,1,1000,0
13,Yellowfin tuna,,2,0.5,1,0,1,1000,0
14,Bluefin tuna,,2,0,1,0,1,1000,0
15,Other tunas,,2,0,1,0,1,1000,0
16,Billfish,,2,0,1,0,1,1000,0
17,Swordfish,,2,0.5,1,0,1,1000,0
18,Pelagic coastal piscivores,,2,0,1,0,1,1000,0
19,Amberjack,,2,0,1,0,1,1000,0
20,Cobia,,2,0,1,0,1,1000,0
21,King mackerel (0-1yr),,2,0.5,1,0,1,1000,0
22,King mackerel (1+yr),,2,0,1,0,1,1000,0
23,Spanish mackerel (0-1yr),,2,0.5,1,0,1,1000,0
24,Spanish mackerel (1+yr),,2,0,1,0,1,1000,0
25,Skates-rays,,2,0,1,0,1,1000,0
26,Gag grouper (0-3yr),,2,0.5,1,0,1,1000,0
27,Gag grouper (3+yr),,2,0,1,0,1,1000,0
28,Red grouper (0-3yr),,2,0.5,1,0,1,1000,0
29,Red grouper (3+yr),,2,0,1,0,1,1000,0
30,Yellowedge grouper (0-3yr),,2,0.5,1,0,1,1000,0
31,Yellowedge grouper (3+yr),,2,0,1,0,1,1000,0
32,Goliath grouper,,2,0,1,0,1,1000,0
33,Deep-water grouper,,2,0,1,0,1,1000,0
34,Shallow-water grouper,,2,0,1,0,1,1000,0
35,Red snapper (0yr),,2,0.5,1,0,1,1000,0
36,Red snapper (1-2yr),,2,0,1,0,1,1000,0
37,Red snapper (3+yr),,2,0,1,0,1,1000,0
38,Vermilion snapper,,2,0,1,0,1,1000,0
39,Mutton snapper,,2,0,1,0,1,1000,0
40,Other snapper,,2,0,1,0,1,1000,0
41,Inshore coastal piscivores,,2,0,1,0,1,1000,0
42,Sea trout,,2,0,1,0,1,1000,0
43,Oceanic piscivores,,2,0,1,0,1,1000,0
44,Benthic piscivores,,2,0,1,0,1,1000,0
45,Reef piscivores,,2,0,1,0,1,1000,0
46,Reef invertebrate feeders,,2,0,1,0,1,1000,0
47,Demersal coastal invertebrate feeders,,2,0,1,0,1,1000,0
48,Red drum,,2,0,1,0,1,1000,0
49,Benthic coastal invertebrate feeders,,2,0,1,0,1,1000,0
50,Tilefish,,2,0,1,0,1,1000,0
51,Gray triggerfish,,2,0,1,0,1,1000,0
52,Coastal omnivores,,2,0,1,0,1,1000,0
53,Reef omnivores,,2,0,1,0,1,1000,0
54,Surface pelagics,,2,0,1,0,1,1000,0
55,Large oceanic planktivores,,2,0,1,0,1,1000,0
56,Oceanic planktivores,,2,0,1,0,1,1000,0
57,Sardine-herring-scad,,2,0,1,0,1,1000,0
58,Menhaden (0yr),,2,0.5,1,0,1,1000,0
59,Menhaden (1yr),,2,0,1,0,1,1000,0
60,Menhaden (2yr),,2,0,1,0,1,1000,0
61,Menhaden (3yr),,2,0,1,0,1,1000,0
62,Menhaden (4yr),,2,0,1,0,1,1000,0
63,Anchovy-silverside-killifish,,2,0,1,0,1,1000,0
64,Mullet,,2,0,1,0,1,1000,0
65,Butterfish,,2,0,1,0,1,1000,0
66,Cephalopod,,2,0,1,0,1,1000,0
67,Pink shrimp,,2,0,1,0,1,1000,0
68,Brown shrimp,,2,0,1,0,1,1000,0
69,White shrimp,,2,0,1,0,1,1000,0
70,Crab,,2,0,1,0,1,1000,0
71,Sessile epifauna,,2,0,1,0,1,1000,0
72,Mobile epifauna,,2,0,1,0,1,1000,0
73,Zooplankton,,2,0,1,0,1,1000,0
74,Infauna,,2,0,1,0,1,1000,0
75,Algae,2,,,,,,,
76,Seagrass,2,,,,,,,
77,Phytoplankton,2,,,,,,,
