Time,Total N&P monthly,PPanomaly
1980.1,0.951,1.199034
1980.2,1.279,1.199034
1980.3,2.298,1.199034
1980.4,1.489,1.199034
1980.5,1.104,1.199034
1980.6,0.77,1.199034
1980.7,0.628,1.199034
1980.8,0.645,1.199034
1980.9,0.546,1.199034
1980.10,0.502,1.199034
1980.11,0.583,1.199034
1980.12,0.332,1.199034
1981.1,0.583,1.074546
1981.2,0.9,1.074546
1981.3,0.73,1.074546
1981.4,1.07,1.074546
1981.5,1.675,1.074546
1981.6,1.206,1.074546
1981.7,0.923,1.074546
1981.8,0.657,1.074546
1981.9,0.536,1.074546
1981.10,0.741,1.074546
1981.11,0.628,1.074546
1981.12,0.934,1.074546
1982.1,1.698,0.8160728
1982.2,1.698,0.8160728
1982.3,1.789,0.8160728
1982.4,1.189,0.8160728
1982.5,1.653,0.8160728
1982.6,1.177,0.8160728
1982.7,0.809,0.8160728
1982.8,0.747,0.8160728
1982.9,0.6,0.8160728
1982.10,0.634,0.8160728
1982.11,2.089,0.8160728
1982.12,2.315,0.8160728
1983.1,1.692,1.035103
1983.2,1.579,1.035103
1983.3,2.185,1.035103
1983.4,2.955,1.035103
1983.5,2.802,1.035103
1983.6,1.155,1.035103
1983.7,0.662,1.035103
1983.8,0.471,1.035103
1983.9,0.43,1.035103
1983.10,0.679,1.035103
1983.11,1.834,1.035103
1983.12,1.087,1.035103
1984.1,1.228,0.8100047
1984.2,1.913,0.8100047
1984.3,2.4,0.8100047
1984.4,2.547,0.8100047
1984.5,1.885,0.8100047
1984.6,1.132,0.8100047
1984.7,0.702,0.8100047
1984.8,0.504,0.8100047
1984.9,0.73,0.8100047
1984.10,1.409,0.8100047
1984.11,1.381,0.8100047
1984.12,1.726,0.8100047
1985.1,1.285,0.8821206
1985.2,2.394,0.8821206
1985.3,2.117,0.8821206
1985.4,1.483,0.8821206
1985.5,1.064,0.8821206
1985.6,0.747,0.8821206
1985.7,0.589,0.8821206
1985.8,0.6,0.8821206
1985.9,0.736,0.8821206
