Table 2. Basic estimates for the balanced Ecopath model. Values in italics are model derived.,,,,,,
Group name,Trophic level,Biomass (t/km²),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Production / consumption
BottlenoseD,4.292,0.045,0.09,12.8,0.044,0.007
SpinnerD,4.25,0.021,0.15,15.3,0.14,0.01
Sharks,4.117,0.653,0.8,2.7,0.053,0.296
D_BenthPisc,4.102,0.277,0.19,2.8,0.646,0.068
MonkSeals,4.097,0.013,0.154,8.61,0.088,0.018
BFB_group,4.041,0.319,0.15,3.19,0.724,0.047
RovPisc,3.964,1.326,0.43,1.89,0.538,0.228
StingRay,3.927,0.689,0.96,5.8,0.1,0.166
BFW_group,3.82,1.67,0.17,2.85,0.624,0.06
S_Plankt,3.727,0.22,0.7,4,0.678,0.175
R_BenthPisc,3.68,1.573,0.23,3.5,0.139,0.066
Octopus,3.63,0.422,3,8,0.549,0.375
Uku,3.615,0.125,0.45,3.38,0.782,0.133
MantaRay,3.609,0.53,0.13,10,0.026,0.013
S_BenthCarn,3.488,0.244,0.56,3,0.634,0.187
PreyFish,3.475,0.4,3.5,15.5,0.622,0.226
M_BenthCarn,3.471,1.29,1.05,4.43,0.484,0.237
R_LargePlankt,3.423,1.12,0.62,9.17,0.343,0.068
M_Plankt,3.342,0.865,0.9,6,0.504,0.15
R_BenthCarn,3.319,4.404,1.6,7.47,0.388,0.214
MesoPelScatter,3.299,4,2.1,8,0.336,0.263
Squid,3.263,0.492,4,13.5,0.99,0.296
R_SmallPlankt,3.23,0.84,1.09,11.37,0.567,0.096
R_Other,3.182,3.04,1.2,9,0.496,0.133
BenthCarn,3.157,10.135,3.34,11.34,0.95,0.295
Lobster,3.054,2,2,14.884,0.85,0.134
LargeZoo,2.919,8,7.5,25,0.91,0.3
R_Coralliv,2.485,0.34,1.7,13.91,0.687,0.122
BenthMeio,2.367,32.325,2.64,10.52,0.99,0.251
Bivalves,2.357,2.4,3.722,11.12,0.514,0.335
GelatZoo,2.317,3.478,5.138,23.4,0.99,0.22
BenthDetr,2.166,19.586,2.5,16.13,0.871,0.155
R_Browser,2.136,1.95,0.9,24.95,0.836,0.036
HawksbillT,2.127,0.03,0.12,5.2,0.073,0.023
GreenTurtles,2.112,0.31,0.17,6.2,0.248,0.027
Infauna,2.111,69.025,3.9,15,0.99,0.26
R_Grazer,2.11,8.892,0.97,31.78,0.448,0.031
Deep_FilterFeed,2.1,5.4,1.2,4.02,0.263,0.299
ShallowFilterFeed,2.1,0.34,1.067,6.48,0.084,0.165
Leptoseris,2.1,2.839,2.1,3.45,0.211,0.609
MedZoo,2.1,10.31,20,66.667,0.99,0.3
Parrotfish,2.031,2.496,0.6,23.85,0.295,0.025
BenthGrazer,2.006,26.8,0.67,8.56,0.713,0.078
SmallZoo,2,11.13,18,60,0.389,0.3
Porites_mass,1.443,2.181,1.4,3.45,0.651,0.406
Porites_branch,1.443,1.24,1.4,3.45,0.6,0.406
Montipora,1.443,2.486,1.4,3.45,0.795,0.406
Pocillopora,1.443,1.388,1.4,3.45,0.604,0.406
CCA,1,14.11,6.13,,0.285,
Turf,1,90.605,18.038,,0.192,
MA_Fleshy,1,31.022,11.963,,0.583,
MA_Calc,1,21.508,9.957,,0.277,
LargePhyto,1,3.499,120,,0.99,
SmallPhyto,1,10.94,180,,0.425,
Detritus,1,100,,,0.4,
