eez_unit_id,eez_name,lme_unit_id,lme_name,eez_area_km2,lme_area_km2,intersection_km2,intersection_fraction_of_eez,intersection_fraction_of_lme,eez_to_lme_area_ratio,lme_mostly_contained,flag_prefer_eez_candidate,flag_review_110_120
EEZ_008,Albania,LME_026,Mediterranean Sea,12219.555135005918,2527801.206996367,12091.177754117587,0.9894941035520547,0.004783278732778517,0.004834064918232108,False,False,False
EEZ_012,Algeria,LME_026,Mediterranean Sea,131003.5061804871,2527801.206996367,130687.93479332548,0.9975911225862394,0.0517002422625686,0.051825082533349456,False,False,False
EEZ_024,Angola,LME_028,Guinea Current,493804.0339161999,1918690.5432233866,15706.49527605547,0.031807142504471544,0.008186049246726711,0.2573651262629421,False,False,False
EEZ_024,Angola,LME_029,Benguela Current,493804.0339161999,1458156.5656590832,476849.230838916,0.9656649158111956,0.3270219687440637,0.3386495288268319,False,False,False
EEZ_028,Antigua & Barbuda,LME_012,Caribbean Sea,111055.89188966993,3262576.84767364,3710.2403699359897,0.033408766584144683,0.001137211640725506,0.03403931832865719,False,False,False
EEZ_032,Argentina,LME_013,Humboldt Current,1092159.2771767338,2559648.0480429977,3948.12693768829,0.0036149735850748094,0.001542449142844801,0.4266833786042398,False,False,False
EEZ_032,Argentina,LME_014,Patagonian Shelf,1092159.2771767338,1170311.112854071,838224.3727281193,0.7674927917976906,0.716240633385013,0.9332213162645734,False,False,False
EEZ_036,Australia,LME_039,North Australian Shelf,6329385.118514362,779233.7571536872,774540.6124734362,0.12237217327916948,0.9939772313029742,8.12257562048358,True,True,False
EEZ_036,Australia,LME_040,Northeast Australian Shelf-Great Barrier Reef,6329385.118514362,1281812.9017148397,1274246.02491603,0.20132224553514325,0.994096738464181,4.937838517654768,True,True,False
EEZ_036,Australia,LME_041,East-Central Australian Shelf,6329385.118514362,651954.7372632008,615482.1601558736,0.09724201460825946,0.9440565808902117,9.7083198522095,True,True,False
EEZ_036,Australia,LME_042,Southeast Australian Shelf,6329385.118514362,1191815.5483682519,1188631.0719986544,0.18779566257103514,0.997328045959832,5.310708630358197,True,True,False
EEZ_036,Australia,LME_043,Southwest Australian Shelf,6329385.118514362,1014951.130078868,1012369.0772792876,0.1599474606653279,0.9974559831276016,6.236147663604778,True,True,False
EEZ_036,Australia,LME_044,West-Central Australian Shelf,6329385.118514362,579356.8063443139,578417.8018074617,0.09138609690781911,0.9983792292995102,10.924848123304493,True,True,False
EEZ_036,Australia,LME_045,Northwest Australian Shelf,6329385.118514362,910842.4768383015,845868.919397021,0.13364156289411633,0.9286665267667188,6.948934947000714,True,True,False
EEZ_038,Lord Howe Isl. (Australia),LME_041,East-Central Australian Shelf,541148.0055378617,651954.7372632008,33748.080844045675,0.06236386441173804,0.051764453749833295,0.8300392260504348,False,False,False
