functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cephalopods,29.669389889,3.59,389.04514499428046,11542.732091257843
Large pelagics (>=90 cm),136.46517508639997,4.408504891989837,2561.5621179320424,349564.0229182857
Large reef assoc. fish (>=90 cm),21.681477223999998,4.51,3235.936569296281,70159.88502550601
Large sharks (>=90 cm),0.0075998535999999995,4.463903361901603,2910.0695047863023,22.116102202200395
"Lobsters, crabs",101.56060384,3.2,158.48931924611142,16096.27096482561
Medium bathydemersals (30 - 89 cm),107.358111436,4.36,2290.867652767775,245943.22475097052
Medium demersals (30 - 89 cm),437.464522726,3.300042527928171,199.54577089486142,87294.19542651229
Medium pelagics (30 - 89 cm),56.812364514500004,4.2191418847083435,1656.3109945626486,94098.94397246723
Medium reef assoc. fish (30 - 89 cm),644.3358275370001,3.92788085561894,846.9950175869318,545749.2355765917
Other demersal invertebrates,183.965019907,2.2239371775883057,16.74700606448666,3080.8633040359377
Small pelagics (<30 cm),146.7852115,3.2,158.48931924611142,23263.888246031485
