commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,916.7675650399,3.11,128.82495516931337,118102.54046694569
Cod-likes,376961.5970546267,4.101860199952847,1264.3292924573348,476603589.28766304
Crustaceans,98966.5879995493,3.041927858516348,110.13563459450836,10899747.972983617
Flatfishes,95341.55794298879,3.3607123310181057,229.46282234748207,21877342.972604204
Herring-likes,321053.3533330292,3.2772625625795544,189.34880238043124,60791067.95383051
Molluscs,104444.99463952529,2.4593537427281715,28.797430759156274,3007747.501272178
Other fishes & inverts,332730.3585981146,3.4023432616589977,252.54760928124932,84030256.59924662
Perch-likes,346155.27542369766,3.6375612625573135,434.07149042788234,150256136.32263854
"Salmon, smelts, etc",10670.2681171143,3.363704982182091,231.04947295058935,2465359.8247007364
Scorpionfishes,9284.417181474802,3.8455491026882553,700.7274048120449,6505845.556767199
Sharks & rays,17137.2702349019,3.923540976404151,838.5731956601669,14370855.465773543
Tuna & billfishes,602.3012277857,4.445810370118448,2791.324774024404,1681218.3385435403
