unit_id,area_name,area_type,year,raw_rows_selected,taxon_rows_standardized,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled,source_data_status
HS_018,,,2019,0,0,0.0,0.0,0.0,True,empty_catch_archive
HS_021,"Atlantic, Northwest",high_seas,2019,561,67,87745.0994728874,87745.09947288739,-1.4551915228366852e-11,True,available
HS_027,"Atlantic, Northeast",high_seas,2019,1237,131,734932.2904610422,734932.2904610422,0.0,True,available
HS_031,"Atlantic, Western Central",high_seas,2019,290,32,16859.0112032287,16859.0112032287,0.0,True,available
HS_034,"Atlantic, Eastern Central",high_seas,2019,437,37,235319.4552726861,235319.4552726861,0.0,True,available
HS_041,"Atlantic, Southwest",high_seas,2019,321,33,62238.3652132951,62238.365213295096,-7.275957614183426e-12,True,available
HS_047,"Atlantic, Southeast",high_seas,2019,257,35,41830.7267805337,41830.7267805337,0.0,True,available
HS_048,"Atlantic, Antarctic",high_seas,2019,43,6,154127.6154029508,154127.6154029508,0.0,True,available
HS_051,"Indian Ocean, Western",high_seas,2019,262,36,377854.0083285441,377854.0083285441,0.0,True,available
HS_057,"Indian Ocean, Eastern",high_seas,2019,257,34,249459.5239463328,249459.5239463328,0.0,True,available
HS_058,"Indian Ocean, Antarctic",high_seas,2019,51,6,1622.2799593135,1622.2799593135003,2.2737367544323206e-13,True,available
HS_061,"Pacific, Northwest",high_seas,2019,467,21,132995.67933726677,132995.6793372668,2.9103830456733704e-11,True,available
HS_067,"Pacific, Northeast",high_seas,2019,77,16,402.2913954087,402.2913954087,0.0,True,available
HS_071,"Pacific, Western Central",high_seas,2019,764,23,571817.786555246,571817.786555246,0.0,True,available
HS_077,"Pacific, Eastern Central",high_seas,2019,1083,26,860671.2076084926,860671.2076084926,0.0,True,available
HS_081,"Pacific, Southwest",high_seas,2019,728,27,45252.4668227171,45252.46682271709,-7.275957614183426e-12,True,available
HS_087,"Pacific, Southeast",high_seas,2019,543,25,245882.4176735426,245882.41767354263,2.9103830456733704e-11,True,available
HS_088,"Pacific, Antarctic",high_seas,2019,353,32,3559.327863,3559.327863,0.0,True,available
LME_001,East Bering Sea,lme,2019,453,73,1300999.7714510455,1300999.771451045,-4.656612873077393e-10,True,available
LME_002,Gulf of Alaska,lme,2019,1528,170,1102866.6258441233,1102866.6258441233,0.0,True,available
LME_003,California Current,lme,2019,2433,277,1037537.6190575529,1037537.6190575529,0.0,True,available
LME_004,Gulf of California,lme,2019,644,129,664877.8552277526,664877.8552277526,0.0,True,available
LME_005,Gulf of Mexico,lme,2019,12968,418,1549275.8254257175,1549275.8254257175,0.0,True,available
LME_006,Southeast U.S. Continental Shelf,lme,2019,5973,283,115599.57003481101,115599.570034811,-1.4551915228366852e-11,True,available
LME_007,Northeast U.S. Continental Shelf,lme,2019,5309,232,700878.7473042158,700878.7473042159,1.1641532182693481e-10,True,available
LME_008,Scotian Shelf,lme,2019,574,92,148680.2607308072,148680.2607308072,0.0,True,available
LME_009,Newfoundland-Labrador Shelf,lme,2019,1041,111,506689.99406100804,506689.99406100804,0.0,True,available
LME_010,Insular Pacific-Hawaiian,lme,2019,632,140,21171.953396398498,21171.9533963985,3.637978807091713e-12,True,available
