commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,0.07326971709999999,3.11,128.82495516931337,9.438968020675771
Cod-likes,26895.4619577919,4.115325022338194,1304.1424225471037,35075512.9131582
Crustaceans,262.8419529171,3.131419850663356,135.33803003844992,35572.51211925932
Flatfishes,37.10074451359999,3.2604988607764254,182.17922942343475,6758.985046523371
Herring-likes,54.4192684623,3.336320608158051,216.9304954566552,11805.19886991547
Molluscs,24.851964369300003,2.1771318259126002,15.03598299629767,373.6737136813904
Other fishes & inverts,699326.3505697721,3.2814500592734386,191.18334649329222,133699551.99287027
Perch-likes,301.6978233262,3.6960160587380875,496.61068409089046,149826.3624307568
"Salmon, smelts, etc",0.8265607651,3.644665432086573,441.23040524257345,364.70374134268457
Scorpionfishes,32.4389876712,3.734988275697939,543.2356659940796,17622.01507173807
Sharks & rays,4611.594732014,4.347131236568111,2223.98183943722,10256102.93484349
Tuna & billfishes,3384.6326297222,4.506574849560249,3210.51608089273,10866417.48563737
