functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cephalopods,34.8408420766,3.9466581725229544,884.4192210661059,30813.91041067378
Large bathydemersals (>=90 cm),2.2832826661,4.203483888441455,1597.6582576584722,3647.905406063117
Large bathypelagics (>=90 cm),3.06399439,3.54,346.73685045253166,1062.399764592826
Large benthopelagics (>=90 cm),10502.0326970513,4.087882237396377,1224.2841792937586,12857472.481425669
Large demersals (>=90 cm),137.77031109429998,4.3257987707290075,2117.3798252320753,291712.07722701755
Large flatfishes (>=90 cm),23.5301886455,3.260023565527771,181.9799601229004,4282.022791392414
Large pelagics (>=90 cm),3351.7616588766996,4.5066114059922855,3210.7863351959736,10761790.533155095
Large rays (>=90 cm),0.7321454007999999,3.6022111886904313,400.13928216094115,292.9601351135465
Large reef assoc. fish (>=90 cm),0.010525861999999999,3.56,363.0780547701014,3.8217094997385286
Large sharks (>=90 cm),4610.862586613201,4.347249520246441,2224.5876416983697,10257267.927749105
"Lobsters, crabs",183.55478841680002,3.3106818070735304,204.49458248581738,37535.959820566066
Medium bathydemersals (30 - 89 cm),770.1112416077,4.459815799657054,2882.8085381320543,2220083.2626181548
Medium bathypelagics (30 - 89 cm),9.893085539999998,3.9959083906462416,990.6229624966537,9800.317705867605
Medium benthopelagics (30 - 89 cm),16317.0543874085,4.129873127254639,1348.5688604824973,22004671.44165841
Medium demersals (30 - 89 cm),697406.4219323833,3.2800466769016055,190.56655231954178,132902337.39316197
Medium pelagics (30 - 89 cm),1443.9948900258,3.4184490729567605,262.08916847639017,378455.4200110184
Medium reef assoc. fish (30 - 89 cm),0.7478108564,2.5323921822272166,34.07157283506617,25.479092060685808
Other demersal invertebrates,29.482190523900005,2.2313869744953934,17.03675878533178,502.2809684188788
Shrimps,79.1296216783,2.7158525128135804,51.981943494074855,4113.311522788911
Small pelagics (<30 cm),11.4417240566,3.1199022605710938,131.7960093840298,1507.973571133133
Small to medium flatfishes (<90 cm),13.570555868099998,3.2613229822768135,182.5252627437,2476.969275403012
