commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,0.0052133158,2.97,93.32543007969915,0.4865349391762908
Cod-likes,706803.8940885267,3.771814822437368,591.3094536956745,417939824.4834621
Crustaceans,27630.049904951098,3.675917663722411,474.15208400617524,13100845.743627187
Flatfishes,69768.85210018101,3.7457963772897322,556.9245688251864,38855987.87332151
Herring-likes,27995.9477756774,3.160677930288026,144.7697852883678,4052967.3484291756
Molluscs,2547.1570238147997,2.156281445323247,14.331163320316847,36503.72331078208
Other fishes & inverts,35364.4433107304,3.1812978702740278,151.80912262089294,5368645.110978289
Perch-likes,169.1047980331,3.5280693356944957,337.3411613272112,57046.00895448945
"Salmon, smelts, etc",157619.026070673,4.047743998239861,1116.2050890518558,175935159.03148234
Scorpionfishes,64246.36009520989,3.594656462160672,393.238890558708,25264167.36627559
Sharks & rays,9848.127002097699,3.8220375487881553,663.800459630672,6537191.230493684
Tuna & billfishes,873.6584609124,4.3138332681755935,2059.838959996543,1799595.7355179784
