functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cephalopods,5106.4303403527,3.9393028566351056,869.5666129366246,4440381.335257312
Jellyfish,40139.1634272116,3.4196502530631414,262.81506316898555,10549176.77167285
Large bathydemersals (>=90 cm),64.343582759,4.35,2238.7211385683377,144047.33885379453
Large benthopelagics (>=90 cm),7457.1659083084,2.0882696099426026,12.253766768269454,91378.37179270136
Large demersals (>=90 cm),237.0216149664,4.362415272521652,2303.6435092673833,546013.3048734202
Large pelagics (>=90 cm),16039.875947143697,4.384756950679143,2425.2524427139606,38900748.32163915
Large rays (>=90 cm),1758.8844647772999,3.4383298745066844,274.36573643646824,482577.63148528716
Large reef assoc. fish (>=90 cm),3550.1292126048,3.5564726701695224,360.1410862694715,1278547.3910244762
Large sharks (>=90 cm),7543.8364159836,4.119821550697144,1317.7151851115564,9940627.799339129
"Lobsters, crabs",20330.6246877903,3.534668781701106,342.5064715027609,6963370.525261976
Medium benthopelagics (30 - 89 cm),8046.0923318461,3.914033255518334,820.414364055828,6601129.723565992
Medium demersals (30 - 89 cm),202312.708264898,3.4033307855857986,253.12252003583853,51209902.55128641
Medium pelagics (30 - 89 cm),83202.2185875804,3.0642112935009482,115.93412631461582,9645976.519388823
Medium reef assoc. fish (30 - 89 cm),15593.484553020098,3.8357793112385026,685.1399809100038,10683719.70897663
Other demersal invertebrates,14833.2768384021,2.329080184410073,21.334387766321072,316458.8799156595
Shrimps,26997.0704384966,2.8023696708991848,63.44094900291485,1712719.768916763
Small benthopelagics (<30 cm),2348.5580010139,3.602238964891012,400.16487471358164,939810.4182333071
Small demersals (<30 cm),25100.8600549294,3.7538044226527814,567.2890786093911,14239443.77286417
Small pelagics (<30 cm),169941.1704139635,2.956951847802666,90.5632183787114,15390419.327733584
Small to medium flatfishes (<90 cm),14274.9401417047,3.8015535776013145,633.2184751472323,9039155.829348266
