unit_id,ecosystem,model,method,status
HS_077,"Pacific, Eastern Central",077HS_1_Eastern_tropical_Pacific_(1993-1997),all,model unverified in atlas; estimate not generated
LME_013,Humboldt Current,13_1_Chilean_Patagonia_(1980),all,model unverified in atlas; estimate not generated
LME_013,Humboldt Current,13_2_Northern_Humboldt_Current_(1995-1998),new_TE_EEfix,FAILED diagnostic for this SPPR_new configuration
LME_013,Humboldt Current,13_2_Northern_Humboldt_Current_(1995-1998),new_GE,FAILED diagnostic for this SPPR_new configuration
LME_013,Humboldt Current,13_2_Northern_Humboldt_Current_(1995-1998),new_WithEgestion,FAILED diagnostic for this SPPR_new configuration
LME_013,Humboldt Current,13_2_Northern_Humboldt_Current_(1995-1998),sym_TE_asDC,did not resolve for any mapped group
LME_013,Humboldt Current,13_2_Northern_Humboldt_Current_(1995-1998),sym_GE_asPP,DIVERGED - negative SPPR in a source-model group
LME_013,Humboldt Current,13_2_Northern_Humboldt_Current_(1995-1998),sym_GE_asDC,did not resolve for any mapped group
LME_027,Canary Current,27_118_Northwest_Africa_(1987),all,model unverified in atlas; estimate not generated
LME_027,Canary Current,27_1_Banc_d_Arguin_and_Mauritanian_Shelf_(1991),all,model unverified in atlas; estimate not generated
LME_028,Guinea Current,28_646_Guinea_(1998),SPPR_2015,IMPLAUSIBLE - up to 29x the trophic-chain estimate; the solve is near-singular for this model
LME_028,Guinea Current,28_646_Guinea_(1998),new_TE_noEEfix,IMPLAUSIBLE - up to 29x the trophic-chain estimate; the solve is near-singular for this model
LME_028,Guinea Current,28_646_Guinea_(1998),new_TE_EEfix,IMPLAUSIBLE - up to 29x the trophic-chain estimate; the solve is near-singular for this model
LME_028,Guinea Current,28_646_Guinea_(1998),sym_TE_asPP,IMPLAUSIBLE - up to 29x the trophic-chain estimate; the solve is near-singular for this model
LME_028,Guinea Current,28_646_Guinea_(1998),sym_TE_asDC,DIVERGED - negative SPPR in a source-model group
LME_028,Guinea Current,28_646_Guinea_(1998),sym_WithEgestion_asDC,DIVERGED - negative SPPR in a source-model group
LME_028,Guinea Current,28_646_Guinea_(1998),MC_new_TE_EEfix,IMPLAUSIBLE - up to 34x the trophic-chain estimate; the solve is near-singular for this model
LME_028,Guinea Current,28_726_Guinea_(1985),all,model unverified in atlas; estimate not generated
LME_034,Bay of Bengal,34_1_Bay_of_Bengal_(1978),sym_TE_asDC,DIVERGED - negative SPPR in a source-model group
LME_034,Bay of Bengal,34_1_Bay_of_Bengal_(1978),sym_GE_asDC,DIVERGED - negative SPPR in a source-model group
LME_034,Bay of Bengal,34_1_Bay_of_Bengal_(1978),sym_WithEgestion_asDC,DIVERGED - negative SPPR in a source-model group
LME_035,Gulf of Thailand,35_412_Gulf_of_Thailande_(1963),sym_TE_asPP,did not resolve for any mapped group
LME_035,Gulf of Thailand,35_412_Gulf_of_Thailande_(1963),sym_TE_asDC,did not resolve for any mapped group
LME_035,Gulf of Thailand,35_412_Gulf_of_Thailande_(1963),sym_GE_asPP,did not resolve for any mapped group
LME_035,Gulf of Thailand,35_412_Gulf_of_Thailande_(1963),sym_GE_asDC,did not resolve for any mapped group
LME_035,Gulf of Thailand,35_412_Gulf_of_Thailande_(1963),sym_WithEgestion_asPP,did not resolve for any mapped group
LME_035,Gulf of Thailand,35_412_Gulf_of_Thailande_(1963),sym_WithEgestion_asDC,did not resolve for any mapped group
LME_047,East China Sea,47_1_East_China_Sea_(1997),SPPR_1986,returned zero for every mapped group - check the method upstream
LME_047,East China Sea,47_2_East_China_Sea_(2018),SPPR_1986,returned zero for every mapped group - check the method upstream
LME_052,Sea of Okhotsk,52_1_Sea_of_Okhotsk_NE_(1980),SPPR_1986,returned zero for every mapped group - check the method upstream
LME_052,Sea of Okhotsk,52_1_Sea_of_Okhotsk_NE_(1980),SPPR_2015,DIVERGED - negative SPPR in a source-model group
LME_052,Sea of Okhotsk,52_1_Sea_of_Okhotsk_NE_(1980),new_TE_noEEfix,DIVERGED - negative SPPR in a source-model group
LME_052,Sea of Okhotsk,52_1_Sea_of_Okhotsk_NE_(1980),new_TE_EEfix,FAILED diagnostic for this SPPR_new configuration
LME_052,Sea of Okhotsk,52_1_Sea_of_Okhotsk_NE_(1980),sym_TE_asPP,DIVERGED - negative SPPR in a source-model group
LME_052,Sea of Okhotsk,52_1_Sea_of_Okhotsk_NE_(1980),sym_TE_asDC,DIVERGED - negative SPPR in a source-model group
LME_052,Sea of Okhotsk,52_1_Sea_of_Okhotsk_NE_(1980),MC_new_TE_EEfix,IMPLAUSIBLE - up to 357x the trophic-chain estimate; the solve is near-singular for this model
LME_052,Sea of Okhotsk,52_2_Sea_of_Okhotsk_SD_(1980),all,model unverified in atlas; estimate not generated
