import_group,paper_Table1_code,group_name
1,4,Large phytoplankton
2,5,Small phytoplankton
3,6,Microzooplankton
4,7,Mesozooplakton
5,8,Macrozooplankton
6,9,Small jellyfish
7,10,Large jellyfish
8,11,Macrobenthos
9,12,Forage fish
10,13,Mesopelagics
11,14,Cephalopods
12,15,Pelagic planktivorous fish
13,16,Pelagic piscivorous fish
14,17,Demersal piscivorous fish
15,18,Demersal planktivorous fish
16,19,Demersal benthivorous fish
17,20,Apex predatory fish
18,21,Seabirds
19,22,Marine mammals
20,23,Sea turtles
21,24,Fish eggs
22,25,Detritus offal
23,26,Pelagic detritus
24,27,Benthic detritus
