unit_id,region_name,region_type,year,taxon,common_name,functional_group,commercial_group,catch_tonnes,landings_tonnes,discards_tonnes,reported_tonnes,unreported_tonnes,taxon_key,tl,match_method,tl_source,match_confidence,reference_taxon,sppr,ppr
LME_052,Sea of Okhotsk,LME,2019,Gadus chalcogrammus,Alaska pollock,Medium benthopelagics (30 - 89 cm),Cod-likes,2636838.8137454437,1713630.3252850005,923208.4884604431,1276861.461841779,1359977.3519036646,gadus chalcogrammus,3.57,exact_sea_around_us,Sea Around Us exploited organisms,high,Gadus chalcogrammus,371.5352290971724,979678512.7572298
LME_052,Sea of Okhotsk,LME,2019,Clupea pallasii,Pacific herring,Medium pelagics (30 - 89 cm),Herring-likes,473415.58572658035,311472.56263646035,161943.02309012003,264299.50770965574,209116.0780169246,clupea pallasii,3.16,exact_sea_around_us,Sea Around Us exploited organisms,high,Clupea pallasii,144.5439770745928,68429371.57001774
LME_052,Sea of Okhotsk,LME,2019,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,375147.6485688514,282776.7011184691,92370.9474503823,234739.7200607072,140407.9285081442,marine fishes not identified,3.28,exact_sea_around_us,Sea Around Us exploited organisms,high,Marine fishes not identified,190.54607179632464,71482910.77842273
LME_052,Sea of Okhotsk,LME,2019,Oncorhynchus gorbuscha,Pink salmon,Medium demersals (30 - 89 cm),"Salmon, smelts, etc",332892.38130680297,294802.1737119019,38090.207594901105,201899.126142926,130993.255163877,oncorhynchus gorbuscha,4.49,exact_2020_supplement,2020 supplement MeanTL,high,Oncorhynchus gorbuscha,3090.295432513592,1028735805.4709862
LME_052,Sea of Okhotsk,LME,2019,Oncorhynchus keta,Chum salmon,Large benthopelagics (>=90 cm),"Salmon, smelts, etc",143367.6820607762,143367.6820607762,0.0,48546.446560204495,94821.2355005717,oncorhynchus keta,3.74,exact_2020_supplement,2020 supplement MeanTL,high,Oncorhynchus keta,549.5408738576248,78786401.28262106
LME_052,Sea of Okhotsk,LME,2019,Gadus macrocephalus,Pacific cod,Large demersals (>=90 cm),Cod-likes,128809.9314916162,104755.3886975174,24054.5427940988,91003.1687145816,37806.7627770346,gadus macrocephalus,4.16,exact_2020_supplement,2020 supplement MeanTL,high,Gadus macrocephalus,1445.439770745928,186186997.8450404
LME_052,Sea of Okhotsk,LME,2019,Sardinops sagax,South American pilchard,Medium pelagics (30 - 89 cm),Herring-likes,81121.5847171905,81099.5877493409,21.9969678496,80330.55149769591,791.0332194946,sardinops sagax,2.84,exact_2020_supplement,2020 supplement MeanTL,high,Sardinops sagax,69.18309709189363,5612242.471737665
LME_052,Sea of Okhotsk,LME,2019,Teuthida,Squids,Cephalopods,Other fishes & inverts,57346.99703172629,57346.99703172629,0.0,47852.1447879413,9494.852243785,teuthida,4.13,exact_sea_around_us,Sea Around Us exploited organisms,high,Teuthida,1348.9628825916532,77358970.42389248
LME_052,Sea of Okhotsk,LME,2019,Oncorhynchus nerka,Sockeye salmon,Medium pelagics (30 - 89 cm),"Salmon, smelts, etc",56581.4036861205,52343.2555856278,4238.1481004927,34239.912744633795,22341.490941486703,oncorhynchus nerka,3.54,exact_2020_supplement,2020 supplement MeanTL,high,Oncorhynchus nerka,346.73685045253166,19618857.70830869
LME_052,Sea of Okhotsk,LME,2019,Pleuronectiformes,Flatfishes,Small to medium flatfishes (<90 cm),Flatfishes,52221.8966446188,47990.3200956189,4231.576548999899,37430.8760626906,14791.020581928202,pleuronectiformes,3.57,exact_sea_around_us,Sea Around Us exploited organisms,high,Pleuronectiformes,371.5352290971724,19402274.333747305
LME_052,Sea of Okhotsk,LME,2019,Eleginus gracilis,Saffron cod,Medium demersals (30 - 89 cm),Cod-likes,35580.6827758283,32367.8836826624,3212.7990931659,24341.437754562,11239.2450212663,eleginus gracilis,4.1,exact_2020_supplement,2020 supplement MeanTL,high,Eleginus gracilis,1258.9254117941662,44793425.71547724
LME_052,Sea of Okhotsk,LME,2019,Chionoecetes,"Tanner, snow crabs","Lobsters, crabs",Crustaceans,30271.9314727819,30271.9314727819,0.0,21462.1044441155,8809.8270286664,chionoecetes,2.3,exact_sea_around_us,Sea Around Us exploited organisms,high,Chionoecetes,19.952623149688787,604004.4406896207
