taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Gadus chalcogrammus,Walleye pollock | Juv. pollock,0.538746 | 0.461254,model_biomass,medium,146132008.462,0.000000,456.532042,83.519200,140.257508,874.701913,877.262755,875.944230,2360.776945,2360.776945,2398.372875,1280.348462,394.598659,2398.372875,2360.776945,1280.348462,1280.348462,394.598659,394.598659,1718.517463,2542.619715
Clupea pallasii,Pacific herring,1.000000,single,high,18753775.683,0.000000,614.061386,103.481369,102.762126,206.633066,206.633066,166.752884,674.695058,674.695058,685.237148,543.540581,184.067328,685.237148,674.695058,543.540581,543.540581,184.067328,184.067328,701.579329,748.502657
Marine fishes not identified,Other bottom fishes | Other Gadidae | Cottidae | Pleuronectidae,0.379682 | 0.474172 | 0.000000 | 0.146146,catch_composition,medium,14223073.136,0.000000,543.741533,93.693872,233.024916,3717.037561,4576.955710,1766.478285,-220473.706559,-220473.706559,-224113.066944,9426.429819,1064.654543,-224113.066944,-220473.706559,9426.429819,9426.429819,1064.654543,1064.654543,33749.645741,782832.189582
Oncorhynchus gorbuscha,Salmon,1.000000,single,high,11221364.935,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,98.758639,768.315028
Sardinops sagax,Pacific Sardine,1.000000,single,medium,6361027.532,0.000000,14.256076,6.822160,9.974089,16.077349,16.077349,13.054808,22.182506,22.182506,22.399947,18.034849,10.353095,22.399947,22.182506,18.034849,18.034849,10.353095,10.353095,20.670316,23.720116
Gadus macrocephalus,Other Gadidae,1.000000,single,high,5161513.421,0.000000,707.656366,114.652683,277.542915,7317.526805,9118.647223,3191.526528,-469569.202248,-469569.202248,-477319.412817,17690.132028,1835.974421,-477319.412817,-469569.202248,17690.132028,17690.132028,1835.974421,1835.974421,68000.609192,1645094.341484
Oncorhynchus,Salmon,1.000000,single,high,3616523.455,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,98.758639,768.315028
Oncorhynchus keta,Salmon,1.000000,single,high,3266940.097,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,98.758639,768.315028
Pleuronectiformes,Pleuronectidae | Other bottom fishes,0.277935 | 0.722065,catch_composition,medium,2647805.622,0.000000,395.928999,74.793967,192.880176,470.245142,481.420750,481.420750,4151.701848,4151.701848,4219.359124,1974.518741,369.105866,4219.359124,4151.701848,1974.518741,1974.518741,369.105866,369.105866,2863.351982,5275.022238
Paralithodes camtschaticus,Crabs and shrimps,1.000000,single,high,2194189.219,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Pleurogrammus azonus,Other bottom fishes,1.000000,single,medium,1970290.649,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Scomber,Unresolved,,,unresolved,1716358.066,,,,,,,,,,,,,,,,,,,,
Teuthida,Squids,1.000000,single,high,1601595.175,0.000000,957.310082,142.631647,119.679026,66.859093,71.954070,34.034275,245.671067,245.671067,249.518872,112.246832,37.014939,249.518872,245.671067,112.246832,112.246832,37.014939,37.014939,147.581283,273.218985
Eleginus gracilis,Other Gadidae,1.000000,single,high,1420067.304,0.000000,707.656366,114.652683,277.542915,7317.526805,9118.647223,3191.526528,-469569.202248,-469569.202248,-477319.412817,17690.132028,1835.974421,-477319.412817,-469569.202248,17690.132028,17690.132028,1835.974421,1835.974421,68000.609192,1645094.341484
Ammodytes personatus,Ammodytidae,1.000000,single,high,1413151.605,0.000000,100.461579,27.971595,31.859625,94.463189,94.463189,47.987300,92.596847,92.596847,94.628894,29.973178,17.402106,94.628894,92.596847,29.973178,29.973178,17.402106,17.402106,36.807626,94.424628
Todarodes pacificus,Squids,1.000000,single,high,1397772.673,0.000000,957.310082,142.631647,119.679026,66.859093,71.954070,34.034275,245.671067,245.671067,249.518872,112.246832,37.014939,249.518872,245.671067,112.246832,112.246832,37.014939,37.014939,147.581283,273.218985
Mollusca,2nd level benthos | Carnivorous invertebrates | Squids,0.290750 | 0.080174 | 0.629076,catch_composition,low,1330721.237,0.000000,613.145494,93.496428,79.057490,46.128964,49.334090,24.344420,158.383684,158.383684,160.889521,72.751657,24.743479,160.889521,158.383684,72.751657,72.751657,24.743479,24.743479,95.464300,175.923991
Cololabis saira,Unresolved,,,unresolved,1247073.954,,,,,,,,,,,,,,,,,,,,
Pleurogrammus monopterygius,Other bottom fishes,1.000000,single,medium,1245166.946,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Oncorhynchus nerka,Salmon,1.000000,single,high,1182462.308,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,98.758639,768.315028
Pleuronectidae,Pleuronectidae,1.000000,single,high,1084818.657,0.000000,233.243340,51.411960,126.519418,324.117476,325.251045,325.251045,2211.992883,2211.992883,2248.486658,1061.044702,181.154642,2248.486658,2211.992883,1061.044702,1061.044702,181.154642,181.154642,1563.239343,2786.139764
Mallotus villosus,Capelin,1.000000,single,high,1077371.301,0.000000,260.615355,55.704276,66.983902,104.246048,104.246048,83.501085,284.829330,284.829330,289.283341,227.729646,82.514502,289.283341,284.829330,227.729646,227.729646,82.514502,82.514502,299.605637,310.178266
Miscellaneous marine crustaceans,Crabs and shrimps,1.000000,single,high,935887.171,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Scomber japonicus,Unresolved,,,unresolved,883031.144,,,,,,,,,,,,,,,,,,,,
Pectinidae,2nd level benthos,1.000000,single,medium,730793.024,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,3.133370,4.076903
Moridae,Other bottom fishes,1.000000,single,medium,641456.819,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Engraulis japonicus,Unresolved,,,unresolved,546075.036,,,,,,,,,,,,,,,,,,,,
Laemonema longipes,Other bottom fishes,1.000000,single,medium,535524.236,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Chionoecetes,Crabs and shrimps,1.000000,single,high,513134.296,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Oncorhynchus kisutch,Salmon,1.000000,single,high,418738.451,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,98.758639,768.315028
Chionoecetes opilio,Crabs and shrimps,1.000000,single,high,409348.485,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Bivalvia,2nd level benthos,1.000000,single,medium,391148.826,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,3.133370,4.076903
Atheresthes evermanni,Pleuronectidae,1.000000,single,high,383636.504,0.000000,233.243340,51.411960,126.519418,324.117476,325.251045,325.251045,2211.992883,2211.992883,2248.486658,1061.044702,181.154642,2248.486658,2211.992883,1061.044702,1061.044702,181.154642,181.154642,1563.239343,2786.139764
Batoidea,Unresolved,,,unresolved,375866.584,,,,,,,,,,,,,,,,,,,,
