unit_id,model,source,separate_discard_fields,discard_named_groups
HS_077,077HS_1_Eastern_tropical_Pacific_(1993-1997),PPREstimation\real_models\global_cover_jsons\077HS_1_Eastern_tropical_Pacific_(1993-1997).json,,
LME_013,13_1_Chilean_Patagonia_(1980),PPREstimation\real_models\global_cover_jsons\13_1_Chilean_Patagonia_(1980).json,discards_by_fleet;discards_total,
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),PPREstimation\real_models\global_cover_jsons\13_2_Northern_Humboldt_Current_(1995-1998).json,discards_by_fleet;discards_total,Fishery offal
LME_027,27_118_Northwest_Africa_(1987),PPREstimation\real_models\global_cover_jsons\27_118_Northwest_Africa_(1987).json,,
LME_027,27_1_Banc_d_Arguin_and_Mauritanian_Shelf_(1991),PPREstimation\real_models\global_cover_jsons\27_1_Banc_d_Arguin_and_Mauritanian_Shelf_(1991).json,,
LME_028,28_646_Guinea_(1998),PPREstimation\real_models\global_cover_jsons\28_646_Guinea_(1998).json,,
LME_028,28_726_Guinea_(1985),PPREstimation\real_models\global_cover_jsons\28_726_Guinea_(1985).json,,
LME_032,32_1_Arabian_Sea_off_Karnataka_(2000),PPREstimation\real_models\global_cover_jsons\32_1_Arabian_Sea_off_Karnataka_(2000).json,,
LME_034,34_1_Bay_of_Bengal_(1978),PPREstimation\real_models\global_cover_jsons\34_1_Bay_of_Bengal_(1978).json,,
LME_035,35_412_Gulf_of_Thailande_(1963),PPREstimation\real_models\global_cover_jsons\35_412_Gulf_of_Thailande_(1963).json,,
LME_036,36_1_South_China_Sea_SCS-2007_Northern_South_China_Sea_(2000s),PPREstimation\real_models\global_cover_jsons\36_1_South_China_Sea_SCS-2007_Northern_South_China_Sea_(2000s).json,,
LME_036,36_2_South_China_Sea_SCS-2007_Northern_South_China_Sea_(1970s),PPREstimation\real_models\global_cover_jsons\36_2_South_China_Sea_SCS-2007_Northern_South_China_Sea_(1970s).json,,
LME_047,47_1_East_China_Sea_(1997),PPREstimation\real_models\global_cover_jsons\47_1_East_China_Sea_(1997).json,,
LME_047,47_2_East_China_Sea_(2018),PPREstimation\real_models\global_cover_jsons\47_2_East_China_Sea_(2018).json,,
LME_052,52_1_Sea_of_Okhotsk_NE_(1980),PPREstimation\real_models\global_cover_jsons\52_1_Sea_of_Okhotsk_NE_(1980).json,,
LME_052,52_2_Sea_of_Okhotsk_SD_(1980),PPREstimation\real_models\global_cover_jsons\52_2_Sea_of_Okhotsk_SD_(1980).json,,
