scenario_id,model_id,model_label,method,scope,fraction,route,status,valid,numerical_valid,physical_valid,source_validity,evidence_status,reasons,ppr_fixed_H_tC,ppr_retained_L_tC,raw_numeric_ppr_fixed_H_tC,baseline_ppr_fixed_H_tC,baseline_ppr_retained_L_tC,fixed_standard_ppr_tC,standard_relative_excess_pct,standard_absolute_difference_tC,denominator_name,denominator_value,ppr_to_native_pp_pct,ppr_retained_to_native_pp_pct,designated_discard_native,retained_native,fixed_H_native,coverage_fraction,meaningful_sensitivity,source_json_sha256,source_workbook_sha256,assumptions,method_conservation_valid,native_denominator_compatible,native_ratio_reason
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Northern_Humboldt_Current (1995-1998),standard_fixed_baseline_TL,all,0.0,S0,valid,True,True,True,accounting_baseline_with_inferred_accumulation,imported_baseline,[],491.13855307725066,491.13855307725066,491.13855307725066,491.13855307725066,491.13855307725066,491.13855307725066,0.0,0.0,Native modeled primary-producer production / 9,1252.5618275006611,,,0.0,35.5395489180725,35.5395489180725,1.0,True,4a851308ce4018ec710c745865c8b0b65096b8c5a47da18c51de4e8a6c865381,52971a97809ef96a40316518777ae66ff613ba0cc594d4e50ebc3c171693b65b,"Freeze completed living P,Q,diet,predation,accumulation,migration. Solve EE for SM; detritus accumulation absorbs the change in routed inflow at fixed detritus predation. No new consumption is assumed.",,False,"All-source PPR includes imported support, while this denominator is internal model PP only; the boundary-mismatched native ratio is unavailable. PPR remains available."
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Northern_Humboldt_Current (1995-1998),standard_fixed_baseline_TL,inner,0.0,S0,unavailable,False,True,True,accounting_baseline_with_inferred_accumulation,imported_baseline,"[""This trophic-chain method has no source attribution for inner/PP scope.""]",,,,,,,,,Native modeled primary-producer production / 9,1252.5618275006611,,,0.0,35.5395489180725,35.5395489180725,,True,4a851308ce4018ec710c745865c8b0b65096b8c5a47da18c51de4e8a6c865381,52971a97809ef96a40316518777ae66ff613ba0cc594d4e50ebc3c171693b65b,"Freeze completed living P,Q,diet,predation,accumulation,migration. Solve EE for SM; detritus accumulation absorbs the change in routed inflow at fixed detritus predation. No new consumption is assumed.",,True,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Northern_Humboldt_Current (1995-1998),standard_fixed_baseline_TL,PP,0.0,S0,unavailable,False,True,True,accounting_baseline_with_inferred_accumulation,imported_baseline,"[""This trophic-chain method has no source attribution for inner/PP scope.""]",,,,,,,,,Native modeled primary-producer production / 9,1252.5618275006611,,,0.0,35.5395489180725,35.5395489180725,,True,4a851308ce4018ec710c745865c8b0b65096b8c5a47da18c51de4e8a6c865381,52971a97809ef96a40316518777ae66ff613ba0cc594d4e50ebc3c171693b65b,"Freeze completed living P,Q,diet,predation,accumulation,migration. Solve EE for SM; detritus accumulation absorbs the change in routed inflow at fixed detritus predation. No new consumption is assumed.",,True,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Northern_Humboldt_Current (1995-1998),SPPR_1995_TE0.1,all,0.0,S0,valid,True,True,True,accounting_baseline_with_inferred_accumulation,imported_baseline,[],491.13855307725066,491.13855307725066,491.13855307725066,491.13855307725066,491.13855307725066,491.13855307725066,0.0,0.0,Native modeled primary-producer production / 9,1252.5618275006611,,,0.0,35.5395489180725,35.5395489180725,1.0,True,4a851308ce4018ec710c745865c8b0b65096b8c5a47da18c51de4e8a6c865381,52971a97809ef96a40316518777ae66ff613ba0cc594d4e50ebc3c171693b65b,"Freeze completed living P,Q,diet,predation,accumulation,migration. Solve EE for SM; detritus accumulation absorbs the change in routed inflow at fixed detritus predation. No new consumption is assumed.",,False,"All-source PPR includes imported support, while this denominator is internal model PP only; the boundary-mismatched native ratio is unavailable. PPR remains available."
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Northern_Humboldt_Current (1995-1998),SPPR_1995_TE0.1,inner,0.0,S0,unavailable,False,True,True,accounting_baseline_with_inferred_accumulation,imported_baseline,"[""This trophic-chain method has no source attribution for inner/PP scope.""]",,,,,,,,,Native modeled primary-producer production / 9,1252.5618275006611,,,0.0,35.5395489180725,35.5395489180725,,True,4a851308ce4018ec710c745865c8b0b65096b8c5a47da18c51de4e8a6c865381,52971a97809ef96a40316518777ae66ff613ba0cc594d4e50ebc3c171693b65b,"Freeze completed living P,Q,diet,predation,accumulation,migration. Solve EE for SM; detritus accumulation absorbs the change in routed inflow at fixed detritus predation. No new consumption is assumed.",,True,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Northern_Humboldt_Current (1995-1998),SPPR_1995_TE0.1,PP,0.0,S0,unavailable,False,True,True,accounting_baseline_with_inferred_accumulation,imported_baseline,"[""This trophic-chain method has no source attribution for inner/PP scope.""]",,,,,,,,,Native modeled primary-producer production / 9,1252.5618275006611,,,0.0,35.5395489180725,35.5395489180725,,True,4a851308ce4018ec710c745865c8b0b65096b8c5a47da18c51de4e8a6c865381,52971a97809ef96a40316518777ae66ff613ba0cc594d4e50ebc3c171693b65b,"Freeze completed living P,Q,diet,predation,accumulation,migration. Solve EE for SM; detritus accumulation absorbs the change in routed inflow at fixed detritus predation. No new consumption is assumed.",,True,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Northern_Humboldt_Current (1995-1998),SPPR_1995_TEmean,all,0.0,S0,valid,True,True,True,accounting_baseline_with_inferred_accumulation,imported_baseline,[],460.6608517378714,460.6608517378714,460.6608517378714,460.6608517378714,460.6608517378714,491.13855307725066,6.616082357422015,30.47770133937928,Native modeled primary-producer production / 9,1252.5618275006611,,,0.0,35.5395489180725,35.5395489180725,1.0,True,4a851308ce4018ec710c745865c8b0b65096b8c5a47da18c51de4e8a6c865381,52971a97809ef96a40316518777ae66ff613ba0cc594d4e50ebc3c171693b65b,"Freeze completed living P,Q,diet,predation,accumulation,migration. Solve EE for SM; detritus accumulation absorbs the change in routed inflow at fixed detritus predation. No new consumption is assumed.",,False,"All-source PPR includes imported support, while this denominator is internal model PP only; the boundary-mismatched native ratio is unavailable. PPR remains available."
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Northern_Humboldt_Current (1995-1998),SPPR_1995_TEmean,inner,0.0,S0,unavailable,False,True,True,accounting_baseline_with_inferred_accumulation,imported_baseline,"[""This trophic-chain method has no source attribution for inner/PP scope.""]",,,,,,,,,Native modeled primary-producer production / 9,1252.5618275006611,,,0.0,35.5395489180725,35.5395489180725,,True,4a851308ce4018ec710c745865c8b0b65096b8c5a47da18c51de4e8a6c865381,52971a97809ef96a40316518777ae66ff613ba0cc594d4e50ebc3c171693b65b,"Freeze completed living P,Q,diet,predation,accumulation,migration. Solve EE for SM; detritus accumulation absorbs the change in routed inflow at fixed detritus predation. No new consumption is assumed.",,True,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Northern_Humboldt_Current (1995-1998),SPPR_1995_TEmean,PP,0.0,S0,unavailable,False,True,True,accounting_baseline_with_inferred_accumulation,imported_baseline,"[""This trophic-chain method has no source attribution for inner/PP scope.""]",,,,,,,,,Native modeled primary-producer production / 9,1252.5618275006611,,,0.0,35.5395489180725,35.5395489180725,,True,4a851308ce4018ec710c745865c8b0b65096b8c5a47da18c51de4e8a6c865381,52971a97809ef96a40316518777ae66ff613ba0cc594d4e50ebc3c171693b65b,"Freeze completed living P,Q,diet,predation,accumulation,migration. Solve EE for SM; detritus accumulation absorbs the change in routed inflow at fixed detritus predation. No new consumption is assumed.",,True,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1986|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Northern_Humboldt_Current (1995-1998),SPPR_1986,all,0.0,S0,valid,True,True,True,accounting_baseline_with_inferred_accumulation,imported_baseline,[],396.2325384249224,396.2325384249224,396.2325384249224,396.2325384249224,396.2325384249224,491.13855307725066,23.95210020600338,94.90601465232828,Native modeled primary-producer production / 9,1252.5618275006611,,,0.0,35.5395489180725,35.5395489180725,1.0,True,4a851308ce4018ec710c745865c8b0b65096b8c5a47da18c51de4e8a6c865381,52971a97809ef96a40316518777ae66ff613ba0cc594d4e50ebc3c171693b65b,"Freeze completed living P,Q,diet,predation,accumulation,migration. Solve EE for SM; detritus accumulation absorbs the change in routed inflow at fixed detritus predation. No new consumption is assumed.",,False,"All-source PPR includes imported support, while this denominator is internal model PP only; the boundary-mismatched native ratio is unavailable. PPR remains available."
