scenario_id,model_id,method,scope,fraction,route,valid,coefficient_effect,catch_effect,interaction,total_change,residual
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,0.0,S0,True,0.0,0.0,0.0,0.0,0.0
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,inner,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,PP,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TE0.1,all,0.0,S0,True,0.0,0.0,0.0,0.0,0.0
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TE0.1,inner,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TE0.1,PP,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TEmean,all,0.0,S0,True,0.0,0.0,0.0,0.0,0.0
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TEmean,inner,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TEmean,PP,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1986|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1986,all,0.0,S0,True,0.0,0.0,0.0,0.0,0.0
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1986|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1986,inner,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1986|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1986,PP,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_GE|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_GE,all,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_GE|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_GE,inner,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_GE|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_GE,PP,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_TE_EEfix|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_TE_EEfix,all,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_TE_EEfix|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_TE_EEfix,inner,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_TE_EEfix|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_TE_EEfix,PP,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_WithEgestion|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_WithEgestion,all,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_WithEgestion|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_WithEgestion,inner,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_WithEgestion|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_WithEgestion,PP,0.0,S0,False,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|Ulanowicz_TE|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Ulanowicz_TE,all,0.0,S0,True,0.0,0.0,0.0,0.0,0.0
13_2_Northern_Humboldt_Current_(1995-1998)|Ulanowicz_TE|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Ulanowicz_TE,inner,0.0,S0,True,0.0,0.0,0.0,0.0,0.0
13_2_Northern_Humboldt_Current_(1995-1998)|Ulanowicz_TE|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Ulanowicz_TE,PP,0.0,S0,True,0.0,0.0,0.0,0.0,0.0
