model_id,scope,fraction,route,method,ppr_fixed_H_tC,rank_ascending
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,S0,SPPR_1986,396.2325384249224,1
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,S0,SPPR_1995_TEmean,460.6608517378714,2
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,S0,standard_fixed_baseline_TL,491.13855307725066,3
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,S0,SPPR_1995_TE0.1,491.13855307725066,4
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,S0,Ulanowicz_TE,676.7127932266408,5
13_2_Northern_Humboldt_Current_(1995-1998),inner,0.0,S0,Ulanowicz_TE,674.8104783422024,1
13_2_Northern_Humboldt_Current_(1995-1998),PP,0.0,S0,Ulanowicz_TE,516.7523377875302,1
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,SC,SPPR_1986,396.2325384249224,1
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,SC,SPPR_1995_TEmean,460.6608517378714,2
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,SC,standard_fixed_baseline_TL,491.13855307725066,3
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,SC,SPPR_1995_TE0.1,491.13855307725066,4
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,SC,Ulanowicz_TE,676.7127932266408,5
13_2_Northern_Humboldt_Current_(1995-1998),inner,0.0,SC,Ulanowicz_TE,674.8104783422024,1
13_2_Northern_Humboldt_Current_(1995-1998),PP,0.0,SC,Ulanowicz_TE,516.7523377875302,1
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,SM,SPPR_1986,396.2325384249224,1
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,SM,SPPR_1995_TEmean,460.6608517378714,2
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,SM,standard_fixed_baseline_TL,491.13855307725066,3
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,SM,SPPR_1995_TE0.1,491.13855307725066,4
13_2_Northern_Humboldt_Current_(1995-1998),all,0.0,SM,Ulanowicz_TE,676.7127932266408,5
13_2_Northern_Humboldt_Current_(1995-1998),inner,0.0,SM,Ulanowicz_TE,674.8104783422024,1
13_2_Northern_Humboldt_Current_(1995-1998),PP,0.0,SM,Ulanowicz_TE,516.7523377875302,1
