model_id,method,scope,fraction,n_total,n_valid,n_invalid_or_unavailable,valid_routes,excluded_routes,uncertainty_type,min_fixed_H_tC,max_fixed_H_tC,range_fixed_H_tC,min_retained_L_tC,max_retained_L_tC,range_retained_L_tC,relative_spread_pct,baseline_ppr_fixed_H_tC,meaningful_sensitivity,status,assumption_class
13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,0.0,4,4,0,"['SC', 'SM', 'SE', 'SR']",[],discard-routing sensitivity envelope; not a confidence interval,491.13855307725066,491.13855307725066,0.0,491.13855307725066,491.13855307725066,0.0,0.0,491.13855307725066,True,assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,inner,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,PP,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TE0.1,all,0.0,4,4,0,"['SC', 'SM', 'SE', 'SR']",[],discard-routing sensitivity envelope; not a confidence interval,491.13855307725066,491.13855307725066,0.0,491.13855307725066,491.13855307725066,0.0,0.0,491.13855307725066,True,assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TE0.1,inner,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TE0.1,PP,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TEmean,all,0.0,4,4,0,"['SC', 'SM', 'SE', 'SR']",[],discard-routing sensitivity envelope; not a confidence interval,460.6608517378714,460.6608517378714,0.0,460.6608517378714,460.6608517378714,0.0,0.0,460.6608517378714,True,assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TEmean,inner,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TEmean,PP,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1986,all,0.0,4,4,0,"['SC', 'SM', 'SE', 'SR']",[],discard-routing sensitivity envelope; not a confidence interval,396.2325384249224,396.2325384249224,0.0,396.2325384249224,396.2325384249224,0.0,0.0,396.2325384249224,True,assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1986,inner,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1986,PP,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),new_GE,all,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),new_GE,inner,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),new_GE,PP,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,204.0296573802264,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),new_TE_EEfix,all,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,966.4451326076019,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),new_TE_EEfix,inner,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,962.6364801425882,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),new_TE_EEfix,PP,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,962.6364801425882,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),new_WithEgestion,all,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),new_WithEgestion,inner,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),new_WithEgestion,PP,0.0,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,64.32672593663342,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),Ulanowicz_TE,all,0.0,4,4,0,"['SC', 'SM', 'SE', 'SR']",[],discard-routing sensitivity envelope; not a confidence interval,676.7127932266408,676.7127932266408,0.0,676.7127932266408,676.7127932266408,0.0,0.0,676.7127932266408,True,assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),Ulanowicz_TE,inner,0.0,4,4,0,"['SC', 'SM', 'SE', 'SR']",[],discard-routing sensitivity envelope; not a confidence interval,674.8104783422024,674.8104783422024,0.0,674.8104783422024,674.8104783422024,0.0,0.0,674.8104783422024,True,assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),Ulanowicz_TE,PP,0.0,4,4,0,"['SC', 'SM', 'SE', 'SR']",[],discard-routing sensitivity envelope; not a confidence interval,516.7523377875302,516.7523377875302,0.0,516.7523377875302,516.7523377875302,0.0,0.0,516.7523377875302,True,assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,0.01,4,4,0,"['SC', 'SM', 'SE', 'SR']",[],discard-routing sensitivity envelope; not a confidence interval,491.13855307725066,491.13855307725066,0.0,486.2271675464782,486.2271675464782,0.0,0.0,491.13855307725066,True,assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,inner,0.01,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,PP,0.01,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TE0.1,all,0.01,4,4,0,"['SC', 'SM', 'SE', 'SR']",[],discard-routing sensitivity envelope; not a confidence interval,491.13855307725066,491.13855307725066,0.0,486.2271675464782,486.2271675464782,0.0,0.0,491.13855307725066,True,assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TE0.1,inner,0.01,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TE0.1,PP,0.01,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TEmean,all,0.01,4,4,0,"['SC', 'SM', 'SE', 'SR']",[],discard-routing sensitivity envelope; not a confidence interval,460.6608517378714,463.7949605801411,3.134108842269711,456.05424322049265,459.15701097433964,3.10276775384699,0.6803505942486909,460.6608517378714,True,assessed,hypothetical_designated_amounts
13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TEmean,inner,0.01,4,0,4,[],"['SC', 'SM', 'SE', 'SR']",discard-routing sensitivity envelope; not a confidence interval,,,,,,,,,True,not_assessed,hypothetical_designated_amounts
