Name,Type,Description
Group name,TEXT,"Functional group; these are the groups of species aggregated based on diet, life history, ecological role or economic importance (Table 2, 3)"
Category,TEXT,Functional groups grouped in guilds (Table 1)
Trophic level,NUMBER,Trophic Level of the functional group (Table 2)
Code,TEXT,"Functional group; these are the groups of species aggregated based on diet, life history, ecological role or economic importance (Table 1)"
Rec BF Catch,NUMBER,Annual landings in t/km2 for the recreational deep water fishery (Table 3)
No.,NUMBER,Functional group number (Table 1)
Biomass (t/km²),NUMBER,Initial biomass of the functional group in metric tons per squared kilometer (Table 2)
Com BF Catch,NUMBER,Annual landings in t/km2 for the commercial deep water fishery (Table 3)
Production / biomass (/year),NUMBER,Production per biomass ratio with unit per year (Table 2)
Functional group name (with examples of main families/species),TEXT,Full name of the functional group with example species (Table 1)
Spear,NUMBER,Annual landings in t/km2 for the recreational and commercial reef-based spear fishery (Table 3)
Consumption / biomass (/year),NUMBER,Comsumption per biomass ratio with unit per year (Table 2)
Net,NUMBER,Annual landings in t/km2 for the recreational and commercial reef-based net fishery (Table 3)
Ecotrophic Efficiency,NUMBER," Ecotrophic efficiency, unitless and should be below 1 (Table 2)"
Line,NUMBER,Annual landings in t/km2 for the recreational and commercial reef-based line fishery (Table 3)
Production / consumption,NUMBER,Production to Consumption ratio which in general is between 0.1 and 0.3 (Table 2)
Other,NUMBER,Annual landings in t/km2 for the recreational and commercial reef-based other types of fishery (Table 3)
Total,NUMBER,Total annual landings in t/km2 for the recreational and commercial deep-water and reef-based fisheries (Table 3)
DietMatrix,NUMBER,Table 4: All rows are preys and all columns are predators. The numbers in the column headings correspond to the number in the row headings. So this table shows per column (predator) the diet composition (in percentages) of the prey (rows) items.
VulnerabilityMatrix,NUMBER,Table 5: The rows represent the preys and functional group number and the columns represent the predators by functional group number. The values represent the vulnerability of that prey functional group to the predator. A high value represents a top-down control and a low value represents a bottom-up control.
