Scenario,Fleet_name,Catch_start,Catch_end,Catch_change,Value_start,Value_end,Value_change,Effort_change
Constant_effort,RecBFCatch,0.02890625,0.0591061,2.044752,0.1449256,0.2946111,2.032844,1
Constant_effort,CommBFCatch,0.02890625,0.0591061,2.044752,0.1449256,0.2946111,2.032844,1
Constant_effort,Spear,0.4942091,0.9524258,1.927172,1.417238,2.645135,1.866402,1
Constant_effort,Net,0.2070365,1.26034,6.087525,0.4854089,3.18349,6.558368,1
Constant_effort,Line,0.17093,1.521119,8.899078,0.5609806,4.859154,8.661892,1
Constant_effort,Other,0.07080236,0.229032,3.234808,0.1269795,0.527422,4.153598,1
No_Herb,RecBFCatch,0.02890625,0.05648975,1.95424,0.1449256,0.2820069,1.945874,1
No_Herb,CommBFCatch,0.02890625,0.05648975,1.95424,0.1449256,0.2820069,1.945874,1
No_Herb,Spear,0.4942091,0.2700658,0.5464607,1.417238,0.9183509,0.6479864,1
No_Herb,Net,0.2070365,0.3328352,1.607616,0.4854089,0.9646979,1.987392,1
No_Herb,Line,0.17093,1.110369,6.496047,0.5609806,3.761802,6.705761,1
No_Herb,Other,0.07080236,0.1753288,2.476313,0.1269795,0.4173818,3.287,1
No_Spear,RecBFCatch,0.02890625,0.05791255,2.003461,0.1449256,0.2888186,1.992875,1
No_Spear,CommBFCatch,0.02890625,0.05791255,2.003461,0.1449256,0.2888186,1.992875,1
No_Spear,Spear,0.4942091,1.10E-11,2.22E-11,1.417238,3.13E-11,2.21E-11,1.00E-11
No_Spear,Net,0.2070365,1.306782,6.311842,0.4854089,3.316419,6.832217,1
No_Spear,Line,0.17093,1.536136,8.986935,0.5609806,4.901682,8.737702,1
No_Spear,Other,0.07080236,0.2318219,3.274211,0.1269795,0.5404097,4.25588,1
No_Net,RecBFCatch,0.02890625,0.0581382,2.011268,0.1449256,0.289926,2.000517,1
No_Net,CommBFCatch,0.02890625,0.0581382,2.011268,0.1449256,0.289926,2.000517,1
No_Net,Spear,0.4942091,1.00481,2.033168,1.417238,2.772663,1.956385,1
No_Net,Net,0.2070365,1.40E-11,6.77E-11,0.4854089,3.55E-11,7.32E-11,1.00E-11
No_Net,Line,0.17093,1.588744,9.294708,0.5609806,5.044721,8.992683,1
No_Net,Other,0.07080236,0.2327145,3.286818,0.1269795,0.5368565,4.227898,1
Line_Only,RecBFCatch,0.02890625,0.05713573,1.976588,0.1449256,0.2850594,1.966937,1
Line_Only,CommBFCatch,0.02890625,0.05713573,1.976588,0.1449256,0.2850594,1.966937,1
Line_Only,Spear,0.4942091,1.14E-11,2.30E-11,1.417238,3.21E-11,2.27E-11,1.00E-11
Line_Only,Net,0.2070365,1.41E-11,6.81E-11,0.4854089,3.58E-11,7.37E-11,1.00E-11
Line_Only,Line,0.17093,1.581642,9.253156,0.5609806,5.027177,8.96141,1
Line_Only,Other,0.07080236,0.235674,3.328618,0.1269795,0.5497109,4.329129,1
MPA1,RecBFCatch,0.02890625,0.07983046,2.761703,0.1449256,0.3982784,2.748159,1.25
MPA1,CommBFCatch,0.02890625,0.07983046,2.761703,0.1449256,0.3982784,2.748159,1.25
MPA1,Spear,0.4942091,0.9421817,1.906443,1.417238,2.61336,1.843981,1
MPA1,Net,0.2070365,1.248972,6.032618,0.4854089,3.147439,6.484098,1
MPA1,Line,0.17093,1.503663,8.796956,0.5609806,4.799708,8.555925,1
MPA1,Other,0.07080236,0.2271857,3.20873,0.1269795,0.5216364,4.108035,1
MPA2,RecBFCatch,0.02890625,0.06925197,2.395744,0.1449256,0.3454871,2.383893,1.25
MPA2,CommBFCatch,0.02890625,0.06925197,2.395744,0.1449256,0.3454871,2.383893,1.25
MPA2,Spear,0.4942091,0.9504685,1.923211,1.417238,2.638335,1.861603,1
MPA2,Net,0.2070365,1.257755,6.075041,0.4854089,3.174714,6.540287,1
MPA2,Line,0.17093,1.516578,8.872508,0.5609806,4.844247,8.63532,1
MPA2,Other,0.07080236,0.2287747,3.231174,0.1269795,0.5264363,4.145836,1
No_Spear_withEffortDisplacement,RecBFCatch,0.02890625,0.05832569,2.017754,0.1449256,0.2908234,2.006709,1
No_Spear_withEffortDisplacement,CommBFCatch,0.02890625,0.05832569,2.017754,0.1449256,0.2908234,2.006709,1
No_Spear_withEffortDisplacement,Spear,0.4942091,1.09E-11,2.20E-11,1.417238,3.09E-11,2.18E-11,1.00E-11
No_Spear_withEffortDisplacement,Net,0.2070365,1.342629,6.484986,0.4854089,3.392955,6.98989,1.0551
No_Spear_withEffortDisplacement,Line,0.17093,1.847623,10.80924,0.5609806,5.887844,10.49563,1.2349
No_Spear_withEffortDisplacement,Other,0.07080236,0.2312118,3.265595,0.1269795,0.5371477,4.230191,1
No_Net_withEffortDisplacement,RecBFCatch,0.02890625,0.05840549,2.020514,0.1449256,0.2912268,2.009492,1
No_Net_withEffortDisplacement,CommBFCatch,0.02890625,0.05840549,2.020514,0.1449256,0.2912268,2.009492,1
No_Net_withEffortDisplacement,Spear,0.4942091,1.058043,2.140882,1.417238,2.908426,2.052179,1.0684
No_Net_withEffortDisplacement,Net,0.2070365,1.39E-11,6.73E-11,0.4854089,3.53E-11,7.27E-11,1.00E-11
No_Net_withEffortDisplacement,Line,0.17093,1.764319,10.32188,0.5609806,5.593487,9.970909,1.1216
No_Net_withEffortDisplacement,Other,0.07080236,0.2320411,3.277308,0.1269795,0.5337774,4.203649,1
Line_Only_withEffortDisplacement,RecBFCatch,0.02890625,0.05782339,2.000377,0.1449256,0.2884038,1.990014,1
Line_Only_withEffortDisplacement,CommBFCatch,0.02890625,0.05782339,2.000377,0.1449256,0.2884038,1.990014,1
Line_Only_withEffortDisplacement,Spear,0.4942091,1.12E-11,2.27E-11,1.417238,3.15E-11,2.23E-11,1.00E-11
Line_Only_withEffortDisplacement,Net,0.2070365,1.39E-11,6.70E-11,0.4854089,3.51E-11,7.22E-11,1.00E-11
Line_Only_withEffortDisplacement,Line,0.17093,2.256226,13.19971,0.5609806,7.129681,12.70932,1.48
Line_Only_withEffortDisplacement,Other,0.07080236,0.2341676,3.307341,0.1269795,0.5425131,4.272445,1
