Table 3. Catches per fishery and gear type in t/km²/y for each functional group. Rec = recreational; Com = commercial; BF is bottomfish.,,,,,,,
,Deepwater-based Fishery,,Reef-based Fishery,,,,
Group name,Rec BF Catch ,Com BF Catch ,Spear ,Net ,Line ,Other ,Total
StingRay,0,0,0,0,0,0,0
MonkSeals,0,0,0,0,0,0,0
SpinnerD,0,0,0,0,0,0,0
BottlenoseD,0,0,0,0,0,0,0
GreenTurtles,0,0,0,0,0,0,0
HawksbillT,0,0,0,0,0,0,0
R_Coralliv,0,0,0,1.10E-06,0.00036,0,0.000361
R_Browser,0,0,0.165,0.513,0.302,0.00252,0.98252
R_Grazer,0,0,0.341,0.407,0.065,0.0427,0.8557
Parrotfish,0,0,0.251,0.0258,0.00554,0.00748,0.28982
R_BenthPisc,0,0,0.011,6.40E-05,0.00128,0.00033,0.012674
R_BenthCarn,0,0,0.155,0.0924,0.726,0.00762,0.98102
R_LargePlankt,0,0,0.073,0.0362,0.0608,0.0206,0.1904
R_SmallPlankt,0,0,0.0006,0.00351,0.0233,0.00041,0.0278
R_Other,0,0,0.016,0.00481,0.227,0.0322,0.28001
D_BenthPisc,0,0,2.21E-05,4.00E-06,0.00028,6.30E-05,0.000369
M_BenthCarn,0,0,0.0039,0.034,0.0056,0.0299,0.07344
M_Plankt,0,0,0.0037,0.00423,0.001,0.01647,0.0254
S_BenthCarn,0,0,0,0.00059,0.00125,0.00132,0.00316
S_Plankt,0,0,0,1.10E-05,6.30E-05,5.30E-05,0.000127
PreyFish,0,0,0.0049,0.166,0.0372,0.0586,0.26667
MesoPelScatter,0,0,0,0,0,0,0
BFW_group,0.05119,0.05119,0,0,0,0,0.10238
BFB_group,0.006861,0.006861,0,0,0,0,0.013723
Uku,0,0,0.0063,8.70E-06,0.0326,0.00225,0.041199
RovPisc,0,0,0.0019,0.00123,0.0388,0.0016,0.04355
Sharks,0,0,8.90E-07,1.60E-05,0.00142,2.60E-05,0.001463
MantaRay,0,0,0,0,0,0,0
Lobster,0,0,0.0007,3.50E-05,1.00E-07,0.00627,0.007015
BenthCarn,0,0,1.00E-07,1.00E-07,0,0.00136,0.00136
BenthDetr,0,0,1.00E-07,0,0,2.00E-05,2.01E-05
BenthGrazer,0,0,1.00E-07,0,0,9.37E-08,1.94E-07
Octopus,0,0,0.00146,1.20E-05,1.00E-07,0.000671,0.002143
BenthMeio,0,0,0,0,0,0,0
Infauna,0,0,0,0,0,0,0
Deep_FilterFeed,0,0,0.00049,0,0,0,0.00049
Bivalves,0,0,1.00E-07,0,0,1.00E-07,2.00E-07
ShallowFilterFeed,0,0,1.00E-07,0,0,1.00E-07,2.00E-07
Porites_mass,0,0,0,0,0,0,0
Porites_branch,0,0,0,0,0,0,0
Montipora,0,0,0,0,0,0,0
Pocillopora,0,0,0,0,0,0,0
Leptoseris,0,0,0,0,0,0,0
CCA,0,0,0,0,0,0,0
Turf,0,0,0,0,0,0,0
MA_Fleshy,0,0,1.00E-07,0,0,0.00223,0.00223
MA_Calc,0,0,0,0,0,0,0
LargePhyto,0,0,0,0,0,0,0
SmallPhyto,0,0,0,0,0,0,0
Squid,0,0,1.00E-07,0,0.00037,0.00012,0.00049
LargeZoo,0,0,0,0,0,0,0
MedZoo,0,0,0,0,0,0,0
SmallZoo,0,0,0,0,0,0,0
GelatZoo,0,0,0,0,0,0,0
Detritus,0,0,0,0,0,0,0
Sum,0.058,0.058,1.036,1.289,1.53,0.235,4.206
