,Group name,Longliners,Baitboats,Purse-seine unassociated,Purse-seine floating-object,Purse-seine dolphin,Total
1,Pursuit birds,,,,,,
2,Grazing birds,,,,,,
3,Baleen whales,,,,,,
4,Toothed whales,,,,,0.00000017,0.00000017
5,Spotted dolphin,,,,,0.00000300,0.000003
6,Mesopelagic dolphins,,,,,0.00000250,0.0000025
7,Sea turtles,0.00000064,,0.00000004,0.00000008,0.00000003,0.00000079
8,Large yellowfin tuna,,,,,,
9,Large bigeye tuna,,,,,,
10,Large marlins,,,0.00000180,0.00000420,0.00000046,0.00000646
11,Large sailfish,,,0.00000067,0.00000005,0.00000029,0.00000101
12,Large swordfish,,,,,,
13,Large dorado,,,,,,
14,Large wahoo,,,0.00000190,0.00002600,0.00000003,0.00002793
15,Large sharks,,,0.00001600,0.00001800,0.00000230,0.0000363
16,Rays,0.00000001,,0.00001100,0.00000035,0.00000200,0.00001336
17,Skipjack tuna,0.00000002,,0.00003000,0.00054000,0.00000490,0.00057492
18,Albacore,,,,,,
19,Auxis spp.,,,0.00003800,0.00003800,0.00000041,0.00007641
20,Bluefin tuna,,,,,,
21,Small yellowfin tuna,0.00000470,,0.00002400,0.00011000,0.00000300,0.0001417
22,Small bigeye tuna,0.00001400,,0.00000073,0.00011000,0.00000001,0.00012474
23,Small marlins,0.00000014,,0.00000001,0.00000001,,0.00000016
24,Small sailfish,0.00000002,,0.00000002,,0.00000001,0.00000005
25,Small swordfish,,,,,,
26,Small dorado,,,0.00000180,0.00005500,0.00000005,0.00005685
27,Small wahoo,,,0.00000530,0.00000540,0.00000015,0.00001085
28,Small sharks,0.00007235,0.00000003,0.00000360,0.00000720,0.00000062,0.0000838
29,Miscellaneous piscivores,,,0.00001800,0.00010000,0.00000040,0.0001184
30,Flyingfishes,,,,,,
31,Misc. epipelagic fishes,,,0.00000060,0.00001000,0.00000013,0.00001073
32,Misc. mesopelagic fishes,,,,,,
33,Cephalopods,,,,,,
34,Crabs,,,,,,
