,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Pursuit birds,,0.000600,,0.08,65.7,0.233,,,0.31,
2,Grazing birds,,0.000123,,0.15,65.7,0.134,,,0.32,
3,Baleen whales,,0.009100,,0.02,9.1,,,,0.34,
4,Toothed whales,,0.031000,,0.02,6.8,,,,0.31,
5,Spotted dolphin,,0.003500,,0.04,16.5,0.219,,,0.31,
6,Mesopelagic dolphins,,0.017000,,0.04,16.5,0.190,,,0.28,
7,Sea turtles,,0.000260,,0.15,3.5,0.500,,,0.35,
8,Large yellowfin tuna,,0.006500,2.35,2.35,15.6,0.360,,,0.30,
9,Large bigeye tuna,,0.009000,0.76,0.76,13.0,0.330,,,0.31,
10,Large marlins,,0.000573,,1.00,7.8,0.500,,,0.29,
11,Large sailfish,,0.000052,,1.15,7.8,0.250,,,0.28,
12,Large swordfish,,0.000033,,0.44,7.8,0.750,,,0.32,
13,Large dorado,,0.000218,,1.20,21.9,0.250,,,0.30,
14,Large wahoo,,0.001100,,1.20,9.8,0.068,,,0.30,
15,Large sharks,,0.000400,,0.32,7.8,0.479,,,0.29,
16,Rays,,0.000230,,0.25,3.9,0.361,,,0.34,
17,Skipjack tuna,,0.026443,,1.88,21.5,0.400,,,0.30,
18,Albacore,,0.003026,,0.77,17.0,0.750,,,0.30,
19,Auxis spp.,,0.143246,,2.50,25.0,0.950,,,0.33,
20,Bluefin tuna,,0.001400,0.65,0.65,12.8,0.794,,,0.32,
21,Small yellowfin tuna,,0.008200,1.75,1.75,18.3,0.905,,,0.29,
22,Small bigeye tuna,,0.010000,0.72,0.72,15.3,0.689,,,0.27,
23,Small marlins,,0.000145,,0.50,9.0,0.750,,,0.30,
24,Small sailfish,,0.000127,,0.57,9.8,0.750,,,0.28,
25,Small swordfish,,0.000098,,0.21,9.0,0.750,,,0.30,
26,Small dorado,,0.002000,,3.15,27.4,0.990,,,0.30,
27,Small wahoo,,0.002730,,1.75,11.4,0.750,,,0.30,
28,Small sharks,,0.000270,,0.58,9.2,0.583,,,0.29,
29,Miscellaneous piscivores,,0.016536,,2.25,7.7,0.950,,,0.31,
30,Flyingfishes,,0.160603,,2.88,25.8,0.950,,,0.35,
31,Misc. epipelagic fishes,,2.248532,,2.07,10.8,0.950,,,0.36,
32,Misc. mesopelagic fishes,,2.000000,,2.00,10.8,0.927,,,0.35,
33,Cephalopods,,1.104801,,2.00,7.0,0.850,,,0.29,
34,Crabs,,0.119693,,3.50,10.0,0.950,,,0.34,
35,Mesozooplankton,,0.706706,,64.00,200.0,0.680,,,0.35,
36,Microzooplankton,,0.826422,,143.00,600.0,0.980,,,0.42,
37,Large phytoplankton,,0.426091,,125.00,,0.900,,,,
38,Small producers,,2.999171,,167.00,,0.990,,,,
39,Detritus,,,,,,,,,,
