taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix,SPPR_1995_TEmean_catch,Ulanowicz_globalTEmean_catch
Engraulis ringens,Anchovy,1.000000,single,high,429890806.078,100.341534,79.859919,14.920619,20.113182,32.654082,32.654082,26.608094,43.673175,43.673175,43.673175,-46.608493,-90.268379,43.673175,,-46.608493,,60.488948,62.511821,1076.569236,49.223524,75.605829,172.399554
Sardinops sagax,Sardine,1.000000,single,high,83222175.729,100.341534,110.734289,18.254744,22.038833,36.031758,36.031758,34.950931,48.153928,48.153928,48.153928,-60.849913,-115.044593,48.153928,,-60.849913,,76.494071,79.064174,1336.899397,54.375213,104.408181,186.968209
Trachurus murphyi,Horse mackerel,1.000000,single,high,66735664.429,100.341534,256.972815,30.687652,51.632958,603.956798,603.956798,142.242144,799.915344,799.915344,799.915344,-225.032932,-321.007038,799.915344,,-225.032932,,207.897305,217.287590,4639.642196,914.487717,239.756609,917.183319
Clupeidae,Sardine | Other small pelagic fish,0.965237 | 0.034763,explicit,medium,16256965.684,100.341534,108.828466,18.036418,21.850754,36.072680,36.072680,34.900076,48.127026,48.127026,48.127026,-60.147512,-113.722043,48.127026,,-60.147512,,75.819764,78.458940,1333.609607,54.313577,102.626952,184.965062
Dosidicus gigas,Jumbo squid,1.000000,single,high,14273292.603,100.341534,702.789811,57.090789,65.268822,236.565116,271.852350,217.476018,831.745041,831.745041,831.745041,-273.766548,-364.499399,831.745041,,-273.766548,,230.761943,241.869962,5891.013993,1054.680272,647.512865,1318.510929
Scomber japonicus,Chub mackerel,1.000000,single,high,10461891.31,100.341534,367.102367,38.242038,57.140519,1462.563584,1462.563584,226.883760,1951.049028,1951.049028,1951.049028,-337.355195,-532.270367,1951.049028,,-337.355195,,354.114289,369.116223,7302.838698,2206.173008,340.984619,1026.554481
Marine fishes not identified,Small demersal fish | Medium demersal fish | Medium sciaenids,0.226699 | 0.497000 | 0.276301,catch_composition,low,8678083.704,100.341534,138.326515,20.171147,27.471567,897.522249,898.111319,642.850064,1416.620481,1416.620481,1416.620481,-245.919475,-623.522679,1416.620481,,-245.919475,,331.686070,405.129578,4869.549090,1676.963843,129.842543,381.787667
Merluccius peruanus,Large hake | Medium hake | Small hake,0.036747 | 0.038603 | 0.924650,model_catch,medium,4467956.842,100.341534,524.223832,46.707311,76.023308,1695.150270,1706.302389,1366.585585,2528.885911,2528.885911,2528.885911,-389.062022,-543.522377,2528.885911,,-389.062022,,335.387637,368.883579,7607.098835,2964.010682,484.181454,1951.668776
Merluccius gayi,Unresolved,,,unresolved,4414589.545,,,,,,,,,,,,,,,,,,,,,,
Macruronus magellanicus,Unresolved,,,unresolved,3359421.674,,,,,,,,,,,,,,,,,,,,,,
Sarda chiliensis,Other large pelagic fish,1.000000,single,high,3285620.974,100.341534,721.561173,58.026927,84.081588,707.786261,730.795754,390.224794,1280.174581,1280.174581,1280.174581,-479.794164,-709.965776,1280.174581,,-479.794164,,483.377545,503.881531,10483.563691,1536.980814,664.588831,1923.880477
Normanichthys crockeri,Other small pelagic fish,1.000000,single,low,1986528.573,100.341534,55.911353,11.974389,16.628547,37.208913,37.208913,33.488021,47.380070,47.380070,47.380070,-40.644634,-77.000115,47.380070,,-40.644634,,57.096937,61.654006,1242.265249,52.602205,53.169346,129.345644
Loxechinus albus,Macrobenthos,1.000000,single,medium,1756286.791,100.341534,10.000000,4.140247,3.933235,10.017358,10.017358,7.916667,2.899495,2.899495,2.899495,-50.833365,-184.825074,2.899495,,-50.833365,,91.528788,116.691946,929.622982,3.093013,9.716344,9.230527
Merluccius australis,Unresolved,,,unresolved,1545604.427,,,,,,,,,,,,,,,,,,,,,,
Ethmidium maculatum,Other small pelagic fish,1.000000,single,medium,1420567.916,100.341534,55.911353,11.974389,16.628547,37.208913,37.208913,33.488021,47.380070,47.380070,47.380070,-40.644634,-77.000115,47.380070,,-40.644634,,57.096937,61.654006,1242.265249,52.602205,53.169346,129.345644
Aulacomya atra,Macrobenthos,1.000000,single,medium,1411623.575,100.341534,10.000000,4.140247,3.933235,10.017358,10.017358,7.916667,2.899495,2.899495,2.899495,-50.833365,-184.825074,2.899495,,-50.833365,,91.528788,116.691946,929.622982,3.093013,9.716344,9.230527
Anchoa nasus,Other small pelagic fish,1.000000,single,high,1388525.939,100.341534,55.911353,11.974389,16.628547,37.208913,37.208913,33.488021,47.380070,47.380070,47.380070,-40.644634,-77.000115,47.380070,,-40.644634,,57.096937,61.654006,1242.265249,52.602205,53.169346,129.345644
Strangomera bentincki,Other small pelagic fish,1.000000,single,medium,1335495.276,100.341534,55.911353,11.974389,16.628547,37.208913,37.208913,33.488021,47.380070,47.380070,47.380070,-40.644634,-77.000115,47.380070,,-40.644634,,57.096937,61.654006,1242.265249,52.602205,53.169346,129.345644
