seq,group_name,taxon_descr
1,Diatoms,Diatoms.
2,Dino/silicoflagellates,Dinoflagellates and silicoflagellates.
3,Microzooplankton,Microzooplankton 20-200 micrometres.
4,Mesozooplankton,Mesozooplankton 200-2000 micrometres.
5,Macrozooplankton,Macrozooplankton 2-20 mm.
6,Gelatinous zooplankton,Small gelatinous zooplankton; Chrysaora plocamia is excluded into its own focal-model group.
7,Chrysaora plocamia,Chrysaora plocamia; definition: Named taxon; source spellings and verified aliases retained in members.csv.
8,Macrobenthos,"Benthic macroinvertebrates; no species membership list documented in focal paper, supplement or Tam predecessor."
9,Sardine,Sardinops sagax; definition: Named taxon; source spellings and verified aliases retained in members.csv.
10,Anchovy,Engraulis ringens; definition: Named taxon; source spellings and verified aliases retained in members.csv.
11,Mesopelagic fish,Vinciguerria lucetia; Lampanyctus spp.; Leuroglossus spp.; definition: Mesopelagic fishes; species/genus examples in Tam (2008) section 2.1.
12,Jumbo squid,Dosidicus gigas; definition: Named taxon; source spellings and verified aliases retained in members.csv.
13,Other cephalopods,Loligo gahi; Octopus vulgaris; Logigunculla sp.; definition: Cephalopods other than the separately modelled jumbo squid Dosidicus gigas.
14,Other small pelagic fish,"Anchoa nasus; definition: Other small pelagic fish, excluding anchovy and sardine; Table E aggregates them as pelagic planktivorous fish."
15,Horse mackerel,Trachurus murphyi; definition: Named taxon; source spellings and verified aliases retained in members.csv.
16,Chub mackerel,Scomber japonicus; definition: Named taxon; source spellings and verified aliases retained in members.csv.
17,Other large pelagic fish,"Sarda chiliensis; Coryphaena hippurus; Thunnus albacares; definition: Other large pelagic fishes; source examples are bonito, dolphinfish and yellowfin tuna. Table E calls the aggregate pelagic piscivorous fish."
18,Small hake,"Merluccius gayi peruanus; definition: Peruvian hake Merluccius gayi peruanus, <29 cm. Printed interval endpoints retained; catch is unaged."
19,Medium hake,"M. gayi peruanus; definition: Peruvian hake Merluccius gayi peruanus, 30-49 cm. Printed interval endpoints retained; catch is unaged."
20,Large hake,"M. gayi peruanus; definition: Peruvian hake Merluccius gayi peruanus, >50 cm. Printed interval endpoints retained; catch is unaged."
21,Flatfish,Paralichthys adspersus; Hippoglosina sp.; definition: Flatfishes; Table E aggregates as demersal piscivorous fish.
22,Small demersal fish,Odonthestes regia; Labrisomus philippi; Ctenosciaena peruviana; definition: Small demersal fishes; source examples take precedence over habitat heuristics. Table E aggregates as demersal planktivorous fish.
23,Benthic elasmobranchs,"Benthic elasmobranchs, separate from Chondrichthyans; Table E aggregates as demersal benthivorous fish."
24,Butter fishes,"Trachinotus paitensis; Stromateus stellatus; Peprilus medius; definition: Butter fishes; named examples Trachinotus, Stromateus and Peprilus. Table E aggregates as pelagic planktivorous fish."
25,Conger,Congers; no species list documented. Table E aggregates as demersal piscivorous fish.
26,Medium demersal fish,"Paralabrax humeralis; Hemanthias peruanus; Mugil cephalus; definition: Medium demersal fishes, source examples Paralabrax, Hemanthias and Mugil; Table E aggregates as demersal benthivorous fish."
27,Medium sciaenids,Medium sciaenids; no full species list documented. Ctenosciaena peruviana is explicitly in Small demersal fish. Table E aggregates as demersal benthivorous fish.
28,Sea robin,Prionotus stephanophrys; definition: Named taxon; source spellings and verified aliases retained in members.csv.
29,Catfish,Galeichtys peruvianus; definition: Named taxon; source spellings and verified aliases retained in members.csv.
30,Chondrichthyans,Chondrichthyans other than the separately modelled benthic elasmobranch pool; Table E aggregates as apex predatory fish.
31,Seabirds,Phalacrocorax bougainvillii; Sula variegata; Pelecanus thagus; definition: not documented - no species list found for this source group.
32,Pinnipeds,Otaria flavescens; Arctocephalus australis; definition: not documented - no species list found for this source group.
33,Cetaceans,Cetaceans; no species list documented.
34,Green sea turtle,Chelonia mydas; definition: Named taxon; source spellings and verified aliases retained in members.csv.
35,Leatherback turtle,Dermochelys coriacea; definition: Named taxon; source spellings and verified aliases retained in members.csv.
36,Anchovy eggs,Non-consuming egg/detritus or external input pool; no catch assignment.
37,Fishery offal,Non-consuming egg/detritus or external input pool; no catch assignment.
38,Pelagic detritus,Non-consuming egg/detritus or external input pool; no catch assignment.
39,Benthic detritus,Non-consuming egg/detritus or external input pool; no catch assignment.
