,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Phytoplankton,,146.230,,137.00,,0.05,,,,
2,Microzooplankton,,0.670,,534.00,1476.00,0.95,,0.36,,
3,Mesozooplankton,,7.271,,14.60,40.15,0.95,,0.36,,
4,Macrozooplankton,,8.331,,5.48,17.52,0.95,,0.31,,
5,Benthos,,11.645,,2.70,36.00,0.24,,0.08,,
6,Small pelagic fish,,8.427,,1.15,10.00,0.95,,0.12,,
7,Other demersal fish,,0.774,,0.70,3.50,0.95,,0.20,,
8,Hoki (j),,2.927,,1.20,6.24,0.81,,0.19,,
9,Hoki (a),,2.722,,0.70,3.11,0.04,,0.23,,
10,Southern blue whiting,,1.400,,0.42,3.60,0.91,,0.12,,
11,Kingklip,,0.197,,0.39,1.40,0.21,,0.28,,
12,Skates,,0.073,,0.15,1.24,0.09,,0.12,,
13,Southern hake,,3.140,,0.19,0.68,0.66,,0.28,,
14,Sea lions,,0.035,,0.20,14.36,0.00,,0.01,,
15,Detritus,,,,,,0.02,,,,
