,Group name,Artisanal,Commercial,Total
1,Diatoms,0,0,0
2,Dino/silicoflagellates,0,0,0
3,Microzooplankton,0,0,0
4,Mesozooplankton,0,0,0
5,Macrozooplankton,0,0,0
6,Gelatinous zooplankton,0,0,0
7,Chrysaora plocamia,0,0,0
8,Macrobenthos,0,0,0
9,Sardine,0,0.17462648325000002,0.17462648325000002
10,Anchovy,0,0.6944927954999999,0.6944927954999999
11,Mesopelagic fish,0,0,0
12,Jumbo squid,0,0.005260639650000001,0.005260639650000001
13,Other cephalopods,0.0017693295375000003,0,0.0017693295375000003
14,Other small pelagic fish,0,0.167457015,0.167457015
15,Horse mackerel,0,0.0523499457,0.0523499457
16,Chub mackerel,0,0.0222601746,0.0222601746
17,Other large pelagic fish,0,0.03308116349999999,0.03308116349999999
18,Small hake,0,0.13813376640000002,0.13813376640000002
19,Medium hake,0,0.022176,0.022176
20,Large hake,0,0.04633476287999999,0.04633476287999999
21,Flatfish,0.00040216665500000006,0,0.00040216665500000006
22,Small demersal fish,0.0019165002999999997,0,0.0019165002999999997
23,Benthic elasmobranchs,0.004014666700000001,0,0.004014666700000001
24,Butter fishes,0,0,0
25,Conger,0,0,0
26,Medium demersal fish,0.014821999499999997,0,0.014821999499999997
27,Medium sciaenids,0.006074666950000001,0,0.006074666950000001
28,Sea robin,0,0,0
29,Catfish,0.033671000000000006,0,0.033671000000000006
30,Chondrichthyans,0.00142666645,0,0.00142666645
31,Seabirds,0,0,0
32,Pinnipeds,0,0,0
33,Cetaceans,0,0,0
34,Green sea turtle,0,0,0
35,Leatherback turtle,0,0,0
36,Anchovy eggs,0,0,0
37,Fishery offal,0,0,0
38,Pelagic detritus,0,0,0
39,Benthic detritus,0,0,0
