group,name,parameter,sheet,cell,stored_value,source_number_format,bold_model_estimate
1,Diatoms,biomass,Table A-resolved parameters,C6,34.0885009765625,0.00,False
1,Diatoms,pb,Table A-resolved parameters,D6,237.5,0.00,False
1,Diatoms,ee,Table A-resolved parameters,H6,0.8216763734817505,0.00,True
2,Dino/silicoflagellates,biomass,Table A-resolved parameters,C7,13.376999855041504,0.00,False
2,Dino/silicoflagellates,pb,Table A-resolved parameters,D7,237.5,0.00,False
2,Dino/silicoflagellates,ee,Table A-resolved parameters,H7,0.9668939113616943,0.00,True
3,Microzooplankton,biomass,Table A-resolved parameters,C8,13.542136192321777,0.00,False
3,Microzooplankton,pb,Table A-resolved parameters,D8,256,0.00,False
3,Microzooplankton,qb,Table A-resolved parameters,E8,1024,0.00,True
3,Microzooplankton,pq,Table A-resolved parameters,F8,0.25,0.00,False
3,Microzooplankton,ae,Table A-resolved parameters,G8,0.8,0.00,False
3,Microzooplankton,ee,Table A-resolved parameters,H8,0.9567446112632751,0.00,False
4,Mesozooplankton,biomass,Table A-resolved parameters,C9,24.082000732421875,0.00,False
4,Mesozooplankton,pb,Table A-resolved parameters,D9,40,0.00,False
4,Mesozooplankton,qb,Table A-resolved parameters,E9,125,0.00,True
4,Mesozooplankton,pq,Table A-resolved parameters,F9,0.3199999928474426,0.00,False
4,Mesozooplankton,ae,Table A-resolved parameters,G9,0.65,0.00,False
4,Mesozooplankton,ee,Table A-resolved parameters,H9,0.9261996746063232,0.00,True
5,Macrozooplankton,biomass,Table A-resolved parameters,C10,37.424713134765625,0.00,True
5,Macrozooplankton,pb,Table A-resolved parameters,D10,19.085500717163086,0.00,False
5,Macrozooplankton,qb,Table A-resolved parameters,E10,46.54999923706055,0.00,False
5,Macrozooplankton,pq,Table A-resolved parameters,F10,0.4100000262260437,0.00,False
5,Macrozooplankton,ae,Table A-resolved parameters,G10,0.8,0.00,False
5,Macrozooplankton,ee,Table A-resolved parameters,H10,0.9499998688697815,0.00,False
6,Gelatinous zooplankton,biomass,Table A-resolved parameters,C11,0.009068332612514496,0.00,True
6,Gelatinous zooplankton,pb,Table A-resolved parameters,D11,0.5839999914169312,0.00,False
6,Gelatinous zooplankton,qb,Table A-resolved parameters,E11,2.919999837875366,0.00,True
6,Gelatinous zooplankton,pq,Table A-resolved parameters,F11,0.20000000298023224,0.00,False
