,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Large phytoplankton,,34.09,,237.50,,0.82,,,,
2,Small phytoplankton,,13.38,,237.50,,0.97,,,,
3,Microzooplankton,,13.54,,256.00,1024.00,0.96,,0.25,0.20,
4,Mesozooplakton,,24.08,,40.00,125.00,0.92,,0.32,0.35,
5,Macrozooplankton,,37.42,,19.09,46.55,0.95,,0.41,0.20,
6,Small jellyfish,,0.01,,0.58,2.92,0.95,,0.20,0.35,
7,Large jellyfish,,8.46,,15.00,56.00,0.00,,0.27,0.35,
8,Macrobenthos,,23.17,,1.20,10.00,0.79,,0.12,0.20,
9,Forage fish,,69.05,,1.91,14.51,0.82,,0.13,0.35,
10,Mesopelagics,,14.63,,1.40,14.00,0.26,,0.10,0.35,
11,Cephalopods,,2.19,,5.11,12.59,0.89,,0.41,0.20,
12,Pelagic planktivorous fish,,11.01,,1.00,9.98,0.89,,0.10,0.35,
13,Pelagic piscivorous fish,,16.16,,0.99,9.46,0.21,,0.10,0.30,
14,Demersal piscivorous fish,,2.37,,1.20,7.97,0.62,,0.15,0.32,
15,Demersal planktivorous fish,,5.78,,2.40,15.30,0.68,,0.16,0.20,
16,Demersal benthivorous fish,,1.17,,1.08,7.23,0.79,,0.15,0.20,
17,Apex predatory fish,,0.05,,0.49,3.24,0.56,,0.15,0.20,
18,Seabirds,,0.04,,0.04,61.00,0.00,,0.00,0.20,
19,Marine mammals,,0.13,,0.10,25.83,0.00,,0.00,0.23,
20,Sea turtles,,0.00,,0.19,3.50,0.00,,0.05,0.20,
21,Fish eggs,,0.44,,,,0.87,,,,
22,Detritus offal,,0.05,,,,0.00,,,,
23,Pelagic detritus,,20.00,,,,0.00,,,,
24,Benthic detritus,,60.00,,,,0.89,,,,
