,Group name,Biomass accumulation (t/km^2/year),Biomass accumulation rate (/year)
1,Marine mammals,,0
2,Coastal birds,,0
3,Meagre ad,,0
4,Meagre juv,,0
5,Mullets,,0
6,Pelagic L,,0
7,Mackerel,,0
8,Sardine,,0
9,Sardinelles,,0
10,Horse mackerels,,0
11,Coastal selacians,,-0.05
12,Coastal M,,0
13,Coastal S,,0
14,Croakers ad,,0
15,Croakers juv,,0
16,Seabreams ad,,0
17,Seabreams juv.,,0
18,Catfish ad,,0
19,Catfish juv,,0
20,Shelf selacians,,0
21,Shelf L,,0
22,Shelf M,,0
23,Groupers ad,,-0.05
24,Grouper juv,,-0.05
25,Sparids ad,,0
26,Sparids juv,,0
27,Scianids,,-0.05
28,Shelf soles,,0
29,Shelf S,,0
30,Octopus vulgaris,,-0.03
31,Cephalopods,,-0.03
32,BA L crustaceans,,0
33,BA molluscs,,0
34,BA worms,,0
35,BA crustaceans,,0
36,BA other inverts,,0
37,BA meiobenthos,,0
38,shelf L crustaceans,,0
39,shelf molluscs,,0
40,shelf worms,,0
41,shelf crustaceans,,0
42,shelf other inverts,,0
43,shelf meiobenthos,,0
44,mesozoopl.,,0
45,macrozoopl.,,0
46,BA mesozoopl.,,0
47,BA macrozoopl.,,0
48,BA phytopl.,,0
49,phytoplankton,,0
50,algae and eelgrass,,0
51,Detritus,,
