,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Marine mammals,,0.01,,0.04,12.5,0,,0.003,,
2,Coastal birds,,0.01,,0.28,67.0,0,,0.004,,
3,Meagre ad,,0.12,0.21,0,2.1,0.66,,0.100,,
4,Meagre juv,,5E-05,0.3,0,17.9,0.97,,0.017,,
5,Mullets,,0.42,,0.8,8.2,0.8,,0.097,,
6,Pelagic L,,3.42,,0.96,5.4,0.9,,0.178,,
7,Mackerel,,1.45,,0.45,3.0,0.74,,0.150,,
8,Sardine,,11.79,,0.65,4.3,0.77,,0.150,,
9,Sardinelles,,18,,0.99,7.7,0.78,,0.129,,
10,Horse mackerels,,10,,0.72,3.6,0.84,,0.200,,
11,Coastal selacians,,1.24,,0.3,2.0,0.01,,0.150,,
12,Coastal M,,0.83,,0.58,2.9,0.86,,0.200,,
13,Coastal S,,4.21,,0.62,3.1,0.95,,0.200,,
14,Croakers ad,,0.08,0.6,,3.9,0.75,,0.156,,
15,Croakers juv,,0.00,1.17,,9.9,0.71,,0.118,,
16,Seabreams ad,,1.69,0.48,,4.7,0.88,,0.102,,
17,Seabreams juv.,,0.01,0.76,,21.1,0.88,,0.036,,
18,Catfish ad,,0.60,0.34,,4.1,0.23,,0.083,,
19,Catfish juv,,0.00,0.58,,22.3,0.78,,0.026,,
20,Shelf selacians,,0.20,,0.24,1.6,0.79,,0.150,,
21,Shelf L,,0.36,,0.47,3.4,0.47,,0.140,,
22,Shelf M,,1.55,,0.57,6.2,0.91,,0.092,,
23,Groupers ad,,0.11,0.43,,3.2,0.94,,0.137,,
24,Grouper juv,,0.00,0.44,,16.2,0.54,,0.027,,
25,Sparids ad,,1.29,0.44,,2.4,0.87,,0.186,,
26,Sparids juv,,0.011,0.86,,9.8,0.94,,0.088,,
27,Scianids,,0.22,,0.29,4.3,0.67,,0.068,,
28,Shelf soles,,0.35,,0.58,2.9,0.88,,0.200,,
29,Shelf S,,6.19,,0.82,7.6,0.95,,0.108,,
30,Octopus vulgaris,,1.37,,1.4,4.7,0.63,,0.300,,
31,Cephalopods,,1,,1.2,4.0,0.84,,0.300,,
32,BA L crustaceans,,7.66,,1.44,7.2,0.88,,0.200,,
33,BA molluscs,,14.01,,1.5,16.7,0.93,,0.090,,
34,BA worms,,4.15,,3,33.3,0.90,,0.090,,
35,BA crustaceans,,1.14,,2.4,12.0,0.87,,0.200,,
36,BA other inverts,,0.57,,1.8,9.0,0.93,,0.200,,
37,BA meiobenthos,,2.09,,9,100.0,0.77,,0.090,,
38,shelf L crustaceans,,8.91,,1.5,7.5,0.83,,0.200,,
39,shelf molluscs,,26.21,,1.5,16.7,0.51,,0.090,,
40,shelf worms,,31.77,,3,33.0,0.43,,0.091,,
41,shelf crustaceans,,8.04,,2.4,12.0,0.83,,0.200,,
42,shelf other inverts,,17.21,,1.8,9.0,0.23,,0.200,,
43,shelf meiobenthos,,8.91,,9,100.0,0.27,,0.090,,
44,mesozoopl.,,55.08,,24,112.0,0.15,,0.214,,
45,macrozoopl.,,3.41,,4.3,17.0,0.73,,0.253,,
46,BA mesozoopl.,,1.75,,24,112.0,0.8,,0.214,,
47,BA macrozoopl.,,2.46,,4.3,17.0,0.8,,0.253,,
48,BA phytopl.,,6,,100,0,0.38,,0.000,,
49,phytoplankton,,68,,100,0,0.85,,0.000,,
50,algae and eelgrass,,549,,4.06,0,0.01,,0.000,,
51,Detritus,,560,,0,0,0.45,,0.000,,
