,Group name,Artisanal,Industrial demersal,Industrial pelagic,Total
1,Marine mammals,,,,
2,Coastal birds,,,,
3,Meagre ad,,,,
4,Meagre juv,,,,
5,Mullets,,,,
6,Pelagic L,,,,
7,Mackerel,,,,
8,Sardine,,,,
9,Sardinelles,,,,
10,Horse mackerels,,,,
11,Coastal selacians,,,,
12,Coastal M,,,,
13,Coastal S,,,,
14,Croakers ad,,,,
15,Croakers juv,,,,
16,Seabreams ad,,,,
17,Seabreams juv.,,,,
18,Catfish ad,,,,
19,Catfish juv,,,,
20,Shelf selacians,,,,
21,Shelf L,,,,
22,Shelf M,,,,
23,Groupers ad,,,,
24,Grouper juv,,,,
25,Sparids ad,,,,
26,Sparids juv,,,,
27,Scianids,,,,
28,Shelf soles,,,,
29,Shelf S,,,,
30,Octopus vulgaris,,,,
31,Cephalopods,,,,
32,BA L crustaceans,,,,
33,BA molluscs,,,,
34,BA worms,,,,
35,BA crustaceans,,,,
36,BA other inverts,,,,
37,BA meiobenthos,,,,
38,shelf L crustaceans,,,,
39,shelf molluscs,,,,
40,shelf worms,,,,
41,shelf crustaceans,,,,
42,shelf other inverts,,,,
43,shelf meiobenthos,,,,
44,mesozoopl.,,,,
45,macrozoopl.,,,,
46,BA mesozoopl.,,,,
47,BA macrozoopl.,,,,
48,BA phytopl.,,,,
49,phytoplankton,,,,
50,algae and eelgrass,,,,
51,Detritus,,,,
