seq,group_name,taxon_descr
1,Marine Mammals,Tursiops truncatus; Sousa chinensis; Delphinus delphis
2,Sharks,Rhizoprionodon acutus; Carcharinus limbatus; Scoliodon laticaudus; Sphyrna lewini
3,Skates & Rays,Rhinobatos granulatus; Rhinoptera javanica; Dasyatis sp.
4,Large Pelagics,Scomberomorus commerson; S. guttatus; Rachycentron canadum; Sphyraena obtusata; S. jello
5,Tunas,Euthynnus affinis; Thunnus tonggol; Auxis thazard; A. rochei
6,Cephalopods,Loligo duvauceli; Sepia pharaonis; S. elliptica; Sepiella inermis
7,Large Benthopelagics,Trichiurus lepturus; Megalaspis cordyla; Scomberoides tol; Chirocentrus dorab; Tachysurus sp.
8,Large Benthic Carnivores,Epinephelus diacanthus; Pristipomoides filamentosus; Saurida tumbil; S. undosquamis; Serranus sp.; Lutjanus sp.
9,Med Benthic Carnivores,Johnieops sina; Otolithes ruber; Grammoplites suppositus; Pampus argenteus; Formio niger; Priacanthus hamrur; Polynemus sp.; Dactyloptera sp.; Pseudorhombus arsius; P . natalensis; Balistids
10,Small Benthic Carnivores,Nemipterus japonicus; N. mesoprion; Therapon sp.; Lactarius lactarius; Secutor insidiator; Leiognathus bindus; Upeneus sp.; Apogon sp.; Uranoscopus sp.; Tetradon sp.
11,Small Benthopelagics,Decapterus russelli; D. macrosoma; Caranx kalla; Mene maculata; Myctophids
12,Mackerel,Rastrelliger kanagurta
13,Clupeids,Sardinella longiceps; S. fimbriata; S. gibbosa; Thryssa mystax; Dussumieria acuta; Escualosa thoracata; Pellona sp.; Opisthopterus tardoore
14,Anchovies,Stolephorus devisi; S. waitei; S.commersonii; S. indicus; Bregmaceros mcclellandi
15,Crabs & Lobster,Portunus sanguinolentus; P . pelagicus; Charybdis cruciata; Panulirus sp.
16,Shrimps,Metapenaeus monoceros; M. dobsoni; Parapenaeopsis stylifera; Solenocera choprai; Trachypenaeus sp.; Aristeus sp.
17,Benthic Omnivores,Cynoglossus macrostomus; Plotosus sp.; Fistularia sp.; Oratosquilla nepa
18,Heterotrophic Benthos,Bivalves; Gastropods; Echinoderms; Benthic crabs; Amphipods; Isopods
19,Meiobenthos,Annelids; Polychaetes; Foraminiferans; Hydrozoans
20,Micro Nekton,Jellyfish; Juvenile fishes; Leptocephalus; Eel elvers
21,Large zooplankton,Alima larva; Cypris; Calanus sp; Zoea of crab; Megalopa; Cladocerans; Sagitta; Mysids; Lucifer larva; Medusa; Siphonophores
22,Micro Zooplankton,Fish eggs; Decapod eggs and larvae; Bivalve larvae; Tintinnids
23,Phytoplankton,Fragilaria; Coscinodiscus; Thalassiothrix; Pleurosigma; Flavella; Asterionella; Skeletonema; Rhizosolenia; Chaetoceros; Nitzchia; Noctiluca; Ceratium
24,Detritus,Non-living organic material; group account printed p.20.
