taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix,SPPR_1995_TEmean_catch,Ulanowicz_globalTEmean_catch
Marine fishes not identified,2 L pisc comm | 3 L pisc comm | 2 SM pisc | 3 SM pisc | 2 SM inv | 3 SM inv | 2 L pisc | 3 L pisc,0.051336 | 0.055815 | 0.102125 | 0.232055 | 0.140847 | 0.303340 | 0.051463 | 0.063019,model_biomass,medium,46450017.782,276.665746,624.960598,381.961857,1068.936421,315.086010,388.547117,357.844854,1115.481833,1115.481833,1115.481833,895.370466,290.499242,1115.481833,-156594.909325,895.370466,2832695.731259,290.499242,920900493.107239,1435.442915,1492.648824,92.929781,152.424756
Penaeidae,2 Crustaceans | 3 Crustaceans,0.212999 | 0.787001,model_biomass,medium,9145945.7,276.665746,87.346446,62.825827,62.583797,49.059783,49.059783,45.848307,88.616835,88.616835,88.616835,112.736869,69.749027,88.616835,88.616835,112.736869,18.000131,69.749027,77.336753,138.030843,98.463929,24.163479,23.495104
Tenualosa ilisha,2-3 Hilsa,1.000000,single,high,9072007.856,276.665746,19.832171,15.945855,27.184936,23.959577,23.959577,22.402205,23.534100,23.534100,23.534100,8.732358,6.162297,23.534100,27.800673,8.732358,8.694548,6.162297,6.925038,9.202946,23.246832,8.458360,11.637438
Sciaenidae,2 L pisc comm | 3 L pisc comm,0.479099 | 0.520901,model_biomass,medium,8988585.908,276.665746,942.008432,569.455705,2134.327853,640.479051,809.758325,735.799922,2161.826618,2161.826618,2161.826618,1597.141175,484.321234,2161.826618,-1582279.837302,1597.141175,18597729.236262,484.321234,-731199951.695844,2522.004884,2847.344437,132.205276,267.681374
Rastrelliger,2-3 Indian mackerel,1.000000,single,high,8738155.436,276.665746,120.781790,85.112274,192.146529,101.395560,103.551538,96.717136,293.317418,293.317418,293.317418,271.728732,111.244059,293.317418,263.487421,271.728732,60.624655,111.244059,132.607488,466.304362,427.286877,30.767747,48.426923
Leiognathidae,2 SM inv | 3 SM inv,0.317090 | 0.682910,model_biomass,medium,8387512.028,276.665746,195.237034,132.430212,264.469084,118.913507,136.139541,127.362312,358.406583,358.406583,358.406583,341.418803,140.125818,358.406583,5989.509989,341.418803,178554.604556,140.125818,-299079.478285,574.027146,502.728082,42.955466,65.044787
Clupeiformes,2 S pelagics | 3 S pelagics,0.297599 | 0.702401,model_biomass,medium,7644206.843,276.665746,140.109476,97.632900,192.742209,80.893492,105.806754,98.775728,234.092906,234.092906,234.092906,202.855848,80.162213,234.092906,-33950.413664,202.855848,227501.375555,80.162213,-5091897.075108,296.389113,299.235812,34.174400,48.437594
Carangidae,2 Carangids | 3 Carangids,0.304387 | 0.695613,model_biomass,medium,6814147.848,276.665746,1047.559324,629.821299,2238.505040,641.128381,754.920494,726.746267,2160.615050,2160.615050,2160.615050,1714.802766,507.968664,2160.615050,1782592.482977,1714.802766,15448395.144238,507.968664,363121069.828352,2799.375544,2890.556852,143.635600,294.157869
Nemipteridae,2 SM pisc | 3 SM pisc,0.305599 | 0.694401,model_biomass,medium,6572743.84,276.665746,735.917019,452.492682,682.505571,235.544874,314.328392,298.611973,954.928230,954.928230,954.928230,843.700548,294.126635,954.928230,10111.529968,843.700548,668478.011642,294.126635,-16893452.951404,1324.453670,1272.235398,110.428635,131.805708
Clupeidae,2 S pelagics | 3 S pelagics,0.297599 | 0.702401,model_biomass,medium,6399798.319,276.665746,140.109476,97.632900,192.742209,80.893492,105.806754,98.775728,234.092906,234.092906,234.092906,202.855848,80.162213,234.092906,-33950.413664,202.855848,227501.375555,80.162213,-5091897.075108,296.389113,299.235812,34.174400,48.437594
Rastrelliger kanagurta,2-3 Indian mackerel,1.000000,single,high,6008430.752,276.665746,120.781790,85.112274,192.146529,101.395560,103.551538,96.717136,293.317418,293.317418,293.317418,271.728732,111.244059,293.317418,263.487421,271.728732,60.624655,111.244059,132.607488,466.304362,427.286877,30.767747,48.426923
Stolephorus,2 S pelagics | 3 S pelagics,0.297599 | 0.702401,model_biomass,medium,5184156.296,276.665746,140.109476,97.632900,192.742209,80.893492,105.806754,98.775728,234.092906,234.092906,234.092906,202.855848,80.162213,234.092906,-33950.413664,202.855848,227501.375555,80.162213,-5091897.075108,296.389113,299.235812,34.174400,48.437594
Harpadon nehereus,2 L pisc comm | 3 L pisc comm,0.479099 | 0.520901,model_biomass,medium,4476654.833,276.665746,942.008432,569.455705,2134.327853,640.479051,809.758325,735.799922,2161.826618,2161.826618,2161.826618,1597.141175,484.321234,2161.826618,-1582279.837302,1597.141175,18597729.236262,484.321234,-731199951.695844,2522.004884,2847.344437,132.205276,267.681374
Engraulidae,2 S pelagics | 3 S pelagics,0.297599 | 0.702401,model_biomass,medium,3917971.016,276.665746,140.109476,97.632900,192.742209,80.893492,105.806754,98.775728,234.092906,234.092906,234.092906,202.855848,80.162213,234.092906,-33950.413664,202.855848,227501.375555,80.162213,-5091897.075108,296.389113,299.235812,34.174400,48.437594
Acetes,2 Crustaceans | 3 Crustaceans,0.212999 | 0.787001,model_biomass,medium,3679006.792,276.665746,87.346446,62.825827,62.583797,49.059783,49.059783,45.848307,88.616835,88.616835,88.616835,112.736869,69.749027,88.616835,88.616835,112.736869,18.000131,69.749027,77.336753,138.030843,98.463929,24.163479,23.495104
Elasmobranchii,Oceanic sharks | Coastal elasmobranch,0.305731 | 0.694269,catch_composition,medium,3438804.023,276.665746,1380.156554,813.237349,11696.257871,3303.980516,3755.931739,2869.988061,18858.336069,18858.336069,18858.336069,9043.074077,1863.271319,18858.336069,107107363.803131,9043.074077,-5362399.549138,1863.271319,11568499580500166656.000000,14990.009917,26162.023176,174.929003,766.601483
Ariidae,2 Milkfish plus | 3 Milkfish plus | 2 SM inv | 3 SM inv | 2 SM pisc | 3 SM pisc,0.053747 | 0.068579 | 0.158817 | 0.342041 | 0.115155 | 0.261661,model_biomass,medium,3328321.516,276.665746,434.537025,274.456865,467.763977,179.045386,232.482164,218.528735,656.339812,656.339812,656.339812,587.188153,216.480446,656.339812,26265.897369,587.188153,535169.624013,216.480446,-11378301.014526,947.609340,892.360647,73.124354,96.215820
Decapterus,2 Carangids | 3 Carangids,0.304387 | 0.695613,model_biomass,medium,3208280.538,276.665746,1047.559324,629.821299,2238.505040,641.128381,754.920494,726.746267,2160.615050,2160.615050,2160.615050,1714.802766,507.968664,2160.615050,1782592.482977,1714.802766,15448395.144238,507.968664,363121069.828352,2799.375544,2890.556852,143.635600,294.157869
Synodontidae,2 L pisc comm | 3 L pisc comm,0.479099 | 0.520901,model_biomass,medium,3163994.122,276.665746,942.008432,569.455705,2134.327853,640.479051,809.758325,735.799922,2161.826618,2161.826618,2161.826618,1597.141175,484.321234,2161.826618,-1582279.837302,1597.141175,18597729.236262,484.321234,-731199951.695844,2522.004884,2847.344437,132.205276,267.681374
Sardinella,2 S pelagics | 3 S pelagics,0.297599 | 0.702401,model_biomass,medium,3037468.245,276.665746,140.109476,97.632900,192.742209,80.893492,105.806754,98.775728,234.092906,234.092906,234.092906,202.855848,80.162213,234.092906,-33950.413664,202.855848,227501.375555,80.162213,-5091897.075108,296.389113,299.235812,34.174400,48.437594
Sardinella longiceps,2 S pelagics | 3 S pelagics,0.297599 | 0.702401,model_biomass,medium,2515038.179,276.665746,140.109476,97.632900,192.742209,80.893492,105.806754,98.775728,234.092906,234.092906,234.092906,202.855848,80.162213,234.092906,-33950.413664,202.855848,227501.375555,80.162213,-5091897.075108,296.389113,299.235812,34.174400,48.437594
Scombridae,Tuna-like | Coastal scombrids | 2-3 Indian mackerel,0.043637 | 0.267419 | 0.688943,catch_composition,medium,2457177.022,276.665746,817.831285,474.697647,2034.919974,628.681585,729.829211,492.359446,2122.709585,2122.709585,2122.709585,1194.429755,339.021515,2122.709585,4924313.002100,1194.429755,-4808951.407629,339.021515,-1582025722622072.750000,1953.116181,2905.813862,100.995238,214.036764
Anguilliformes,2 L pisc | 3 L pisc,0.449531 | 0.550469,model_biomass,medium,2067419.18,276.665746,1671.644897,968.768055,4321.103431,1003.861945,1190.295649,1071.266084,3542.246528,3542.246528,3542.246528,2538.689141,681.946673,3542.246528,60332.209612,2538.689141,4692815.596611,681.946673,8778895377.827705,4084.723039,4708.979406,198.988407,443.769811
Decapoda,2 Crustaceans | 3 Crustaceans,0.212999 | 0.787001,model_biomass,medium,2028963.557,276.665746,87.346446,62.825827,62.583797,49.059783,49.059783,45.848307,88.616835,88.616835,88.616835,112.736869,69.749027,88.616835,88.616835,112.736869,18.000131,69.749027,77.336753,138.030843,98.463929,24.163479,23.495104
Megalaspis cordyla,2 Carangids | 3 Carangids,0.304387 | 0.695613,model_biomass,medium,1971088.777,276.665746,1047.559324,629.821299,2238.505040,641.128381,754.920494,726.746267,2160.615050,2160.615050,2160.615050,1714.802766,507.968664,2160.615050,1782592.482977,1714.802766,15448395.144238,507.968664,363121069.828352,2799.375544,2890.556852,143.635600,294.157869
Pampus argenteus,2 SM inv | 3 SM inv,0.317090 | 0.682910,model_biomass,medium,1934944.327,276.665746,195.237034,132.430212,264.469084,118.913507,136.139541,127.362312,358.406583,358.406583,358.406583,341.418803,140.125818,358.406583,5989.509989,341.418803,178554.604556,140.125818,-299079.478285,574.027146,502.728082,42.955466,65.044787
Bivalvia,2 Macrobenthos | 3 Macrobenthos,0.363211 | 0.636789,model_biomass,medium,1834436.86,276.665746,43.212782,32.623281,41.368719,34.461512,34.461512,31.432014,106.719149,106.719149,106.719149,113.412456,57.717594,106.719149,106.719149,113.412456,25.029149,57.717594,63.584441,206.884057,165.070073,14.477738,16.337529
Cephalopoda,Cephalopods,1.000000,single,high,1777527.135,276.665746,990.119511,598.369015,1346.888416,377.016205,457.659002,411.893102,1154.963068,1154.963068,1154.963068,883.487560,288.738455,1154.963068,-30007.429063,883.487560,-4635.736133,288.738455,-68084.421791,1393.890949,1512.449191,138.403273,209.479831
Cephea,Jellyfish,1.000000,single,high,1735545.282,276.665746,100.000000,71.445972,71.445972,392.817059,392.817059,25.925926,392.817059,392.817059,392.817059,15.555556,9.955556,392.817059,392.817059,15.555556,15.555556,9.955556,9.955556,15.908519,405.819791,26.883496,26.883496
Miscellaneous marine crustaceans,2 Crustaceans | 3 Crustaceans,0.212999 | 0.787001,model_biomass,medium,1685351.739,276.665746,87.346446,62.825827,62.583797,49.059783,49.059783,45.848307,88.616835,88.616835,88.616835,112.736869,69.749027,88.616835,88.616835,112.736869,18.000131,69.749027,77.336753,138.030843,98.463929,24.163479,23.495104
Scomberomorus,Coastal scombrids,1.000000,single,high,1623823.677,276.665746,2151.411916,1228.563684,5449.628126,1746.481623,2058.735989,1231.124121,5799.192784,5799.192784,5799.192784,2889.445671,773.655572,5799.192784,16496946.005748,2889.445671,-17915259.483700,773.655572,-5915900048852866.000000,4649.462240,7908.520493,241.012964,536.974768
Platycephalidae,2 L pisc | 3 L pisc,0.449531 | 0.550469,model_biomass,medium,1494166.727,276.665746,1671.644897,968.768055,4321.103431,1003.861945,1190.295649,1071.266084,3542.246528,3542.246528,3542.246528,2538.689141,681.946673,3542.246528,60332.209612,2538.689141,4692815.596611,681.946673,8778895377.827705,4084.723039,4708.979406,198.988407,443.769811
Selaroides leptolepis,2 SM inv | 3 SM inv,0.317090 | 0.682910,model_biomass,medium,1411036.217,276.665746,195.237034,132.430212,264.469084,118.913507,136.139541,127.362312,358.406583,358.406583,358.406583,341.418803,140.125818,358.406583,5989.509989,341.418803,178554.604556,140.125818,-299079.478285,574.027146,502.728082,42.955466,65.044787
Parastromateus niger,2 Carangids | 3 Carangids,0.304387 | 0.695613,model_biomass,medium,1374356.049,276.665746,1047.559324,629.821299,2238.505040,641.128381,754.920494,726.746267,2160.615050,2160.615050,2160.615050,1714.802766,507.968664,2160.615050,1782592.482977,1714.802766,15448395.144238,507.968664,363121069.828352,2799.375544,2890.556852,143.635600,294.157869
Nemipterus,2 SM pisc | 3 SM pisc,0.305599 | 0.694401,model_biomass,medium,1366535.89,276.665746,735.917019,452.492682,682.505571,235.544874,314.328392,298.611973,954.928230,954.928230,954.928230,843.700548,294.126635,954.928230,10111.529968,843.700548,668478.011642,294.126635,-16893452.951404,1324.453670,1272.235398,110.428635,131.805708
Chirocentrus,2 L pisc | 3 L pisc,0.449531 | 0.550469,model_biomass,medium,1352517.744,276.665746,1671.644897,968.768055,4321.103431,1003.861945,1190.295649,1071.266084,3542.246528,3542.246528,3542.246528,2538.689141,681.946673,3542.246528,60332.209612,2538.689141,4692815.596611,681.946673,8778895377.827705,4084.723039,4708.979406,198.988407,443.769811
Siluriformes,2 Milkfish plus | 3 Milkfish plus | 2 SM inv | 3 SM inv | 2 SM pisc | 3 SM pisc,0.053747 | 0.068579 | 0.158817 | 0.342041 | 0.115155 | 0.261661,model_biomass,medium,1315369.492,276.665746,434.537025,274.456865,467.763977,179.045386,232.482164,218.528735,656.339812,656.339812,656.339812,587.188153,216.480446,656.339812,26265.897369,587.188153,535169.624013,216.480446,-11378301.014526,947.609340,892.360647,73.124354,96.215820
Dendrobranchiata,2 Crustaceans | 3 Crustaceans,0.212999 | 0.787001,model_biomass,medium,1245323.298,276.665746,87.346446,62.825827,62.583797,49.059783,49.059783,45.848307,88.616835,88.616835,88.616835,112.736869,69.749027,88.616835,88.616835,112.736869,18.000131,69.749027,77.336753,138.030843,98.463929,24.163479,23.495104
Pennahia,2 L pisc comm | 3 L pisc comm,0.479099 | 0.520901,model_biomass,medium,1240233.6,276.665746,942.008432,569.455705,2134.327853,640.479051,809.758325,735.799922,2161.826618,2161.826618,2161.826618,1597.141175,484.321234,2161.826618,-1582279.837302,1597.141175,18597729.236262,484.321234,-731199951.695844,2522.004884,2847.344437,132.205276,267.681374
Trichiuridae,2 L pisc | 3 L pisc,0.449531 | 0.550469,model_biomass,medium,1220501.009,276.665746,1671.644897,968.768055,4321.103431,1003.861945,1190.295649,1071.266084,3542.246528,3542.246528,3542.246528,2538.689141,681.946673,3542.246528,60332.209612,2538.689141,4692815.596611,681.946673,8778895377.827705,4084.723039,4708.979406,198.988407,443.769811
Perciformes,2 L pisc comm | 3 L pisc comm | 2 SM pisc | 3 SM pisc | 2 SM inv | 3 SM inv | 2 L pisc | 3 L pisc,0.051336 | 0.055815 | 0.102125 | 0.232055 | 0.140847 | 0.303340 | 0.051463 | 0.063019,model_biomass,medium,1187538.044,276.665746,624.960598,381.961857,1068.936421,315.086010,388.547117,357.844854,1115.481833,1115.481833,1115.481833,895.370466,290.499242,1115.481833,-156594.909325,895.370466,2832695.731259,290.499242,920900493.107239,1435.442915,1492.648824,92.929781,152.424756
Odontamblyopus rubicundus,2 SM inv | 3 SM inv | 2 SM pisc | 3 SM pisc,0.180952 | 0.389713 | 0.131204 | 0.298130,model_biomass,medium,1178725.341,276.665746,427.369702,269.844130,443.946645,168.987397,212.642194,200.885730,614.514013,614.514013,614.514013,557.065775,206.243709,614.514013,7759.236114,557.065775,388895.713364,206.243709,-7423619.489708,896.211277,833.104258,71.924037,93.707566
Scomberomorus commerson,Coastal scombrids,1.000000,single,high,1169085.608,276.665746,2151.411916,1228.563684,5449.628126,1746.481623,2058.735989,1231.124121,5799.192784,5799.192784,5799.192784,2889.445671,773.655572,5799.192784,16496946.005748,2889.445671,-17915259.483700,773.655572,-5915900048852866.000000,4649.462240,7908.520493,241.012964,536.974768
Saurida,2 L pisc comm | 3 L pisc comm,0.479099 | 0.520901,model_biomass,medium,1144434.732,276.665746,942.008432,569.455705,2134.327853,640.479051,809.758325,735.799922,2161.826618,2161.826618,2161.826618,1597.141175,484.321234,2161.826618,-1582279.837302,1597.141175,18597729.236262,484.321234,-731199951.695844,2522.004884,2847.344437,132.205276,267.681374
Apogonidae,2 SM inv | 3 SM inv,0.317090 | 0.682910,model_biomass,medium,1137465.381,276.665746,195.237034,132.430212,264.469084,118.913507,136.139541,127.362312,358.406583,358.406583,358.406583,341.418803,140.125818,358.406583,5989.509989,341.418803,178554.604556,140.125818,-299079.478285,574.027146,502.728082,42.955466,65.044787
Decapterus russelli,2 Carangids | 3 Carangids,0.304387 | 0.695613,model_biomass,medium,1118952.06,276.665746,1047.559324,629.821299,2238.505040,641.128381,754.920494,726.746267,2160.615050,2160.615050,2160.615050,1714.802766,507.968664,2160.615050,1782592.482977,1714.802766,15448395.144238,507.968664,363121069.828352,2799.375544,2890.556852,143.635600,294.157869
Sepia,Cephalopods,1.000000,single,high,1085754.25,276.665746,990.119511,598.369015,1346.888416,377.016205,457.659002,411.893102,1154.963068,1154.963068,1154.963068,883.487560,288.738455,1154.963068,-30007.429063,883.487560,-4635.736133,288.738455,-68084.421791,1393.890949,1512.449191,138.403273,209.479831
Mugilidae,2 SM inv | 3 SM inv,0.317090 | 0.682910,model_biomass,medium,1037922.62,276.665746,195.237034,132.430212,264.469084,118.913507,136.139541,127.362312,358.406583,358.406583,358.406583,341.418803,140.125818,358.406583,5989.509989,341.418803,178554.604556,140.125818,-299079.478285,574.027146,502.728082,42.955466,65.044787
Thryssa,2 S pelagics | 3 S pelagics,0.297599 | 0.702401,model_biomass,medium,1035519.487,276.665746,140.109476,97.632900,192.742209,80.893492,105.806754,98.775728,234.092906,234.092906,234.092906,202.855848,80.162213,234.092906,-33950.413664,202.855848,227501.375555,80.162213,-5091897.075108,296.389113,299.235812,34.174400,48.437594
Portunidae,2 Crustaceans | 3 Crustaceans,0.212999 | 0.787001,model_biomass,medium,1013200.655,276.665746,87.346446,62.825827,62.583797,49.059783,49.059783,45.848307,88.616835,88.616835,88.616835,112.736869,69.749027,88.616835,88.616835,112.736869,18.000131,69.749027,77.336753,138.030843,98.463929,24.163479,23.495104
