group_name,model_tl,grouping_basis,explicit_members,supporting_taxa,membership_source,source_relationship,source_location,source_url,notes
M. mammals,4.883427172745773,taxonomic,,,"Christensen 1998 pp.130-131: generic marine mammals, parameterized from other ecosystems; local species not listed.",source group label,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Sharks,4.393943445131862,taxonomic,,Elasmobranchii; Carcharhinus; Chondrichthyes; Carcharhinus falciformis; Sphyrna lewini; Prionace glauca; Carcharhinus longimanus; Isurus; Isurus oxyrinchus; Alopias; Sphyrnidae; Sphyrna,Christensen 1998 pp.130-131: adult sharks with a separate juvenile compartment; species not listed.,source group label,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Lg. piscivores,3.849934064178303,feeding guild,Trichiurus; Muraenesox; Chirocentrus; Sphyraena,Carangidae; Trichiurus lepturus; Sphyraena; Scombroidei; Chirocentrus dorab; Chirocentrus; Muraenesox cinereus; Trichiurus; Seriolina nigrofasciata; Carangoides; Rachycentron canadum; Muraenesox; Clupeiformes; Sphyraena obtusata; Scyris indica; Scorpaenidae; Scomberoides; Elagatis bipinnulata; Lates calcarifer; Sphyraenidae; Platycaranx malabaricus; Gnathanodon speciosus; Caranx sexfasciatus; Megalops cyprinoides; Caranx; Coryphaena hippurus; Trichiuridae; Latidae; Congridae; Sphyraena barracuda; Seriola,"Christensen 1998 p.130 important components: Trichiurus, Muraenesox, Chirocentrus, Sphyraena. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Grouper/snapper,3.907286742396404,taxonomic,Ephinephelus; Lutjanus,Lutjanidae; Serranidae; Epinephelus; Lutjanus malabaricus; Lutjanus; Pristipomoides; Lutjanus quinquelineatus; Lutjanus johnii; Perciformes; Lutjanus argentimaculatus; Cephalopholis boenak,"Christensen 1998 p.130 important components: Ephinephelus, Lutjanus. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Tuna,4.134965175674147,taxonomic,Thunnus tonggol; Euthynnus affinis; Auxis thazard,Scombridae; Thunnus tonggol; Euthynnus affinis; Scombroidei; Katsuwonus pelamis; Thunnus albacares; Auxis thazard; Thunnus obesus; Thunnus; Thunnus alalunga; Auxis rochei,"Christensen 1998 p.130 important components: Thunnus tonggol, Euthynnus affinis, Auxis thazard. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Med.dem.pisc.,3.379868264175476,feeding guild,Saurida; Lactarius; Lethrinus; Sciaenidae; Psettodes,Synodontidae; Marine fishes not identified; Sciaenidae; Platycephalidae; Saurida; Saurida tumbil; Pennahia; Psettodes erumei; Marine groundfishes not identified; Lactarius lactarius; Lethrinus; Psettodidae; Perciformes; Lethrinidae; Platycephalus indicus; Pleuronectiformes,"Christensen 1998 p.130 important components: Saurida, Lactarius, Lethrinus, Sciaenidae, Psettodes. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Scomberomorus,3.909854005314036,taxonomic,Scomberomorus,Scombridae; Scomberomorus guttatus; Scomberomorus; Scombroidei; Scomberomorus commerson,"Christensen 1998 p.130 important components: Scomberomorus. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Juv. sharks,3.736979916897507,life stage,,Elasmobranchii; Carcharhinus; Chondrichthyes; Carcharhinus falciformis; Sphyrna lewini; Prionace glauca; Carcharhinus longimanus; Isurus; Isurus oxyrinchus; Alopias; Sphyrnidae; Sphyrna,Christensen 1998 pp.130-131: juvenile sharks; species and age/length threshold not listed.,source group label,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Juv.Lg.Pisciv.,3.736979916897508,life stage,Trichiurus; Muraenesox; Chirocentrus; Sphyraena,Carangidae; Trichiurus lepturus; Sphyraena; Scombroidei; Chirocentrus dorab; Chirocentrus; Muraenesox cinereus; Trichiurus; Seriolina nigrofasciata; Carangoides; Rachycentron canadum; Muraenesox; Clupeiformes; Sphyraena obtusata; Scyris indica; Scorpaenidae; Scomberoides; Elagatis bipinnulata; Lates calcarifer; Sphyraenidae; Platycaranx malabaricus; Gnathanodon speciosus; Caranx sexfasciatus; Megalops cyprinoides; Caranx; Coryphaena hippurus; Trichiuridae; Latidae; Congridae; Sphyraena barracuda; Seriola,"Christensen 1998 p.130 important components: Trichiurus, Muraenesox, Chirocentrus, Sphyraena. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
Juv. groupers,3.758987880886426,life stage,Ephinephelus; Lutjanus,Lutjanidae; Serranidae; Epinephelus; Lutjanus malabaricus; Lutjanus; Pristipomoides; Lutjanus quinquelineatus; Lutjanus johnii; Perciformes; Lutjanus argentimaculatus; Cephalopholis boenak,"Christensen 1998 p.130 important components: Ephinephelus, Lutjanus. Juvenile grouper AND snapper compartment; JSON label is shortened. This is an illustrative list, not an exhaustive species inventory.",direct source,Christensen 1998 pp.130-131; author-publication HTML text; original PDF download returned403,https://www.academia.edu/1483062/Fishery_induced_changes_in_a_marine_ecosystem_insight_from_models_of_the_Gulf_of_Thailand,Important components are illustrative; gaps and spelling corrections remain explicit. Model payload is1980 despite filename1963.
