printed_name,accepted_name,group_name,source_page
Thunnus tonggol,Thunnus tonggol,Tuna,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 219722"
Euthynnus affinis,Euthynnus affinis,Tuna,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 219708"
Auxis thazard,Auxis thazard,Tuna,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 127016"
Scomberomorus,Scomberomorus,Scomberomorus,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 126064"
Trichiurus,Trichiurus,Lg. piscivores,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 126098"
Muraenesox,Muraenesox,Lg. piscivores,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 125633"
Chirocentrus,Chirocentrus,Lg. piscivores,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 204475"
Sphyraena,Sphyraena,Lg. piscivores,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 126084"
Trichiurus,Trichiurus,Juv.Lg.Pisciv.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 126098"
Muraenesox,Muraenesox,Juv.Lg.Pisciv.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 125633"
Chirocentrus,Chirocentrus,Juv.Lg.Pisciv.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 204475"
Sphyraena,Sphyraena,Juv.Lg.Pisciv.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 126084"
Ephinephelus,Epinephelus,Grouper/snapper,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; printed spelling Ephinephelus normalized to Epinephelus (WoRMS AphiaID 126068); spelling correction, not a claimed historical species synonym"
Lutjanus,Lutjanus,Grouper/snapper,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 159791"
Ephinephelus,Epinephelus,Juv. groupers,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; printed spelling Ephinephelus normalized to Epinephelus (WoRMS AphiaID 126068); spelling correction, not a claimed historical species synonym; source explicitly says juvenile grouper/snappers despite shortened JSON group name"
Lutjanus,Lutjanus,Juv. groupers,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 159791; source explicitly says juvenile grouper/snappers despite shortened JSON group name"
Saurida,Saurida,Med.dem.pisc.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 125685"
Lactarius,,Med.dem.pisc.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07"
Lethrinus,Lethrinus,Med.dem.pisc.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 206059"
Sciaenidae,Sciaenidae,Med.dem.pisc.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 125558"
Psettodes,Psettodes,Med.dem.pisc.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 203922"
Priacanthus,Priacanthus,Sm.dem.pisc.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 126049"
Plectorhynchus,Plectorhinchus,Med.dem.benth.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; printed spelling Plectorhynchus normalized to Plectorhinchus (WoRMS AphiaID 126010); spelling correction, not a claimed historical species synonym"
Scolopsis,Scolopsis,Med.dem.benth.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 203906"
Upeneus,Upeneus,Med.dem.benth.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 126036"
Pomadasys,Pomadasys,Med.dem.benth.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 126011"
Pampus,Pampus,Med.dem.benth.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 126089"
Arius,,Med.dem.benth.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07"
Tachysuridea,,Med.dem.benth.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; printed spelling unresolved, not silently converted to Ariidae"
Nemipterus,Nemipterus,Sm.dem.benth.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 205457"
Pentaprion,Pentaprion,Sm.dem.benth.,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 270333"
Decapterus,Decapterus,Scad,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 125937"
Rastrelliger,Rastrelliger,Mackerel,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 126061"
sardine,,Sm. pelagics,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07"
anchovy,,Sm. pelagics,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07"
Leiognathus,Leiognathus,Ponyfishes,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 126026"
Bothidae,Bothidae,Flatfish,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 125576"
Cynoglossidae,Cynoglossidae,Flatfish,"Christensen 1998 p.130 Ecological groupings; important components, not exhaustive inventory; author-publication HTML text retrieved 2026-09-07; accepted name WoRMS AphiaID 125578"
