,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Rastrelliger spp.,,0.187,,3.00,,0.95,,0.25,,
2,Scomberomorus spp.,,0.016,,0.07,0.35,0.95,,0.20,,
3,Carangidae,,0.083,,1.34,5.37,0.95,,0.25,,
4,Pomfret,,0.008,,0.88,4.418,0.95,,0.20,,
5,Small pelagic fish,,0.452,,3.00,,0.95,,0.25,,
6,False trevally,,0.003,,2.00,,0.95,,0.20,,
7,Large piscivores,,0.054,,1.20,,0.68,,0.20,,
8,Sciaenidae,,0.031,,1.50,,0.95,,0.20,,
9,Saurida spp.,,0.054,,2.00,,0.44,,0.20,,
10,Lutianidae,,0.016,,0.80,,0.54,,0.20,,
11,Plectorhynchidae,,0.008,,0.80,,0.95,,0.20,,
12,Priacanthus spp.,,0.071,,2.00,,0.30,,0.20,,
13,Sillago spp.,,0.111,,2.00,,0.95,,0.20,,
14,Nemipterus spp.,,0.093,,2.50,,0.66,,0.25,,
15,Ariidae,,0.018,,2.00,,0.68,,0.20,,
16,Rays,,0.048,,0.50,,0.26,,0.20,,
17,Sharks,,0.013,,0.50,,0.57,,0.20,,
18,Cephalopod,,0.344,,2.00,,0.82,,0.25,,
19,Shrimps,,0.232,,5.00,,0.95,,0.25,,
20,Crab Lobster,,3.520,,3.00,,0.95,,0.25,,
21,Trashfish,,0.524,,4.00,,0.88,,0.25,,
22,Small demersal fish,,0.158,,3.00,,0.95,,0.25,,
23,Medium demersal piscivore,,0.024,,2.00,,0.47,,0.20,,
24,Medium demersal benthivore,,0.092,,2.00,,0.59,,0.20,,
25,Shellfish,,0.169,,3.00,,0.95,,0.20,,
26,Jellyfish,,2.000,,5.00,,0.00,,0.25,,
27,Sea cucumber,,1.000,,4.50,,0.00,,0.20,,
28,Seaweeds,,1.000,,15.00,,0.00,,,,
29,Coastal tuna,,0.019,,0.80,,0.95,,0.20,,
30,Sergestid shrimp,,0.051,,10.00,,0.95,,0.25,,
31,Mammals,,0.100,,0.05,30.00,0.00,,,,
32,Pony fishes,,0.066,,3.50,,0.95,,0.25,,
33,Benthos,,33.000,,5.00,,0.65,,0.20,,
34,Zooplankton,,17.300,,40.00,,0.20,,0.25,,
35,Juvenile small pelagics,,0.073,,4.00,,0.95,,0.25,,
36,Juvenile Caranx spp.,,0.025,,4.00,,0.95,,0.25,,
37,Juvenile Saurida spp.,,0.018,,4.00,,0.95,,0.25,,
38,Juvenile Nemipterus spp.,,0.022,,4.00,,0.95,,0.25,,
39,Phytoplankton,,30.000,,200.00,,0.44,,,,
40,Detritus,,10000,,,,0.17,,,,
