,Source / fate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,37,38
1,Rastrelliger spp.,,0.2,0.1,,,,0.2,,,,,,,,,,,0,,,,,,,,,,0.12,,0.1,,,,,,,
2,Scomberomorus spp.,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,
3,Carangidae,,0.2,,,,,0.1,,,0.1,,,,,,,0.1,,,,,,,,,,,0.14,,0,,,,,,,
4,Pomfret,,,,,,,0.1,,,,,,,,,,0,,,,,,,,,,,0.02,,,,,,,,,
5,Small pelagic fish,,0.1,0.2,0.1,,0,0.1,,,,,,,,,,,,,,,,,,,,,0.2,,0.4,,,,,,,
6,False trevally,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
7,Large piscivores,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.01,,,,,,,,,
8,Sciaenidae,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Saurida spp.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Lutianidae,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,
11,Plectorhynchidae,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,-0,,,,,,,,,
12,Priacanthus spp.,,,,,,,,,,0.1,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,
13,Sillago spp.,,,,0,,,0,,,0,,,,,,,,,,,,,0.1,,,,,0.06,,,,,,,,,
14,Nemipterus spp.,,,,0,,,0.1,,,0.1,,,,,,,,,,,,,0.1,,,,,0.07,,,,,,,,,
15,Ariidae,,,,,,,,,0,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,
16,Rays,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
17,Sharks,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
18,Cephalopod,,0.1,,,,,0.1,,0.2,0.1,,,,,,,,0,,,,,0,,,,,0.05,,0.1,,,,,,,
19,Shrimps,,0.1,0.1,0.1,,,,0.15,,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,,,,0,0.1,0.1,,,,,,,,,,,,,
20,Crab Lobster,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.01,,,,0,,,,,
21,Trashfish,,0.05,0.2,0.2,,,0.1,0.15,0.3,0.3,,0,,,,,0.1,0.1,,,,,0.2,0,,,,,,0.2,,,,,,,
22,Small demersal fish,,0.05,0.1,0.2,,,0.1,0.1,0.2,0.1,,,,,,,0.1,,,,,,0.3,,,,,0.05,,0.1,,,,,,,
23,Medium demersal piscivore,,,,,,,0.2,,,0.1,,,,,,,0.2,,,,,,,,,,,0.1,,,,,,,,,
24,Medium demersal benthivore,,,,,,,0.1,,0.2,,,,,,,,0.1,,,,,,0.2,,,,,0.03,,,,,,,,,
25,Shellfish,,,,,,,,,,,0.1,,,,0.1,,,,,,,,,0.1,,,,,,,,,,,,,
26,Jellyfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sea cucumber,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
28,Seaweeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Coastal tuna,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,
30,Sergestid shrimp,,,,,,0,,0.1,,0.1,,,,,0.1,,,0.1,,,,0,,,,,,,,,,,,,,,
31,Mammals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Pony fishes,,,0.1,,,,,0.1,0.1,,,0,,,,,,0,,,,,0,0,,,,,,,,,,,,,
33,Benthos,,,0.1,0.2,,,,0.2,0.1,0.1,0.8,0,1,1,0.8,0.8,0.1,,0,1,0.3,0,0.1,0.8,,,,,0,0.2,0,0.1,,,,,
34,Zooplankton,0.9,0.1,0.2,0.2,1,0,,,,,,0,,0,,,,0.6,0,,0.3,0,,,0,,,,0,0.1,0,0.1,,,,,
35,Juvenile small pelagics,0.1,0.03,,,,0,,0.03,,,,,,,,,,0,,,,,,,,,,0.02,,,,,,,,,
36,Juvenile Caranx spp.,,0.03,,,,0,,0.03,,,,,,,,,,0,,,,,,,,,,0.02,,,,,,,,,
37,Juvenile Saurida spp.,,0.03,,,,,,0.03,,,,,,,,,,0,,,,,,,,,,0.02,,,,,,,,,
38,Juvenile Nemipterus spp.,,0.03,,,,,,0.03,,,,,,,,,,0,,,,,,,,,,0.02,,,,,,,,,
39,Phytoplankton,0.1,,,,0,,,,,,,,,,,,,,,,0.3,,,,1,,,,,,,0.2,1,,,,
40,Detritus,,,,,,,,0.1,,,0.1,,,0,,0.1,,,1,1,0.3,,,0,,,,,1,,0,0.6,0,,,,
,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sum,1.1,1.02,1.1,1,1,0,1.2,1.02,1.1,1.2,1.1,0,1,1,1.1,1,1.2,0.9,1,2,1.2,0,1.2,1,1,0,0,0.99,1,1.2,0,1,1,0,0,0,0
,(1 - Sum),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
