,Group name,Biomass accumulation (t/km^2/year),Biomass accumulation rate (/year)
1,Rastrelliger spp.,0,
2,Scomberomorus spp.,-0.003,
3,Carangidae,-0.007,
4,Pomfret,0.001,
5,Small pelagic fish,0,
6,False trevally,0,
7,Large piscivores,-0.001,
8,Sciaenidae,0,
9,Saurida spp.,0.012,
10,Lutianidae,-0.004,
11,Plectorhynchidae,0,
12,Priacanthus spp.,0,
13,Sillago spp.,0.086,
14,Nemipterus spp.,-0.004,
15,Ariidae,-0.006,
16,Rays,-0.01,
17,Sharks,-0.005,
18,Cephalopod,-0.1,
19,Shrimps,0,
20,Crab Lobster,0,
21,Trashfish,-0.045,
22,Small demersal fish,0,
23,Medium demersal piscivore,0,
24,Medium demersal benthivore,-0.042,
25,Shellfish,0,
26,Jellyfish,0,
27,Sea cucumber,0,
28,Seaweeds,0,
29,Coastal tuna,0,
30,Sergestid shrimp,0,
31,Mammals,0,
32,Pony fishes,0,
33,Benthos,0,
34,Zooplankton,0,
35,Juvenile small pelagics,0,
36,Juvenile Caranx spp.,0,
37,Juvenile Saurida spp.,0,
38,Juvenile Nemipterus spp.,0,
39,Phytoplankton,0,
40,Detritus,0,
