,Source / fate,Detritus,Export,Sum
1,Rastrelliger spp.,,,
2,Scomberomorus spp.,,,
3,Carangidae,,,
4,Pomfret,,,
5,Small pelagic fish,,,
6,False trevally,,,
7,Large piscivores,,,
8,Sciaenidae,,,
9,Saurida spp.,,,
10,Lutianidae,,,
11,Plectorhynchidae,,,
12,Priacanthus spp.,,,
13,Sillago spp.,,,
14,Nemipterus spp.,,,
15,Ariidae,,,
16,Rays,,,
17,Sharks,,,
18,Cephalopod,,,
19,Shrimps,,,
20,Crab Lobster,,,
21,Trashfish,,,
22,Small demersal fish,,,
23,Medium demersal piscivore,,,
24,Medium demersal benthivore,,,
25,Shellfish,,,
26,Jellyfish,,,
27,Sea cucumber,,,
28,Seaweeds,,,
29,Coastal tuna,,,
30,Sergestid shrimp,,,
31,Mammals,,,
32,Pony fishes,,,
33,Benthos,,,
34,Zooplankton,,,
35,Juvenile small pelagics,,,
36,Juvenile Caranx spp.,,,
37,Juvenile Saurida spp.,,,
38,Juvenile Nemipterus spp.,,,
39,Phytoplankton,,,
40,Detritus,,,
