,Group name,Otter board trawl,Pair trawl,Beam trawl,Pushnet,Purse seine,Other gear,Total
1,Rastrelliger spp.,0.016,0.033,0,0,0.070,0.047,0.166
2,Scomberomorus spp.,0,0.001,0,0,0,0,0.001
3,Carangidae,0.006,0.008,0,0,0.008,0,0.022
4,Pomfret,0.002,0.001,0,0,0,0,0.003
5,Small pelagic fish,0,0,0,0.015,0.069,0.029,0.113
6,False trevally,0.001,0,0,0,0,0,0.001
7,Large piscivores,0.013,0.005,0,0,0,0,0.018
8,Sciaenidae,0.024,0.014,0.001,0.001,0,0,0.04
9,Saurida spp.,0.025,0.007,0,0,0,0,0.032
10,Lutianidae,0.009,0,0,0,0,0,0.009
11,Plectorhynchidae,0.003,0,0,0,0,0,0.003
12,Priacanthus spp.,0.022,0.007,0,0,0,0,0.029
13,Sillago spp.,0.001,0.002,0,0,0,0,0.003
14,Nemipterus spp.,0.027,0.007,0,0,0,0,0.034
15,Ariidae,0.012,0.003,0,0,0,0,0.015
16,Rays,0.011,0.002,0,0,0,0,0.013
17,Sharks,0.007,0.001,0,0,0,0,0.008
18,Cephalopod,0.062,0.087,0.001,0.001,0,0,0.151
19,Shrimps,0.076,0,0.011,0.023,0,0.108,0.218
20,Crab Lobster,0.016,0.088,0.001,0.004,0,0,0.109
21,Trashfish,0.553,0.114,0.007,0.02,0,0,0.694
22,Small demersal fish,0,0.038,0.001,0.003,0,0,0.042
23,Medium demersal piscivore,0,0.001,0,0,0,0,0.001
24,Medium demersal benthivore,0.006,0.001,0,0,0,0,0.007
25,Shellfish,0,0,0,0,0,0.426,0.426
26,Jellyfish,,,,,,,
27,Sea cucumber,,,,,,,
28,Seaweeds,,,,,,,
29,Coastal tuna,0,0,0,0,0.011,0,0.011
30,Sergestid shrimp,0,0,0.001,0.004,0,0.036,0.041
31,Mammals,,,,,,,
32,Pony fishes,,,,,,,
33,Benthos,,,,,,,
34,Zooplankton,,,,,,,
35,Juvenile small pelagics,0.011,0.085,0,0,0,0,0.096
36,Juvenile Caranx spp.,0.008,0.017,0,0.001,0,0,0.026
37,Juvenile Saurida spp.,0.026,0.017,0,0,0,0,0.043
38,Juvenile Nemipterus spp.,0.054,0.004,0,0,0,0,0.058
39,Phytoplankton,,,,,,,
40,Detritus,,,,,,,
