372																															
WorldFish																															
Table 3. Diet compositions for	the	Ecopath	model	of the	Gulf	of	Thailand	(1973),	the		predator	numbers	refer	to	the Prey		numbers.														
Center																															
	Predator																														
Prey	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	29	30	31	32	33	34
1 Rastrelliger spp.	–	0.2	0.1	–	–	–	0.2	–	–	–	–	–	–	–	–	–	–	0	–	–	–	–	–	–	–	0.12	–	0.1	–	–	–
2 Scomberomorus spp.	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	0.1	–	–	–	–	–	–	–	–	–	–	–	–	–	–
3 Carangidae	–	0.2	–	–	–	–	0.1	–	–	0.1	–	–	–	–	–	–	0.1	–	–	–	–	–	–	–	–	0.14	–	0	–	–	–
4 Pomfret	–	–	–	–	–	–	0.1	–	–	–	–	–	–	–	–	–	0	–	–	–	–	–	–	–	–	0.02	–	–	–	–	–
5 Small pelagic fish	–	0.1	0.2	0.1	–	0	0.1	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	0.2	–	0.4	–	–	–
6 False trevally	–	–	–	–	–	–	0	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	0.05	–	–	–	–	–
7 Large piscivores	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	0.1	–	–	–	–	–	–	–	–	0.01	–	–	–	–	–
8 Sciaenidae	–	–	–	–	–	–	0	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–
9 Saurida spp.	–	–	–	–	–	–	0	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–
10 Lutjanidae	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	0.1	–	–	–	–	–	–	–	–	–	–	–	–	–	–
11 Plectorhynchidae	–	–	–	–	–	–	0	–	–	–	–	–	–	–	–	–	0	–	–	–	–	–	–	–	–	-0	–	–	–	–	–
12 Priacanthus spp.	–	–	–	–	–	–	–	–	–	0.1	–	–	–	–	–	–	–	–	–	–	–	–	0.1	–	–	–	–	–	–	–	–
13 Sillago spp.	–	–	–	0	–	–	0	–	–	0	–	–	–	–	–	–	–	–	–	–	–	–	0.1	–	–	0.06	–	–	–	–	–
14 Nemipterus spp.	–	–	–	0	–	–	0.1	–	–	0.1	–	–	–	–	–	–	–	–	–	–	–	–	0.1	–	–	0.07	–	–	–	–	–
15 Ariidae	–	–	–	–	–	–	–	–	0	–	–	–	–	–	–	–	0	–	–	–	–	–	0	–	–	–	–	–	–	–	–
16 Rays	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	0	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–
17 Sharks	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	0	–	–	–	–	–	–	–	–	–	–	–	–	–	–
18 Cephalopod	–	0.1	–	–	–	–	0.1	–	0.2	0.1	–	–	–	–	–	–	–	0	–	–	–	–	0	–	–	0.05	–	0.1	–	–	–
19 Shrimps	–	0.1	0.1	0.1	–	–	–	0.15	–	0.1	0.1	0	0	0	0.1	0.1	0.1	0.1	–	–	–	0	0.1	0.1	–	–	–	–	–	–	–
20 Crab, Lobster	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	0	–	0.01	–	–	–	0	–
21 Trashfish	–	0.05	0.2	0.2	–	–	0.1	0.15	0.3	0.3	–	0	–	–	–	–	0.1	0.1	–	–	–	–	0.2	0	–	–	–	0.2	–	–	–
22 Small demersal fish	–	0.05	0.1	0.2	–	–	0.1	0.1	0.2	0.1	–	–	–	–	–	–	0.1	–	–	–	–	–	0.3	–	–	0.05	–	0.1	–	–	–
23 Medium demersal	–	–	–	–	–	–	0.2	–	–	0.1	–	–	–	–	–	–	0.2	–	–	–	–	–	–	–	–	0.1	–	–	–	–	–
piscivore																															
