Table 3. Diet compositions for	the Ecopath		model	of the	Gulf	of Thailand		(1973),	the		predator	numbers	refer	to	the Prey	numbers.		(continued)													
	Predator																														
Prey	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	29	30	31	32	33	34
24 Medium demersal	–	–	–	–	–	–	0.1	–	0.2	–	–	–	–	–	–	–	0.1	–	–	–	–	–	0.2	–	–	0.03	–	–	–	–	–
benthivore																															
25 Shellfish	–	–	–	–	–	–	–	–	–	–	0.1	–	–	–	0.1	–	–	–	–	–	–	–	–	0.1	–	–	–	–	–	–	–
26 Jellyfish	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–
27 Sea cucumber	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	0	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–
28 Seaweeds	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–
29 Coastal tuna	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	0.1	–	–	–	–	–	–	–	–	–	–	–	–	–	–
30 Sergestid shrimp	–	–	–	–	–	0	–	0.1	–	0.1	–	–	–	–	0.1	–	–	0.1	–	–	–	0	–	–	–	–	–	–	–	–	–
31 Mammals	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–		–	–	–	–	–	–	–	–	–
32 Ponyfishes	–	–	0.1	–	–	–	–	0.1	0.1	–	–	0	–	–	–	–	–	0	–	–	–	–	0	0	–	–	–	–	–	–	–
33 Benthos	–	–	0.1	0.2	–	–	–	0.2	0.1	0.1	0.8	0	1	1	0.8	0.8	0.1	–	0	1	0.3	0	0.1	0.8	–	–	0	0.2	0	0.1	-
34 Zooplankton	0.9	0.1	0.2	0.2	1	0	–	–	–	–	–	0	–	0	–	–	–	0.6	0	–	0.3	0	–	–	0	–	0	0.1	0	0.1	–
35 Juvenile small pelagics	0.1	0.03	–	–	–	0	–	0.03	–	–	–	–	–	–	–	–	–	0	–	–	–	–	–	–	–	0.02	–	–	–	–	–
36 Juvenile Caranx spp.	–	0.03	–	–	–	0	–	0.03	–	–	–	–	–	–	–	–	–	0	–	–	–	–	–	–	–	0.02	–	–	–	–	–
37 Juvenile Saurida spp.	–	0.03	–	–	–	–	–	0.03	–	–	–	–	–	–	–	–	–	0	–	–	–	–	–	–	–	0.02	–	–	–	–	–
38 Juvenile Nemipterus spp.	–	0.03	–	–	–	–	–	0.03	–	–	–	–	–	–	–	–	–	0	–	–	–	–	–	–	–	0.02	–	–	–	–	–
39 Phytoplankton	0.1	–	–	–	0	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	0.3	–	–	–	1	–	–	–	–	0.2	1
40 Detritus	–	–	–	–	–	–	–	0.1	–	–	0.1	–	–	0	–	0.1	–	–	1	1	0.3	–	–	0	–	–	1	–	0	0.6	0
373																															
