,Source / fate,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,Phytoplankton,0.700,,,0.003,0.070,0.070,,0.027,,,0.015,,,,,0.010,,,,,,0.0130,0.0130,,0.1459,0.0190,0.2200,0.0630,0.0110,,,,,,0.0005
2,Benthic producer,,,,0.554,0.151,0.151,,0.125,0.200,,,,,,,,,,,,,0.0300,0.0300,,0.1459,,,0.0760,,,,0.1198,,,0.4000
3,Zooplankton,,0.900,,0.003,0.050,0.050,0.600,0.193,,0.46600,0.120,0.322,,0.107,0.040,0.375,0.0500,,0.3140,0.3140,0.2230,0.3020,0.4244,0.0840,0.4705,0.8860,0.7520,0.5890,0.4580,0.0860,,0.0030,,0.0040,0.2380
4,Jellyfish,,0.080,,,,,,,,,,,,,,0.478,,,,,0.0090,0.0090,0.0090,0.0010,,,,,,,,,,,
5,Polychaetes,,,,0.022,0.054,0.100,,0.121,0.240,,0.173,0.086,,0.008,,0.020,0.0100,,0.0550,0.1200,,0.0890,0.0901,0.0470,0.0290,0.0380,0.0210,0.0160,0.0110,,,0.2086,,,
6,Echinoderms,,,,0.059,,,,,0.010,0.06200,0.030,,,0.015,,0.002,,,0.0420,0.1000,,0.0020,0.0020,0.0150,,,,,,,,0.0030,,0.0350,0.0110
7,Benthic crustaceans,,,,0.003,,,,,0.020,0.12500,0.156,0.084,,0.031,0.010,0.002,0.1000,0.1720,0.2020,0.2460,0.3400,0.2200,0.2653,0.4380,0.0490,,,0.0060,0.0580,0.3600,,0.0190,,,0.0110
8,Non-ceph molluscs,,,,0.056,0.080,0.010,,,0.140,0.06800,0.384,0.015,,,,0.023,0.0500,0.0460,0.0070,0.0070,0.0090,0.1210,0.0511,0.1370,0.0190,,0.0060,0.0550,0.0090,0.1150,0.0006,0.1357,,0.0350,0.0110
9,Sessile/other invertebrates,,,,0.100,0.001,0.010,,,0.010,,,0.003,,,,0.024,,,0.0020,0.0110,,0.0100,0.0410,,,0.0190,0.0010,0.0230,0.0060,,,,,,
10,Shrimps,,,,,,,,,0.050,0.00500,0.005,0.007,0.190,0.092,0.050,,0.0500,0.0840,0.1300,0.1000,,0.0270,0.0020,0.0020,,,,0.0006,,0.0700,,0.0479,0.0380,,0.0090
11,Crabs,,,,,,,,,,0.05000,0.001,0.136,,0.005,0.010,0.024,0.0500,0.0910,0.0010,0.0010,0.0010,0.0250,0.0010,0.0010,0.0100,,,,,0.0520,0.0010,0.0010,,0.0001,0.0110
12,Cephalopods,,,,,,,,,,0.04300,,0.005,0.092,0.153,0.100,0.008,,0.0840,,,,0.0040,0.0090,0.0100,0.0060,0.0190,,0.0030,0.0180,,0.2420,0.1148,0.2700,0.0800,0.0180
13,Threadfin bream (nemipterids),,,,,,,,,,0.00010,,0.014,0.050,0.046,0.034,,0.0100,,,,0.0090,,,0.0100,,,,,,0.0050,,,,0.0200,0.0050
14,Bigeyes (priacanthids),,,,,,,,,,,0.001,0.008,0.038,,,,,,,,0.0020,,,0.0100,,,,,,0.0050,,,,0.0190,0.0050
15,Lizard fish (synodontids),,,,,,,,,,0.00010,,,0.019,0.034,0.035,,,,,,0.0020,,,0.0100,,,,,,0.0410,,,,0.0050,0.0009
16,Juvenile Hairtail (trichiurids),,,,,,,,,,0.00010,,,,0.010,0.010,,,,,,,,,0.0100,,,,,0.0005,,0.0010,,,0.0100,0.0500
17,Adult hairtail (trichiurids),,,,,,,,,,,,,,,0.010,,,,,,,,,,,,,,0.0020,,0.0010,,,0.0060,
18,Pomfret (stromateids),,,,,,,,,,0.01000,,,,,,,,,,,0.0280,,,,,0.0030,,,,,0.0660,,,0.0630,0.0160
19,Snappers,,,,,,,,,,0.00001,,,,,,,,0.0001,,,,0.0001,,,,,,,,0.0001,,,,0.0020,0.0006
