,Group name,Total fishery,Total
1,Phytoplankton,0.0000,0
2,Benthic producer,0.0056,0.0056
3,Zooplankton,0.0100,0.01
4,Jellyfish,0.0012,0.0012
5,Polychaetes,0.0000,0
6,Echinoderms,0.0039,0.0039
7,Benthic crustaceans,0.0019,0.0019
8,Non-ceph molluscs,0.0056,0.0056
9,Sessile/other invertebrates,0.0011,0.0011
10,Shrimps,0.0350,0.035
11,Crabs,0.0100,0.01
12,Cephalopods,0.0244,0.0244
13,Threadfin bream (nemipterids),0.0440,0.044
14,Bigeyes (priacanthids),0.0350,0.035
15,Lizard fish (synodontids),0.0840,0.084
16,Juvenile Hairtail (trichiurids),0.0038,0.0038
17,Adult hairtail (trichiurids),0.0152,0.0152
18,Pomfret (stromateids),0.0053,0.0053
19,Snappers,0.0053,0.0053
20,Adult groupers,0.0029,0.0029
21,Croakers (≤ 30 cm),0.0160,0.016
22,Juvenile large croakers,0.0110,0.011
23,Croakers (> 30 cm),0.0440,0.044
24,Demesral fish (≤ 30 cm),0.0902,0.0902
25,Juvenile demersal fish (> 30 cm),0.0288,0.0288
26,Adult demersal fish (> 30 cm),0.1150,0.115
27,Benthopelagic fish,0.0303,0.0303
28,Melon seed,0.0057,0.0057
29,Pelagic fish (≤ 30 cm),0.1460,0.146
30,Juvenile large pelagic fish,0.0096,0.0096
31,Pelagic fish (> 30 cm),0.0380,0.038
32,Demersal sharks and rays,0.0158,0.0158
33,Pelagic sharks and rays,0.0051,0.0051
34,Seabirds,0.0000,0
35,Pinnipeds,0.0002,0.0002
36,Other mammals,0.0001,0.0001
37,Marine turtles,0.0001,0.0001
38,Detritus,0.0000,0
