,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Phytoplankton,,323,,399,,0.035,385.00,,,
2,Benthic producer,,153,,11.89,,0.020,11.65,,,
3,Zooplankton,,33.8,,32,192,0.052,30.33,,,
4,Jellyfish,,0.146,,5.00,20.0,0.950,0.25,,,
5,Polychaetes,,3.421,,6.75,22.5,0.950,0.34,,,
6,Echinoderms,,3.065,,1.20,3.58,0.398,0.72,,,
7,Benthic crustaceans,,2.649,,5.65,26.9,0.624,2.13,,,
8,Non-ceph molluscs,,13.747,,3.00,7.00,0.383,1.85,,,
9,Sessile/other invertebrates,,3.114,,1.00,9.00,0.845,0.16,,,
10,Shrimps,,0.422,5.40,5.40,28.9,0.950,0.27,,,
11,Crabs,,0.731,,3.00,12.0,0.950,0.15,,,
12,Cephalopods,,0.465,,3.10,8.00,0.500,1.55,,,
13,Threadfin bream (nemipterids),,1.04,0.74,0.74,8.10,0.469,0.39,,,
14,Bigeyes (priacanthids),,0.318,1.21,1.21,11.3,0.328,0.81,,,
15,Lizard fish (synodontids),,0.30,,2.30,5.41,0.241,1.75,,,
16,Juvenile Hairtail (trichiurids),,0.034,,2.30,13.41,0.329,1.54,,,
17,Adult hairtail (trichiurids),,0.0426,,1.50,6.21,0.327,1.01,,,
18,Pomfret (stromateids),,0.065,,1.30,6.38,0.950,0.07,0.2,,
19,Snappers,,0.014,,1.34,8.98,0.950,0.07,,,
20,Adult groupers,,0.040,,0.85,6.10,0.375,0.53,,,
21,Croakers (≤ 30 cm),,0.289,2.36,2.36,11.28,0.784,0.51,,,
22,Juvenile large croakers,,0.0425,,2.36,15.65,0.913,0.21,,,
23,Croakers (> 30 cm),,0.095,1.43,1.43,6.23,0.541,0.66,,,
24,Demesral fish (≤ 30 cm),,1.541,2.70,2.70,13.03,0.950,0.14,,,
25,Juvenile demersal fish (> 30 cm),,0.112,,2.60,15.46,0.599,1.04,,,
26,Adult demersal fish (> 30 cm),,0.195,,1.44,6.21,0.355,0.93,,,
27,Benthopelagic fish,,0.470,,3.00,15.0,0.950,0.15,0.2,,
28,Melon seed,,0.114,,2.24,24.7,0.964,0.08,,,
29,Pelagic fish (≤ 30 cm),,1.050,,2.87,12.22,0.950,0.14,,,
30,Juvenile large pelagic fish,,0.118,,2.87,14.37,0.62,1.16,,,
31,Pelagic fish (> 30 cm),,0.158,0.90,0.90,6.28,0.283,0.65,,,
32,Demersal sharks and rays,,0.04,1.26,1.26,6.30,0.364,0.80,0.2,,
33,Pelagic sharks and rays,,0.028,0.39,0.39,1.95,0.500,0.20,0.2,,
34,Seabirds,,0.0022,,0.06,67.76,0.005,0.06,,,
35,Pinnipeds,,0.0046,,0.045,14.77,0.679,0.01,,,
36,Other mammals,,0.0158,,0.112,10.52,0.068,0.10,,,
37,Marine turtles,,0.0002,,0.100,3.50,0.503,0.05,,,
38,Detritus,,100,,,,0.017,,,,
