,Group name,Artisanal,Commercial,Total
1,Diatoms,0,0,0
2,Dino/silicoflagellates,0,0,0
3,Microzooplankton,0,0,0
4,Mesozooplankton,0,0,0
5,Macrozooplankton,0,0,0
6,Gelatinous zooplankton,0,0,0
7,Chrysaora plocamia,0,0,0
8,Macrobenthos,0,0,0
9,Sardine,0,5.6513425,5.6513425
10,Anchovy,0,22.475495,22.475495
11,Mesopelagic fish,0,0,0
12,Jumbo squid,0,0.10020266,0.10020266
13,Other cephalopods,0.033701515,0,0.033701515
14,Other small pelagic fish,0,1.5223365,1.5223365
15,Horse mackerel,0,1.694173,1.694173
16,Chub mackerel,0,0.7203940000000001,0.7203940000000001
17,Other large pelagic fish,0,0.30073785,0.30073785
18,Small hake,0,1.027781,1.027781
19,Medium hake,0,0.0265,0.0265
20,Large hake,0,0,0
21,Flatfish,0.0036560605,0,0.0036560605
22,Small demersal fish,0.017422729999999997,0,0.017422729999999997
23,Benthic elasmobranchs,0.036496970000000004,0,0.036496970000000004
24,Butter fishes,0,0,0
25,Conger,0,0,0
26,Medium demersal fish,0.13474545,0,0.13474545
27,Medium sciaenids,0.055224245000000005,0,0.055224245000000005
28,Sea robin,0,0,0
29,Catfish,0.30610000000000004,0,0.30610000000000004
30,Chondrichthyans,0,0.012969695,0.012969695
31,Seabirds,0,0,0
32,Pinnipeds,0,0,0
33,Cetaceans,0,0,0
34,Green sea turtle,0,0,0
35,Leatherback turtle,0,0,0
36,Anchovy eggs,0,0,0
37,Fishery offal,0,0,0
38,Pelagic detritus,0,0,0
39,Benthic detritus,0,0,0
