unit_id,region_name,region_type,year,taxon,common_name,functional_group,commercial_group,catch_tonnes,landings_tonnes,discards_tonnes,reported_tonnes,unreported_tonnes,taxon_key,tl,match_method,tl_source,match_confidence,reference_taxon,sppr,ppr
LME_013,Humboldt Current,LME,2019,Engraulis ringens,Anchoveta,Small pelagics (<30 cm),Anchovies,4598511.871499048,4454533.713119687,143978.158379361,4145953.3908504224,452558.4806486253,engraulis ringens,2.7,exact_2020_supplement,2020 supplement MeanTL,high,Engraulis ringens,50.11872336272725,230471544.36787793
LME_013,Humboldt Current,LME,2019,Dosidicus gigas,Jumbo flying squid,Cephalopods,Other fishes & inverts,759913.3739865377,702378.4880409725,57534.8859455652,665168.0364204283,94745.3375661094,dosidicus gigas,4.14,exact_2020_supplement,2020 supplement MeanTL,high,Dosidicus gigas,1380.3842646028838,1048972463.9123031
LME_013,Humboldt Current,LME,2019,Trachurus murphyi,Chilean jack mackerel,Medium pelagics (30 - 89 cm),Perch-likes,580714.2113245534,580653.1077865864,61.103537967,570154.8000626373,10559.4112619161,trachurus murphyi,3.33,exact_2020_supplement,2020 supplement MeanTL,high,Trachurus murphyi,213.79620895022325,124154496.8647083
LME_013,Humboldt Current,LME,2019,Strangomera bentincki,Araucanian herring,Small pelagics (<30 cm),Herring-likes,309373.640787046,309373.640787046,0.0,309373.640787046,0.0,strangomera bentincki,2.0,exact_sea_around_us,Sea Around Us exploited organisms,high,Strangomera bentincki,10.0,3093736.40787046
LME_013,Humboldt Current,LME,2019,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,172560.5732318803,166624.4124786252,5936.1607532551,156447.5342201133,16113.039011767,marine fishes not identified,3.28,exact_sea_around_us,Sea Around Us exploited organisms,high,Marine fishes not identified,190.54607179632464,32880739.376256797
LME_013,Humboldt Current,LME,2019,Scomber japonicus,Pacific chub mackerel,Medium pelagics (30 - 89 cm),Perch-likes,147607.04513110968,147370.7303239665,236.31480714320003,134100.0199031997,13507.025227909999,scomber japonicus,3.38,exact_2020_supplement,2020 supplement MeanTL,high,Scomber japonicus,239.88329190194898,35408463.89397014
LME_013,Humboldt Current,LME,2019,Sarda chiliensis,Eastern Pacific bonito,Medium pelagics (30 - 89 cm),Tuna & billfishes,91729.87716535271,91711.3566091423,18.520556210400002,74647.9647430661,17081.9124222866,sarda chiliensis,4.49,exact_2020_supplement,2020 supplement MeanTL,high,Sarda chiliensis,3090.295432513592,283472420.4291223
LME_013,Humboldt Current,LME,2019,Merluccius peruanus,Peruvian hake,Medium bathydemersals (30 - 89 cm),Cod-likes,63732.511452741,63598.7029161829,133.8085365581,53561.7433653157,10170.7680874253,merluccius peruanus,4.4,exact_sea_around_us,Sea Around Us exploited organisms,high,Merluccius peruanus,2511.886431509582,160088830.76416916
LME_013,Humboldt Current,LME,2019,Argopecten purpuratus,Peruvian calico scallop,Other demersal invertebrates,Molluscs,54089.3841047046,54089.3841047046,0.0,51239.4817575738,2849.9023471308,argopecten purpuratus,2.0,exact_sea_around_us,Sea Around Us exploited organisms,high,Argopecten purpuratus,10.0,540893.841047046
LME_013,Humboldt Current,LME,2019,Katsuwonus pelamis,Skipjack tuna,Large pelagics (>=90 cm),Tuna & billfishes,53711.599476350595,53578.40865962739,133.1908167232,53398.0229055083,313.5765708423,katsuwonus pelamis,4.43,exact_2020_supplement,2020 supplement MeanTL,high,Katsuwonus pelamis,2691.534803926914,144566639.36518022
LME_013,Humboldt Current,LME,2019,Coryphaena hippurus,Common dolphinfish,Large pelagics (>=90 cm),Perch-likes,47415.6120644041,45479.9364933378,1935.6755710663,32351.0719901695,15064.540074234601,coryphaena hippurus,4.37,exact_2020_supplement,2020 supplement MeanTL,high,Coryphaena hippurus,2344.228815319923,111153044.09740707
LME_013,Humboldt Current,LME,2019,Brama australis,Southern rays bream,Medium pelagics (30 - 89 cm),Perch-likes,40574.2355543613,39569.096562780695,1005.1389915806001,37568.601669901196,3005.6338844601,brama australis,4.2,exact_sea_around_us,Sea Around Us exploited organisms,high,Brama australis,1584.893192461114,64305829.719420925
LME_013,Humboldt Current,LME,2019,Scombridae,"Mackerels, tunas, bonitos",Medium pelagics (30 - 89 cm),Perch-likes,39279.6129525641,38856.8041665464,422.80878601769996,38856.0833709687,423.5295815954,scombridae,4.26,exact_sea_around_us,Sea Around Us exploited organisms,high,Scombridae,1819.7008586099826,71477145.41564868
LME_013,Humboldt Current,LME,2019,Mollusca,"Clams, seasnails, squids, octopuses",Other demersal invertebrates,Molluscs,39206.177167128204,39206.177167128204,0.0,39206.177167128204,0.0,mollusca,2.1,exact_sea_around_us,Sea Around Us exploited organisms,high,Mollusca,12.589254117941675,493576.5273500196
LME_013,Humboldt Current,LME,2019,Loxechinus albus,Chilean sea urchin,Other demersal invertebrates,Other fishes & inverts,38885.5453903753,38885.5453903753,0.0,36415.379238244604,2470.1661521307,loxechinus albus,2.0,exact_2020_supplement,2020 supplement MeanTL,high,Loxechinus albus,10.0,388855.453903753
LME_013,Humboldt Current,LME,2019,Mugil cephalus,Flathead grey mullet,Large benthopelagics (>=90 cm),Perch-likes,32279.128569498604,32279.128569498604,0.0,22843.3182965337,9435.8102729649,mugil cephalus,2.14,exact_2020_supplement,2020 supplement MeanTL,high,Mugil cephalus,13.803842646028853,445576.01152429316
