printed_name,accepted_name,group_name,source_page
Bathyraja hesperafricana,Bathyraja hesperafricana,Sélaciens L prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 271513"
Carcharhinus altimus,Carcharhinus altimus,Sélaciens L prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105787"
Carcharhinus longimanus,Carcharhinus longimanus,Sélaciens L prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105794"
Isurus oxyrhinchus,Isurus oxyrinchus,Sélaciens L prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 1577929"
Leucoraja leucosticta,Leucoraja leucosticta,Sélaciens L prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 271565"
Prionace glauca,Prionace glauca,Sélaciens L prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105801"
Raja clavata,Raja clavata,Sélaciens L prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105883"
Rhincodon typus,Rhincodon typus,Sélaciens L prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105847"
Sphyrna zygaena,Sphyrna zygaena,Sélaciens L prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105819"
Squalus acanthia,Squalus acanthias,Sélaciens L prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded"
Squalus blainville,Squalus blainville,Sélaciens L prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105924"
Squatina aculeata,Squatina aculeata,Sélaciens L prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105926"
Torpedo nobiliana,Tetronarce nobiliana,Sélaciens L prof,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 157868"
Alopias vulpinus,Alopias vulpinus,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105836"
Carcharhinus limbatus,Carcharhinus limbatus,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105793"
Dasyatis centroura,Bathytoshia centroura,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 105850"
Dasyatis margarita,Fontitrygon margarita,Sélaciens L côtiers,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 271442"
