model_id,stage,group_id,group_name,parameter,source_value,solved_value,rule,route,fraction,engine_name_original
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,40,diet_import,p,,37.420923840246175,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,39,Benthic detritus,p,,1751.6112896867576,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,38,Pelagic detritus,p,,5090.259743360343,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,37,Fishery offal,p,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,36,Anchovy eggs,p,,81.93913403799536,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,40,diet_import,q,,37.420923840246175,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,39,Benthic detritus,q,,1751.6112896867576,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,38,Pelagic detritus,q,,5090.259743360343,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,37,Fishery offal,q,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,36,Anchovy eggs,q,,81.93913403799536,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,2,Dino/silicoflagellates,q,,3177.037465572357,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,1,Diatoms,q,,8096.018981933594,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,40,diet_import,M0,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,39,Benthic detritus,M0,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,38,Pelagic detritus,M0,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,37,Fishery offal,M0,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,36,Anchovy eggs,M0,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,40,diet_import,ee,,1.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,39,Benthic detritus,ee,0.8890905380249023,1.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,38,Pelagic detritus,ee,0.0,1.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,36,Anchovy eggs,ee,0.8843322396278381,1.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,40,diet_import,egestion,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,39,Benthic detritus,egestion,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,38,Pelagic detritus,egestion,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,37,Fishery offal,egestion,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,36,Anchovy eggs,egestion,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,2,Dino/silicoflagellates,egestion,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,1,Diatoms,egestion,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,39,Benthic detritus,respiration,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
13_2_Northern_Humboldt_Current_(1995-1998),source_initializer,38,Pelagic detritus,respiration,,0.0,Frozen exporter settings: normalize diet; deterministic defaults; LIM only where still missing.,,,
